,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-8913,-2791,-2078,-4869,-7966,-853,-8283,23285,6183,-7599,2308,0,-13574,-13574,23796,12530,-27264,0,-27264,9126,8132,4023,18370,3261,16029,-1377,4023
2022-09-30,2662,928,715,1643,-5227,4907,-3436,-8102,-11858,-7553,-857,0,1633,1633,-4937,-4161,7005,0,7005,-2608,-1614,-1405,-8553,-4567,-19590,528,-1405
2022-06-30,2536,921,824,1745,11966,25193,-6275,-20252,10632,14913,-799,0,3528,3528,-11256,-8527,11069,0,11069,-2837,-2837,-1304,-14913,-7985,-4800,418,-1304
2022-03-31,3715.00000,942.00000,539.00000,1481.00000,1227.00000,-29247.00000,17994.00000,5069.00000,-4957.00000,239.00000,-652.00000,,8413.00000,8413.00000,-7603.00000,158.00000,9190.00000,,9190.00000,-3681.00000,-3681.00000,-1314.00000,5096.00000,9291.00000,8361.00000,431.00000,-1314.00000
2021-12-31,3716,1237,460,1697,3466,-2702,-12071,6243,-5064,349,-650,0,-1362,-1362,-13294,-15306,3257,0,3257,-2847,-1572,-1314,19344,19715,3862,449,-1314
2021-09-30,3724,1035,540,1575,-332,-17109,9912,4358,-3171,2128,-619,0,-8541,-8541,-5987,-15147,8092,0,8092,-3628,-3628,-1356,8675,11783,-2617,500,-1356
2021-06-30,3512,1057,621,1678,16361,-1594,6647,-21989,-575,4615,-514,0,14770,14770,-11139,3117,4462,0,4462,-3018,-3018,-746,-213,485,8362,618,-746
2021-03-31,4168.00000,887.00000,325.00000,1212.00000,-18721.00000,16487.00000,3270.00000,20463.00000,21499.00000,26879.00000,-525.00000,-2648.00000,-12870.00000,-12870.00000,-6518.00000,-22561.00000,4338.00000,,4338.00000,-2582.00000,-2582.00000,-755.00000,8563.00000,9564.00000,12464.00000,518.00000,-755.00000
2020-12-31,3412,1406,-125,1281,-12676,-30521,16005,-2891,-30083,-25390,-539,3807,1177,1177,-4905,-460,6224,0,6224,-50,-50,-731,29416,34859,10882,510,-731
2020-09-30,2751,853,429,1282,-9309,2319,-4813,903,-10900,-6867,-123,0,1311,1311,-5008,-3820,-4264,0,-4264,-30,-30,-680,2300,-2674,-11504,254,-680
2020-06-30,3236,686,188,874,15830,-22452,3242,-17540,-20920,-16810,-428,0,-16580,-16580,4498,-12510,2648,0,2648,-28,-28,-640,1665,3645,-25233,394,-640
2020-03-31,1780.00000,824.00000,1605.00000,2429.00000,-23619.00000,12414.00000,-4247.00000,35079.00000,19627.00000,23836.00000,-354.00000,,-7418.00000,-7418.00000,-13336.00000,-21108.00000,5634.00000,,5634.00000,-1782.00000,-1782.00000,-688.00000,44790.00000,47954.00000,49338.00000,154.00000,-688.00000
2019-12-31,2305,656,469,1125,5368,10881,-2779,-17036,-3566,-136,-366,0,-89,-89,-7385,-7840,-3249,0,-3249,-1507,-1010,-545,14018,9214,2515,328,-545
2019-09-30,2218,654,290,944,-5183,-10256,11199,14415,10175,13337,-452,0,-2182,-2182,-5265,-7899,-4873,0,-4873,-1538,-1538,-670,3162,-3919,76,233,-670
2019-06-30,2246,675,288,963,-1519,4669,1551,2621,7322,10531,-479,0,-5795,-5795,-4321,-10595,2015,0,2015,-1264,-1264,-749,-1399,-1397,-1102,299,-749
2019-03-31,2468.00000,658.00000,237.00000,895.00000,1567.00000,2140.00000,9971.00000,,13678.00000,17041.00000,-529.00000,,-5357.00000,-5357.00000,-1341.00000,-7227.00000,-3836.00000,,-3836.00000,-1645.00000,-1645.00000,-663.00000,-9720.00000,-15864.00000,-6514.00000,293.00000,-663.00000
2018-12-31,1558,469,864,1333,3364,9978,-13373,-10039,-10070,-7179,-504,0,-7161,-7161,-1150,-8815,-720,0,-720,-1186,-1186,-587,13336,10843,-5285,177,-587
2018-09-30,2154,468,192,660,5187,5286,-8743,10039,11769,14565,-453,0,-1075,-1075,-3235,-4763,745,0,745,-1207,-1207,-673,2671,1536,10892,217,-673
2018-06-30,2467,517,187,704,3740,6250,7924,-33832,-15918,-12729,-498,0,-1141,-1141,-742,-2381,1260,0,1260,-1305,-1305,-516,12024,11463,-5755,205,-516
2018-03-31,2704.00000,390.00000,310.00000,700.00000,-13019.00000,-12698.00000,1129.00000,33832.00000,9244.00000,12648.00000,-410.00000,,-2547.00000,-2547.00000,-3965.00000,-6922.00000,3993.00000,,3993.00000,-1868.00000,-1868.00000,-599.00000,-1163.00000,363.00000,6949.00000,321.00000,-599.00000
2017-12-31,663,413,3210,3623,-1385,-12455,-6048,19646,-242,4044,-452,0,-162,-162,-2949,-3563,-1433,0,-1433,-1284,-1284,-523,1968,-1272,-527,251,-523
2017-09-30,1791,451,360,811,-1786,21983,2457,-19646,3008,5610,-454,0,-7007,-7007,-4062,-11523,5323,0,5323,-1299,-1299,-608,6752,10168,6092,257,-608
2017-06-30,1791,455,97,552,-4457,-21363,9154,0,-16666,-14249,-373,0,9557,9557,-4321,4863,8806,0,8806,-548,-548,-443,-3172,4643,-4051,249,-443
2017-03-31,1971.00000,434.00000,288.00000,722.00000,-1687.00000,2714.00000,-3556.00000,,-2529.00000,90.00000,-350.00000,,-774.00000,-774.00000,-1044.00000,-2168.00000,6895.00000,,6895.00000,-1161.00000,-167.00000,-511.00000,-3495.00000,2722.00000,1521.00000,269.00000,-511.00000
2016-12-31,1680,379,1847,2226,2429,-6881,-1936,0,-6388,-2482,-335,0,-2514,-2514,-1671,-4520,7404,1233,8637,-1025,-1025,-435,5648,12825,3339,342,-435
2016-09-30,1640,478,85,563,7737,-12283,-6100,0,-10646,-8443,-296,0,605,605,-2883,-2574,-102,60,-42,-1279,-1279,-520,-1063,-2904,-13581,302,-520
2016-06-30,1646,464,406,870,-11436,13294,7757,0,9615,12131,-330,0,-1759,-1759,-1209,-3298,-494,-229,-723,-653,-653,-355,-4676,-6407,2495,275,-355
2016-03-31,1157.00000,415.00000,419.00000,834.00000,899.00000,-905.00000,2192.00000,,2186.00000,4177.00000,-315.00000,,-5160.00000,-5160.00000,-3641.00000,-9116.00000,5222.00000,-1064.00000,4158.00000,-976.00000,-976.00000,-436.00000,1103.00000,3849.00000,-445.00000,217.00000,-436.00000
2015-12-31,936,410,1563,1973,-6276,12585,-5718,0,591,3500,-409,998,-8642,-8642,-4544,-12597,-5739,279,-5460,-638,-638,-359,7949,1492,-8573,268,-359
2015-09-30,1049,369,415,784,6443,-19619,11833,0,-1343,490,-344,0,2475,2475,-2195,-64,2598,-1140,1458,-662,-662,-423,6585,6958,7159,225,-423
2015-06-30,1831,333,259,592,5389,6324,-9534,0,2179,4602,-300,0,2432,2432,-6561,-4429,3941,243,4184,-634,-634,-363,2566,5753,6066,316,-363
2015-03-31,2463.00000,321.00000,372.00000,693.00000,-5990.00000,-18273.00000,8052.00000,,-16211.00000,-13055.00000,-320.00000,,33.00000,33.00000,-2618.00000,-2905.00000,6005.00000,618.00000,6623.00000,-839.00000,654.00000,-310.00000,2984.00000,9951.00000,-6691.00000,295.00000,-310.00000
2014-12-31,-1586,413,187,600,-727,-9528,4636,0,-5619,-6605,-459,27,-5038,-5038,-6091,-11561,1839,501,2340,-286,-286,-252,8387,10189,-8842,327,-252
2014-09-30,1752,136,210,346,27,-1624,1363,0,-234,1864,-120,795,1723,1723,-2052,346,8315,-23,8292,-208,786,-265,4984,13797,14941,304,-265
2014-06-30,1917,286,226,512,4145,-10747,5106,0,-1496,1046,-415,32,-6323,-6323,-7585,-14291,-5432,-3,-5435,-292,1496,-244,2821,-1362,-14539,318,-244
2014-03-31,1584.00000,326.00000,272.00000,598.00000,-1241.00000,-12913.00000,16866.00000,,2712.00000,4781.00000,2.00000,135.00000,-5354.00000,-5354.00000,-4601.00000,-9818.00000,-1085.00000,-356.00000,-1441.00000,-672.00000,-672.00000,-143.00000,2775.00000,519.00000,-4459.00000,311.00000,-143.00000
2013-12-31,173,427,254,681,13,12125,5197,0,17335,18189,-372,578,-6690,-6690,-3988,-10472,-4485,-191,-4676,-240,602,-117,-1985,-6176,2102,330,-117
2013-09-30,1018,368,312,680,7644,-19109,8185,0,-3280,-1582,-361,39,-4390,-4390,-2674,-7386,-5058,-33,-5091,-137,717,-119,23691,19198,10582,291,-119
