,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,266,190,-16,174,85,43,244,35,554,933,-177,0,-4090,0,0,0,-2,-4269,-2474,2474,0,0,0,-17,0,-17,-3323,21,-1
2022-09-30,306,193,89,282,-338,57,43,-18,-197,437,-212,-42,0,0,0,0,46,-208,2470,-2473,-3,0,0,-15,0,-18,182,19,0
2022-06-30,-72,195,174,369,26,-60,-151,-12,-197,95,-206,0,0,0,1,1,-35,-240,-2472,2471,-1,0,0,-16,0,-17,-181,41,0
2022-03-31,90.00000,193.00000,82.00000,275.00000,-270.00000,-298.00000,1.00000,68.00000,-563.00000,-202.00000,-245.00000,,-220.00000,,2.00000,2.00000,-2.00000,-465.00000,2472.00000,-1.00000,2471.00000,,,-24.00000,-36.00000,2411.00000,1738.00000,5.00000,-8.00000
2021-12-31,39,191,126,317,-62,109,302,70,373,669,-176,0,-85,0,8,8,-6,-259,-1479,1450,-29,0,0,-16,-18,-63,346,11,0
2021-09-30,104,194,60,254,-61,-318,-60,52,-398,4,-167,-2,0,0,14,14,-1,-156,0,-10,-10,0,0,-15,0,-25,-185,19,0
2021-06-30,166,200,98,298,146,-273,-78,-23,-161,297,-126,0,-45,0,0,0,-9,-180,0,-4,-4,0,0,-16,-6,-26,96,28,0
2021-03-31,300.00000,196.00000,59.00000,255.00000,14.00000,-228.00000,101.00000,-64.00000,-297.00000,252.00000,-133.00000,,,,,,-1.00000,-134.00000,-8.00000,-8.00000,-16.00000,,,-16.00000,-45.00000,-77.00000,29.00000,29.00000,
2020-12-31,315,210,13,223,-192,-68,330,85,214,799,-91,-1,0,0,0,0,-2,-94,-27,-2,-29,0,0,-20,18,-31,699,36,-4
2020-09-30,305,195,71,266,-785,-14,758,-9,52,559,-115,-1,-22,0,0,0,0,-138,-10,-170,-180,0,0,-16,0,-196,237,12,0
2020-06-30,-365,187,72,259,474,151,-732,4,7,-106,-165,0,-22,0,0,0,0,-187,-1920,-171,-2091,1115,2230,0,-19,120,-170,13,0
2020-03-31,1567.00000,181.00000,-1460.00000,-1279.00000,260.00000,-77.00000,-170.00000,-33.00000,-118.00000,161.00000,-203.00000,,-5.00000,,,,1.00000,-207.00000,1900.00000,-29.00000,1871.00000,-57.00000,-57.00000,-62.00000,-32.00000,1720.00000,1658.00000,-1.00000,-62.00000
2019-12-31,241,180,-7,173,99,71,152,-37,297,703,-161,-6,-311,0,0,0,-1,-479,-10,-53,-63,-30,-30,-67,0,-160,71,23,-67
2019-09-30,252,179,58,237,17,-41,-45,-34,-155,325,-164,-1,0,0,0,0,2,-163,-646,572,-74,-44,-44,-56,0,-174,-23,7,-56
2019-06-30,271,189,27,216,59,27,-27,-117,8,512,-210,0,-25,0,0,0,1,-234,-7,-32,-39,-120,-120,-57,0,-216,59,21,-57
