,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2019-06-30,332.868,7.422,4.365,11.787,-60.081,281.83,-260.965,49.054,393.709,0,-145.595,-239.7941,-385.3891,127.782,-257.607,0,0,-7.648,-7.648,-56.999,-0.305,-64.952,77.393,8.115,-56.999
2019-03-31,354.55100,5.89900,-68.37700,-62.47800,-133.82100,126.61900,83.07500,167.72900,459.80200,,-354.38800,-182.86310,-537.25110,104.50100,-432.75000,,,-24.44100,-24.44100,-57.13700,-11.44300,-93.02100,-72.12100,9.05600,-57.13700
2018-12-31,-385.313,4.468,194.938,199.406,-206.449,987.219,-205.442,252.3469,66.44,0,454.815,-442.743,12.072,-14.519,-2.447,0,0,-0.394,-0.394,-56.878,-1.653,-58.925,16.334,6.578,-56.878
2018-09-30,194.141,7.127,-19.77,-12.643,-94.764,516.854,-207.007,229.483,410.981,0,-212.707,-283.711,-496.418,217.071,-279.348,0,0,-48.332,-48.332,-52.863,-0.4,-101.595,20.268,8.225,-52.863
2018-06-30,69.895,8.727,20.199,28.926,-536.776,526.439,-139.087,-161.813,-62.992,0,43.537,-1822.86,-1779.323,1836.912,57.59,0,0,-25.352,-25.352,-53.24,-0.614,-79.206,-81.093,9.23,-53.24
2018-03-31,210.31800,8.95000,48.76100,57.71100,-56.59000,8.19500,-79.89900,-72.38900,195.64000,,169.70500,-1333.72300,-1164.01800,1108.60200,-55.41600,,,-9.38300,-9.38300,-53.24000,-14.24500,-76.86800,65.51900,8.33600,-53.24000
2017-12-31,584.808,11.21,-12.411,-1.201,220.424,-786.215,-32.835,-465.132,118.475,0,-147.923,-2032.24,-2180.163,2212.081,31.918,0,0,-49.66,-49.66,-53.355,-0.199,-103.214,49.672,7.286,-53.355
2017-09-30,-639.374,12.182,-20.382,-8.2,-480.556,1908.056,-104.137,1057.43,409.856,0,-31.566,-1016.006,-1047.572,812.534,-235.037,0,0,0.197,0.197,-51.302,-0.3,-51.405,116.19,7.286,-51.302
2017-06-30,245.674,10.729,0.564,11.293,-78.274,207.616,-115.111,-4.417,252.55,0,150.744,-1467.506,-1316.762,1121.592,-195.171,0,0,0.782,0.782,-51.304,-0.89,-51.412,0.965,8.224,-51.304
2017-03-31,291.64300,11.74600,-39.84300,-28.09700,-250.52500,338.60700,-6.82600,118.26600,381.81200,,-45.17800,-1691.71600,-1736.89400,1402.60700,-334.28700,,,-6.62900,-6.62900,-51.28100,-11.51700,-69.42700,-13.68200,7.50100,-51.28100
2016-12-31,373.572,11.013,-18.871,-7.858,54.761,-91.208,54.994,57.1379,422.852,0,-119.07,-1395.62,-1514.69,1187.791,-326.899,0,0,-1.624,-1.624,-51.087,-0.578,-53.289,46.127,6.039,-51.087
2016-09-30,295.394,14.027,17.334,31.361,-225.25,322.397,-173.079,-49.573,277.182,47.721,216.134,-1622.001,-1405.867,1323.78,-34.366,0,0,-190.239,-190.239,-47.459,-0.927,-238.625,6.508,6.097,-47.459
2016-06-30,155.692,11.772,-1.056,10.716,-22.855,194.556,-23.478,141.682,308.09,0,-88.325,-1179.301,-1267.626,1179.201,-88.425,0,0,-97.911,-97.911,-48.132,-0.759,-146.802,100.344,6.221,-48.132
2016-03-31,171.68600,12.35500,98.21500,110.57000,-25.26100,48.38100,73.98300,93.22000,375.47600,,360.23800,-1710.52100,-1350.28300,1142.10000,-208.18300,,,-85.76300,-85.76300,-48.70600,-8.33100,-142.80000,45.28500,8.04100,-48.70600
2015-12-31,357.281,12.128,5.939,18.067,147.591,-239.019,-2.382,-68.954,306.394,0,-157.169,-165.782,-322.9508,10.942,-312.009,0,0,-71.377,-71.377,-49.202,-11.601,-132.18,-117.568,5.087,-49.202
2015-09-30,88.553,13.257,190.05,203.307,-404.871,444.005,-20.061,-21.656,270.204,3.934,291.023,-235.7482,55.2749,-8.64,50.569,0,0,-195.572,-195.572,-41.698,0,-237.27,62.325,5.786,-41.698
2015-06-30,209.057,12.182,39.104,51.286,85.722,-38.484,-91.401,-79.275,181.068,0,-15.073,-161.3297,-176.4028,21.888,-154.515,0,0,-44.475,-44.475,-41.955,0,-86.43,-59.674,5.194,-41.955
2015-03-31,322.97800,13.33400,24.27500,37.60900,-191.75600,85.84100,81.68300,-10.01800,350.56900,,222.95200,-498.39010,-275.43810,10.29200,-265.14600,,,-75.03800,-75.03800,-42.25200,,-117.29000,-38.89900,5.17000,-42.25200
2014-12-31,297.956,11.207,3.08,14.287,349.826,-408.499,-170.781,-183.425,128.818,0,208.339,178.8453,387.1839,38.289,425.473,-250,-250,-97.708,-97.708,-32.545,-136.2,-516.453,35.671,6.477,-32.545
2014-09-30,301.253,10.957,42.135,53.092,-277.199,325.57,-37.251,-18.833,335.512,0,138.855,-272.8175,-133.962,29.607,-104.355,0,0,-72.669,-72.669,-44.307,-65,-181.976,60.233,4.952,-44.307
2014-06-30,297.925,13.51,-48.845,-35.335,-145.539,136.456,-11.012,-39.255,223.335,0,-270.962,-448.8049,-719.767,24.512,-695.255,400,400,-63.946,-63.946,-34.319,130.5,432.235,-43.834,5.341,-34.319
