,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,470,710,-104,606,555,-38,4,-340,28,1104,-1572,0,42,42,61,-1469,1466,-150,1316,3,3,-290,20,1049,684,237,-290
2022-09-30,-74,815,-229,586,-726,-1,220,756,362,874,-1498,0,16,16,5,-1477,1023,0,1023,4,4,-342,28,713,110,-189,-289
2022-06-30,292,645,38,683,-211,-5,227,-544,-529,446,-1501,0,31,31,-1,-1471,1038,125,1163,2,2,-287,36,914,-111,7,-287
2022-03-31,136.00000,677.00000,-108.00000,569.00000,130.00000,-14.00000,-84.00000,1.00000,87.00000,792.00000,-1207.00000,,34.00000,34.00000,16.00000,-1157.00000,1042.00000,-518.00000,524.00000,4.00000,4.00000,-340.00000,17.00000,205.00000,-160.00000,-55.00000,-294.00000
2021-12-31,571,633,-121,512,192,-11,-144,-502,-656,427,-1557,0,52,52,8,-1497,1043,-605,438,4,746,-268,23,939,-131,1,-268
2021-09-30,-297,673,361,1034,-413,-7,154,374,221,958,-1355,0,77,77,36,-1242,1026,-1,1025,3,3,-314,10,724,440,-31,-279
2021-06-30,361,602,-44,558,-308,9,279,-2258,-2365,-1446,-1235,0,75,75,30,-1130,1753,773,2526,10,8,-268,5,2271,-305,67,-268
2021-03-31,290.00000,595.00000,-113.00000,482.00000,15.00000,-12.00000,-151.00000,-730.00000,-700.00000,72.00000,-1358.00000,,52.00000,52.00000,24.00000,-1282.00000,553.00000,-22.00000,531.00000,15.00000,1252.00000,-279.00000,7.00000,1511.00000,301.00000,-37.00000,-279.00000
2020-12-31,552,601,-353,248,273,-19,80,-858,-608,192,-1587,0,74,74,236,-1277,273,1043,1316,16,16,-258,6,1080,-5,344,-258
2020-09-30,-242,592,-412,180,-448,-5,-7,802,508,446,-1383,0,61,61,20,-1302,339,654,993,12,-296,-274,1,424,-432,-286,-274
2020-06-30,348,587,-115,472,-78,-20,143,-555,-510,310,-1246,0,76,76,56,-1114,233,-800,-567,810,810,-252,1,-8,-812,0,-252
2020-03-31,213.00000,585.00000,-42.00000,543.00000,-30.00000,1.00000,-129.00000,-314.00000,-441.00000,315.00000,-1268.00000,,-14.00000,-14.00000,4.00000,-1278.00000,1129.00000,1275.00000,2404.00000,74.00000,74.00000,-262.00000,15.00000,2231.00000,1268.00000,-58.00000,-262.00000
2019-12-31,173,572,-263,309,307,-15,4,-193,28,510,-1380,0,-12,-12,59,-1333,-207,550,343,175,175,-241,68,345,-478,221,-241
2019-09-30,502,546,-2420,-1874,-311,-19,63,126,-43,-1415,-1262,0,46,46,7,-1209,1180,-213,967,2191,2191,-231,-20,2907,283,-39,-231
2019-06-30,422,339,78,417,-81,-19,190,-524,-451,388,-1161,0,-1,-1,12,-1150,844,29,873,3,3,-223,-11,642,-120,-68,-223
2019-03-31,308.00000,498.00000,-130.00000,368.00000,9.00000,-30.00000,31.00000,-558.00000,-466.00000,210.00000,-1074.00000,,73.00000,73.00000,15.00000,-986.00000,1797.00000,-538.00000,1259.00000,22.00000,22.00000,-236.00000,-36.00000,1009.00000,233.00000,-114.00000,-236.00000
2018-12-31,-1400,301,-717,-416,286,-24,-51,2616,2722,906,-1268,-75,23,23,94,-1226,-654,1271,617,-20,-20,-222,18,393,73,-527,-222
2018-09-30,544,565,108,673,-267,-11,24,44,-163,1054,-1082,0,13,13,44,-1025,820,-638,182,11,11,-233,-17,-57,-28,0,-233
2018-06-30,298,595,-8,587,-135,-7,212,-525,-527,358,-1022,78,49,49,4,-891,634,58,692,7,7,-221,13,491,1,0,-221
2018-03-31,242.00000,479.00000,65.00000,544.00000,77.00000,-7.00000,-216.00000,57.00000,73.00000,859.00000,-1137.00000,,24.00000,24.00000,16.00000,-1097.00000,1783.00000,-2302.00000,-519.00000,2.00000,2.00000,-233.00000,5.00000,-745.00000,-1026.00000,,-233.00000
2017-12-31,-534,524,1132,1656,393,-22,61,-533,-223,899,-1170,0,80,80,7,-1083,-1288,2667,1379,14,13,-202,-7,1183,999,0,-202
2017-09-30,501,543,68,611,-273,2,-45,552,148,1260,-915,0,44,44,30,-841,713,-399,314,16,-459,-214,-40,-399,20,0,-214
2017-06-30,309,528,1,529,-141,6,260,-335,-284,554,-815,0,74,74,20,-721,-1,-131,-132,324,787,-202,-342,111,-56,0,-202
