,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,2,117,-30,87,204,119,-127,172,368,457,-206,0,0,0,0,-206,0,-29,-29,-89,-89,-91,-14,-223,32,-91
2022-09-30,301,117,11,128,52,-177,8,-56,-173,256,-164,0,0,0,6,-158,-200,355,155,-149,-149,-94,0,-88,5,-94
2022-06-30,257,122,-54,68,-36,-188,27,117,-80,245,-139,997,0,0,15,873,-50,-236,-286,-755,-755,-98,0,-1139,-31,-98
2022-03-31,236.00000,121.00000,-238.00000,-117.00000,-127.00000,-184.00000,152.00000,57.00000,-102.00000,17.00000,-115.00000,,,,-2.00000,-117.00000,,236.00000,236.00000,-9.00000,-9.00000,-98.00000,,129.00000,28.00000,-98.00000
2021-12-31,380,122,-201,-79,158,-20,177,-186,129,430,-245,664,0,0,-1,418,-300,0,-300,-748,-748,-93,35,-1106,-258,-93
2021-09-30,354,127,59,186,-78,-155,71,169,7,547,-123,-48,0,0,1,-170,0,-25,-25,-150,-150,-94,0,-269,108,-94
2021-06-30,-144,140,512,652,-150,-70,109,29,-82,426,-113,-63,0,0,-2,-178,0,0,0,-84,-84,-94,0,-178,69,-94
2021-03-31,277.00000,149.00000,-129.00000,20.00000,-211.00000,-144.00000,197.00000,77.00000,-81.00000,216.00000,-97.00000,,,,-2.00000,-99.00000,,-25.00000,-25.00000,-18.00000,-18.00000,-94.00000,,-137.00000,-24.00000,-94.00000
2020-12-31,34,145,178,323,59,-25,113,-98,49,406,-118,-1,0,0,7,-112,-185,-135,-320,6,6,-89,21,-382,-86,-89
2020-09-30,165,149,37,186,-163,95,130,29,91,442,-78,0,0,0,-3,-81,-250,-83,-333,7,7,-90,0,-416,-54,-90
2020-06-30,30,141,117,258,145,239,-239,3,148,436,-99,0,0,0,-1,-100,249,-442,-193,-43,-43,-89,11,-314,24,-89
2020-03-31,260.00000,139.00000,-105.00000,34.00000,-72.00000,-18.00000,-104.00000,71.00000,-123.00000,171.00000,-101.00000,,,,,-101.00000,,539.00000,539.00000,-30.00000,-30.00000,-90.00000,-11.00000,408.00000,476.00000,-90.00000
2019-12-31,27,149,256,405,220,42,156,-179,239,671,-123,0,0,0,3,-120,-250,-219,-469,0,0,-85,-2,-556,-3,-85
2019-09-30,267,151,0,151,30,26,-95,37,-2,416,-110,-29,0,0,-2,-141,0,-90,-90,-75,-75,-85,0,-250,21,-85
2019-06-30,259,156,10,166,69,-26,-46,0,-3,422,-92,0,0,0,-2,-94,0,-131,-131,-125,-125,-86,3,-339,-9,-86
