,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,1019,299,-318,-19,-79,-50,210,107,1366,2366,-223,0,-6,-6,-404,-633,2919,-772,2147,-1174,-1174,-691,-3,279,2178,25,-691
2022-09-30,1552,300,-15,285,244,44,-125,163,246,2083,-184,0,-126,-126,436,126,-1728,-12,-1740,-344,-344,-669,-24,-2777,-799,50,-669
2022-06-30,1261,275,164,439,-619,-103,-41,-9,-911,789,-157,-2,95,95,488,424,-49,-2,-51,-1367,-1367,-691,-4,-2113,-1033,53,-691
2022-03-31,1134.00000,330.00000,18.00000,348.00000,-285.00000,-331.00000,-199.00000,-29.00000,-1446.00000,36.00000,-173.00000,-176.00000,81.00000,81.00000,258.00000,-10.00000,-39.00000,,-39.00000,-995.00000,-995.00000,-668.00000,-17.00000,-1719.00000,-1678.00000,60.00000,-668.00000
2021-12-31,1428,290,-117,173,411,-169,365,48,1062,2663,-272,8,235,235,315,286,-1554,1,-1553,-823,-823,-676,-7,-3059,-128,45,-676
2021-09-30,1257,308,-22,286,-292,-245,-23,-226,-424,1119,-204,6,-17,-17,111,-104,-38,0,-38,-593,-593,-646,-41,-1318,-340,56,-646
2021-06-30,1430,284,-469,-185,-270,-113,345,-32,33,1278,-185,-24,58,58,212,61,-14,1,-13,-980,-980,-664,-3,-1660,-291,39,-664
2021-03-31,1427.00000,341.00000,-407.00000,-66.00000,143.00000,-158.00000,57.00000,-66.00000,-383.00000,978.00000,-207.00000,-1113.00000,-124.00000,-124.00000,140.00000,-1304.00000,-794.00000,2.00000,-792.00000,-755.00000,-755.00000,-640.00000,-30.00000,-2217.00000,-2557.00000,77.00000,-640.00000
2020-12-31,1359,254,90,344,54,217,475,-55,1079,2782,-251,-261,9,9,-74,-577,-51,9,-42,-1335,-1335,-671,-5,-2053,239,50,-671
2020-09-30,758,255,-129,126,-161,47,-96,140,123,1007,-239,0,345,345,-158,-52,-15,-6,-21,-98,-98,-636,-14,-769,258,40,-636
2020-06-30,1081,250,-429,-179,735,-168,-310,-60,578,1480,-227,0,-277,-277,-204,-708,5881,-11,5870,-31,-31,-650,-2,5187,6057,34,-650
2020-03-31,1581.00000,243.00000,-468.00000,-225.00000,41.00000,-163.00000,-54.00000,166.00000,-417.00000,939.00000,-132.00000,,195.00000,195.00000,287.00000,350.00000,2.00000,82.00000,84.00000,-1857.00000,-1857.00000,-635.00000,-38.00000,-2446.00000,-1346.00000,44.00000,-635.00000
2019-12-31,1562,269,95,364,89,176,207,-362,688,2614,-333,-50,111,111,-139,-411,-2782,1,-2781,-677,-677,-644,-7,-4109,-1841,41,-644
2019-09-30,1624,263,-355,-92,-176,-3,-81,171,-61,1471,-161,0,211,211,171,221,2660,0,2660,-953,-953,-595,-40,1072,2683,37,-595
2019-06-30,1541,295,-92,203,-100,-52,21,-22,-66,1678,-163,0,319,319,110,266,-62,0,-62,-1667,-1667,-597,-2,-2328,-400,34,-597
2019-03-31,1416.00000,261.00000,-26.00000,235.00000,198.00000,-221.00000,-29.00000,-217.00000,-517.00000,1134.00000,-139.00000,,-430.00000,-430.00000,-40.00000,-609.00000,7.00000,-1.00000,6.00000,-605.00000,-605.00000,-606.00000,-30.00000,-1235.00000,-662.00000,41.00000,-606.00000
2018-12-31,1721,254,-620,-366,-367,-44,267,-138,204,1559,-295,-484,221,221,152,-406,-26,-351,-377,-1667,-1667,-603,1017,-1630,-516,44,-603
2018-09-30,2338,286,-970,-684,34,-270,242,182,224,1878,-182,-51,31,31,30,-172,-5,-450,-455,-489,-489,-553,1581,84,1721,41,-553
2018-06-30,1267,288,-4,284,158,-26,167,217,310,1861,-198,0,466,466,343,611,-29,-750,-779,-697,-697,-560,-2,-2038,185,38,-560
2018-03-31,1439.00000,288.00000,-139.00000,149.00000,-61.00000,-163.00000,57.00000,-43.00000,-452.00000,1136.00000,-138.00000,,1255.00000,1255.00000,-123.00000,994.00000,-1243.00000,1347.00000,104.00000,-880.00000,-880.00000,-556.00000,-116.00000,-1448.00000,838.00000,52.00000,-556.00000
2017-12-31,-2519,283,4292,4575,-274,141,520,-581,116,2172,-378,-10,-973,-973,-22,-1383,976,-31,945,-1497,-1497,-565,-12,-1129,-330,43,-565
2017-09-30,1346,285,-86,199,-132,-102,90,16,-138,1407,-191,-57,-868,-868,-83,-1199,-16,-1,-17,-256,-256,-505,-26,-804,-488,39,-505
2017-06-30,1392,276,-144,132,-299,-12,199,22,-77,1447,-232,-15,-57,-57,-84,-388,-20,200,180,-527,-527,-546,-72,-965,167,44,-546
2017-03-31,1326.00000,271.00000,-193.00000,78.00000,23.00000,-286.00000,115.00000,-25.00000,-464.00000,940.00000,-144.00000,,-431.00000,-431.00000,-29.00000,-604.00000,6.00000,1.00000,7.00000,-89.00000,-89.00000,-503.00000,-33.00000,-618.00000,-133.00000,50.00000,-503.00000
2016-12-31,1037,257,192,449,-55,215,272,-106,556,2042,-329,-13,152,152,124,-66,2374,-2039,335,-190,-190,-505,-2,-362,1412,39,-505
2016-09-30,1240,260,-205,55,-135,-21,-18,138,259,1554,-271,-1180,-389,-389,106,-1734,29,1799,1828,-90,-90,-453,244,1529,1386,49,-453
2016-06-30,1319,260,-130,130,-149,29,113,-84,134,1583,-281,-28,-80,-80,43,-346,-26,226,200,-339,-339,-458,-1,-598,572,43,-458
2016-03-31,1216.00000,253.00000,-17.00000,236.00000,-208.00000,-241.00000,-113.00000,-54.00000,-1133.00000,319.00000,-193.00000,-1056.00000,44.00000,44.00000,9.00000,-1196.00000,4029.00000,-2450.00000,1579.00000,-1051.00000,-1051.00000,-499.00000,-252.00000,-223.00000,-982.00000,53.00000,-499.00000
2015-12-31,1194,222,-177,45,149,250,-4,201,724,1963,-376,-5045,1524,1524,-33,-3930,-720,2254,1534,-127,-127,-465,8,950,-1108,43,-465
2015-09-30,1264,219,130,349,302,5,11,-73,114,1727,-277,1,156,156,81,-39,-57,882,825,-1210,-1210,-410,-48,-843,609,41,-410
2015-06-30,1194,226,151,377,-80,61,88,-96,-163,1408,-241,0,-1412,-1412,28,-1625,-11,77,66,-76,-76,-436,9,-437,-621,39,-436
2015-03-31,1116.00000,216.00000,-73.00000,143.00000,-170.00000,-86.00000,-112.00000,58.00000,-838.00000,421.00000,-164.00000,-183.00000,-395.00000,-395.00000,-178.00000,-920.00000,-32.00000,1052.00000,1020.00000,-285.00000,-285.00000,-415.00000,47.00000,367.00000,-384.00000,52.00000,-415.00000
2014-12-31,956,226,-224,2,357,79,153,-61,860,1818,-408,3,229,229,-61,-237,16,-236,-220,-176,-176,-409,-20,-825,531,44,-409
2014-09-30,1167,227,-200,27,-104,-57,54,49,39,1233,-258,154,-234,-234,-96,-434,33,-399,-366,-93,-93,-365,15,-809,-154,41,-365
2014-06-30,1099,233,206,439,-271,-107,141,-104,-197,1341,-225,-1,-560,-560,-74,-860,16,-146,-130,-162,-162,-373,19,-646,-90,50,-373
2014-03-31,1017.00000,238.00000,-101.00000,137.00000,-154.00000,-115.00000,-41.00000,236.00000,-466.00000,688.00000,-185.00000,,-221.00000,-221.00000,61.00000,-345.00000,-577.00000,1090.00000,513.00000,-228.00000,-228.00000,-363.00000,30.00000,-48.00000,250.00000,52.00000,-363.00000
2013-12-31,947,249,108,357,17,135,384,-393,364,1668,-392,-67,-43,-43,97,-405,1033,-787,246,-219,-219,-358,31,-300,923,41,-358
2013-09-30,990,245,102,347,-187,-58,-2,-32,-267,1070,-202,-603,29,29,85,-691,11,896,907,-108,-108,-330,48,517,950,38,-330
2013-06-30,1021,247,-78,169,-53,15,265,-14,66,1256,-190,-338,-76,-76,52,-552,5,13,18,-324,-324,-343,57,-592,10,37,-343
2013-03-31,966.00000,248.00000,-116.00000,132.00000,-142.00000,-51.00000,-295.00000,18.00000,-757.00000,341.00000,-148.00000,-122.00000,-8.00000,-8.00000,-33.00000,-311.00000,-593.00000,808.00000,215.00000,25.00000,25.00000,-322.00000,24.00000,-58.00000,-95.00000,54.00000,-322.00000
2012-12-31,251,245,468,713,41,78,207,-1,385,1349,-295,-373,52,52,53,-563,15,-496,-481,-154,-154,-331,28,-938,-126,39,-331
2012-09-30,950,226,7,233,-140,25,-29,-62,-184,999,-233,2,-108,-108,17,-322,44,-41,3,63,63,-298,12,-220,539,40,-298
2012-06-30,902,225,-281,-56,20,30,12,13,127,973,-200,-45,-95,-95,-81,-421,40,4,44,26,26,-291,4,-217,233,40,-291
2012-03-31,823.00000,230.00000,-71.00000,159.00000,-40.00000,-108.00000,-203.00000,-28.00000,-786.00000,196.00000,-151.00000,-1.00000,8.00000,8.00000,22.00000,-122.00000,2.00000,356.00000,358.00000,90.00000,90.00000,-291.00000,12.00000,169.00000,290.00000,51.00000,-291.00000
2011-12-31,-310,253,1229,1482,117,130,162,78,305,1477,-329,-360,8,8,-43,-724,-532,-99,-631,-4,-4,-295,11,-919,-187,39,-295
