,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,109.1,144.5,35.8,180.2999,-5,41,36,325.4,-156.1,3.7,0,-152.4,-500,404.3,-95.7,3.4,3.4,-48.4,-2.1,-142.8,43.5,12.2,-48.4
2022-09-30,166.9,142.9,17.1,160,36.9,-8.9,28,354.9,-153,-325.4,0,-478.4,749.3,-548.8,200.5,4.8,4.8,-47.7,-6.1,151.5,18.1,13.7,-47.7
2022-06-30,201.4,141.9,6.8,148.7,-45.6,-29.2,-74.8,275.3,-158.9,98.4,0,-60.5,0,-130.1,-130.1,3,3,-49.7,-2.5,-179.3,22.7,14.4,-49.7
2022-03-31,222.80000,139.30000,54.20000,193.50000,-124.90000,-489.90000,-614.80000,-198.50000,-156.50000,-111.70000,,-268.20000,,516.80000,516.80000,5.70000,5.70000,-48.40000,-29.80000,444.30000,-23.80000,22.30000,-48.40000
2021-12-31,123,134.7,65.7,200.4,-11.3,73.2,61.9,385.3,-131.2,-1826.7,0,-1957.9,-0.2001,-175.8,-176,13.4,13.4,-47.4,-14.7,-224.7,-1800.8,10.1,-47.4
2021-09-30,206.7,118.5,-8,110.5,-3.6,84.8,81.2,398.4,-97.4,-247.3,0,-344.7,1097.2001,499.8,1597,8.3,8.3,-48.3,-34.3,1522.7,1567.4,10.9,-48.3
2021-06-30,215.9,119.7,9.8,129.5,14.5,47.8,62.3,407.7,-122.5,0.4,0,-122.1,-500.1,0.1,-500,-17.3,-17.3,-52.6,-21.8,-591.7,-307.8,13.2,-52.6
2021-03-31,202.90000,116.70000,55.50000,172.20000,-65.80000,-165.90000,-231.70000,143.40000,-113.00000,-860.50000,,-973.50000,,-0.70000,-0.70000,-27.50000,-27.50000,-48.20000,-12.20000,-88.60000,-918.70000,20.70000,-48.20000
2020-12-31,77.6,104.1,8.4,112.5,-17.6,124.7,107.1,297.2,-111.8,0,0,-111.8,0,-1,-1,11.8,11.8,-49.4,-15.9,-54.5,149,10.8,-49.4
2020-09-30,229.4,103.1,-67.8,35.3,-10.8,113.1,102.3,367,-116.7,-13.3,0,-130,0,-0.5,-0.5,7,7,-48.5,-9,-51,188.2,12.2,-48.5
