,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2020-06-30,100.4,97.8,26.7,124.5,18.6,7.7,26.3,251.2,-104.8,0,-10,-114.8,873.3,0.6,873.9,6.2,6.2,-48.6,-7.9,823.6,977.5,12.9,-48.6
2020-03-31,118.80000,94.30000,4.40000,98.70000,-83.90000,-102.80000,-186.70000,30.80000,-88.00000,-48.10000,,-136.10000,125.00000,0.20000,125.20000,16.70000,16.70000,-47.60000,-1.60000,92.70000,-31.40000,18.80000,-47.60000
2019-12-31,25.5,88.5,8.1,96.6,-11.4,120,108.6,230.7,-93.9,-38.1,0,-132,548.3,-368.8,179.5,7,7,-49.1,-5.9,131.5,233.8,9.1,-49.1
2019-09-30,82.5,85.7,13.7,99.4,-19.7,-327.1,-346.8,-164.9,-97.2,0,0,-97.2,0,339.8,339.8,9.2,9.2,-47.3,-5.1,296.6,31.7,10.8,-47.3
2019-06-30,68.3,83.9,16.3,100.2,12.6,35.9,48.5,217,-93.7,-210,0,-303.7,175,-37.5,137.5,4.2,4.2,-51.6,-0.4,89.7,2.6,11.7,-51.6
2019-03-31,-554.40000,79.20000,-71.10000,8.10000,-42.80000,620.10000,577.30000,31.00000,-114.80000,-24.80000,-25.00000,-164.60000,25.00000,64.70000,89.70000,1.90000,1.90000,-47.30000,-4.20000,40.10000,-90.40000,18.10000,-47.30000
2018-12-31,37.4,80.6,24.4,105,-5.3,27.7,22.4,164.8,-113.8,-22.5,0,-136.3,0,1.7,1.7,0.5,0.5,-48.7,-8.5,-55,-29.8,9.7,-48.7
2018-09-30,39.6,77.8,8.7,86.5,4.2,22.3,26.5,152.6,-83.8,-85.1,-6.9,-175.8,-0.3,-0.7,-1,5.6,5.6,-46.9,-8.7,-51,-74,12.1,-46.9
2018-06-30,146.2,78.5,0.6,79.1,3.3,6.6,9.9,235.2,-62.5,-16.8,0,-79.3,894.8,-883.4,11.4,3.5,3.5,-53.3,-28.3,-66.7,78.1,7.9,-53.3
2018-03-31,93.80000,79.00000,10.10000,89.10000,-39.60000,-23.70000,-63.30000,119.60000,-56.20000,-13.90000,,-70.10000,,-76.80000,-76.80000,2.20000,2.20000,-49.30000,-14.40000,-138.30000,-87.10000,12.80000,-49.30000
2017-12-31,174.5,74.2,0.2,74.4,13.6,-55.2,-41.6,207.3,-60.7,-62.6,0,-123.3,100,-102.5,-2.5,0.4,0.4,-46.9,-11.9,-60.9,21,3.7,-46.9
2017-09-30,100.5,73.2,-24.5,48.7,9.2,121.2,130.4,279.6,-57.6,-67.7,0,-125.3,-272.5,146.1,-126.4,-71.3,-71.3,-48.4,-1,-247.1,-88.5,9.3,-48.4
2017-06-30,167.6,71.4,2.4,73.8,-1.4,-14.6,-16,225.4,-49.6,-2.3,0,-51.9,0,162.4,162.4,3.6,3.6,-51.7,-6.7,107.6,280.7,6.6,-51.7
2017-03-31,155.40000,72.10000,16.10000,88.20000,-22.70000,-117.20000,-139.90000,103.70000,-41.70000,-7.30000,,-49.00000,-50.00000,46.40000,-3.60000,9.40000,9.40000,-48.80000,-20.30000,-63.30000,-6.10000,18.70000,-48.80000
2016-12-31,124.8,73.3,-2,71.3,-1.2,83.9,82.7,278.8,-42.5,0.8,0,-41.7,-50,-121.2,-171.2,4.7,4.7,-39.5,-6.4,-212.4,17.8,6.9,-39.5
2016-09-30,134.9,70.7,-14.6,56.1,-12,66.7,54.7,245.7,-48.2,-64.6,0,-112.8,-90,-13.3,-103.3,11.1,11.1,-39.7,5.4,-126.5,14.7,8,-39.7
2016-06-30,133,67.9,-1.7,66.2,2.9,-11.7,-8.8,190.4,-42.6,0,0,-42.6,574.7,-692.6,-117.9,11.6,11.6,-43.3,2.4,-147.2,0,5.9,-43.3
2016-03-31,102.40000,56.80000,6.50000,63.30000,-45.40000,-12.20000,-57.60000,108.10000,-40.20000,-1727.80000,-10.80000,-1778.80000,790.00000,900.10000,1690.10000,4.10000,4.10000,-40.90000,-6.90000,1646.40000,3.50000,16.30000,-40.90000
2015-12-31,113,49.6,-6.1,43.5,2.1,73.7,75.8,232.3,-52.6,0,0,-52.6,0,-137.6,-137.6,8.4,8.4,-34.8,-24,-188,-15.2,6.2,-34.8
2015-09-30,119.7,49.6,-3,46.6,5.8,75.1,80.9,247.2,-38.4,2.9,0,-35.5,0,-148.2,-148.2,-5.3,-5.3,-34.4,5,-182.9,24.3,7.7,-34.4
2015-06-30,112.5,50.5,-4.2,46.3,-4.2,32.1,27.9,186.7,-33.6,0,0,-33.6,0,-42.4,-42.4,-86.5,-86.5,-38.7,3.1,-164.5,-10.8,6.3,-38.7
2015-03-31,89.60000,50.30000,7.80000,58.10000,-30.60000,-14.20000,-44.80000,102.90000,-21.60000,-4.40000,-0.10000,-26.10000,,-2.80000,-2.80000,-78.50000,-78.50000,-36.30000,14.00000,-103.60000,-33.30000,18.20000,-36.30000
2014-12-31,98.8,51,-6.8,44.2,-16.7,76.5,59.8,202.8,-22.5,-7.3,0,-29.8,-275,247.6,-27.4,-105,-105,-30.1,5.8,-156.7,13.3,9.1,-30.1
2014-09-30,94.4,51.3,5.6,56.9,16.7,20.8,37.5,188.8,-26.2,0.6,0.5,-25.1,0,0.9,0.9,-108,-108,-31.5,1.4,-137.2,23.3,9.4,-31.5
2014-06-30,94.5,51,4.8,55.8,-7.4,9.9,2.5,152.8,-19.2,0,-0.5,-19.7,-15,-62,-77,-38.4,-38.4,-34.9,5.9,-144.4,-9.7,8.5,-34.9
2014-03-31,86.30000,50.90000,7.20000,58.10000,-20.40000,-52.20000,-72.60000,71.80000,-18.50000,-333.70000,-2.50000,-354.70000,,193.40000,193.40000,-10.50000,-10.50000,-32.60000,4.60000,154.90000,-134.50000,11.10000,-32.60000
2013-12-31,78.9,45.7,19.8,65.5,-1,48.5,47.5,191.9,-21.8,-63.9,0,-85.7,0,-0.8,-0.8,8.9,8.9,-27.5,20.2,0.8,104,9.1,-27.5
2013-09-30,85.5,52.3,3.5,55.8,13.1,19.9,33,174.3,-25.3,-27.5,-6.7,-59.5,0,-59.9,-59.9,2.7,2.7,-32.6,3.3,-86.5,27,6.4,-32.6
2013-06-30,92.3,44.2,-5.2,39,-10.4,15.6,5.2,136.5,-17.5,3.8,-2.4,-16.1,-15,-100,-115,18.4,18.4,-29.5,7.1,-119,-2.7,6.3,-29.5
2013-03-31,103.20000,48.10000,-12.20000,35.90000,-4.10000,-68.70000,-72.80000,66.30000,-18.70000,43.70000,,25.00000,,-106.60000,-106.60000,5.90000,5.90000,-27.60000,-0.10000,-128.40000,-39.20000,10.40000,-27.60000
2012-12-31,48.2,40.6,26.2,66.8,-7.7,40.7,33,148,-16.7,-1009.1,0,-1025.8,499.1,262.2,761.3,27.4,27.4,-24.4,-8.1,756.2,-120.3,8,-24.4
2012-09-30,80.1,40.4,1.7,42.1,0.3,28.5,28.8,151,-14.8,-7.3,-0.1,-22.2,0,3.5,3.5,-26.4,-26.4,-21.9,0.7,-44.1,84,5,-21.9
2012-06-30,78.8,41.1,1.4,42.5,1.2,26.5,27.7,149,-14.3,2.5,-3.6,-15.4,-15.1,-1.4,-16.5,-38.4,-38.4,-23.3,3.1,-75.1,50.4,5.7,-23.3
2012-03-31,73.70000,41.30000,9.20000,50.50000,-11.00000,-64.90000,-75.90000,48.30000,-20.20000,,,-20.20000,,-30.20000,-30.20000,20.60000,20.60000,-21.20000,0.10000,-30.70000,5.00000,9.30000,-21.20000
2011-12-31,76,41.1,1.6,42.7,-7.9,38.9,31,149.7,-15.8,-15.2,0,-31,0,-22.1,-22.1,-56.3,-56.3,-19.4,0.8,-97,25.7,7.1,-19.4
2011-09-30,69.3,40.3,6.4,46.7,-3.5,-0.5,-4,112,-15.3,-81.5,-1.5,-98.3,0,49.9,49.9,-43.3,-43.3,-21.5,-0.1,-15,-6.7,5.5,-21.5
2011-06-30,37.1,40.8,41,81.8,1.8,3.2,5,123.9,-17.7,2.5,0,-15.2,-15,-23.2,-38.2,-24.1,-24.1,-23.2,0,-85.5,21.8,7.1,-23.2
2011-03-31,59.30000,42.70000,4.10000,46.80000,-17.00000,-66.00000,-83.00000,23.10000,-26.20000,-30.70000,-2.70000,-59.60000,-1.70000,19.80000,18.10000,5.10000,5.10000,-19.60000,-2.00000,1.60000,-32.50000,4.70000,-19.60000
2010-12-31,64,42.1,1.8,43.9,7.2,30.1,37.3,145.2,-17.4,-67.3,0.2,-84.5,-1.2,0,-1.2,-35.6,-35.6,-22,2.2,-56.6,3.8,6.8,-22
2010-09-30,78.8,41.4,-8.3,33.1,-2.4,-41,-43.4,68.5,-15.5,114.4,0.5,99.4,-0.9,-67.1,-68,-50.2,-50.2,-6.1,-0.1,-124.4,45.5,4.1,-6.1
2010-06-30,73.4,41.8,-5.1,36.7,-2.6,-6.3,-8.9,101.2,-16.9,58,1,42.1,-17.4,-69.6,-87,-54.6,-54.6,-6.9,-0.3,-148.8,-7,6.5,-6.9
2010-03-31,58.60000,42.50000,2.90000,45.40000,-5.80000,-60.50000,-66.30000,37.70000,-50.00000,-6.00000,,-56.00000,-6.30000,2.70000,-3.60000,2.20000,2.20000,-5.30000,1.20000,-5.50000,-26.00000,4.40000,-5.30000
2009-12-31,61.9,41.9,-4.7,37.2,1,49.5,50.5,149.6,-19.5,-192.5,-5.2,-217.2,254,-145.7,108.3,-10.4,-10.4,-5.8,0.7,92.8,25.4,6.1,-5.8
2009-09-30,61.4,39.6,21.6,61.2,5.4,-4.8,0.6,123.2,-17.2,-3.5,0.3,-20.4,-50.1,-34.9,-85,1.1,1.1,-5.8,-0.4,-90.1,14.1,3.7,-5.8
2009-06-30,61.1,39.1,9.5,48.6,16.7,-25.3,-8.6,101.1,-19,0,0.5,-18.5,-100.1,22.3,-77.8,1.4,1.4,-7.2,0.3,-83.3,3.6,6.1,-7.2
2009-03-31,56.10000,38.20000,6.60000,44.80000,-10.30000,-46.10000,-56.40000,44.50000,-15.00000,,1.00000,-14.00000,-276.40000,260.10000,-16.30000,-5.70000,-5.70000,-5.40000,-0.30000,-27.70000,1.80000,3.70000,-5.40000
