,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-3536,-944,-400,-1344,-134,601,-200,0,267,1604,1417,14,0,493,493,-491,-544,0,-96,-96,420,420,2859,-254,-478,726,-54,2859
2022-09-30,572,321,93,414,963,-186,-550,0,227,1414,-439,-14,0,-501,-501,555,-399,0,-9,-9,-158,-158,-395,25,-537,420,17,-395
2022-06-30,1644,308,147,455,-200,-298,26,0,-472,1599,-532,0,0,0,0,-46,-578,0,274,274,-45,-45,-2093,185,-1679,-728,19,-2093
2022-03-31,1320.00000,315.00000,160.00000,475.00000,-629.00000,-117.00000,724.00000,,-22.00000,1502.00000,-446.00000,,,8.00000,8.00000,-18.00000,-456.00000,,-169.00000,-169.00000,-217.00000,-217.00000,-371.00000,44.00000,-713.00000,317.00000,18.00000,-371.00000
2021-12-31,726,391,509,900,396,-1,162,0,557,3079,-674,-2,0,384,384,-413,-705,-1650,-193,-1843,-385,-385,-376,-154,-2758,-421,16,-376
2021-09-30,1762,359,-89,270,-413,-200,657,0,44,2143,-514,0,55,-310,-255,334,-435,-500,-103,-603,-78,-78,-380,-96,-1157,515,15,-380
2021-06-30,2059,338,107,445,-909,-181,155,0,-935,1902,-431,-104,217,38,255,-23,-303,-1275,0,-1275,0,0,-378,-35,-1688,-80,16,-378
2021-03-31,1070.00000,340.00000,-181.00000,159.00000,-593.00000,-360.00000,327.00000,,-626.00000,571.00000,-340.00000,,74.00000,226.00000,300.00000,-19.00000,-59.00000,-500.00000,,-500.00000,,,-352.00000,70.00000,-782.00000,-302.00000,19.00000,-352.00000
2020-12-31,855,338,400,738,-398,-259,307,0,-350,743,-274,-1968,24,-341,-317,-40,-2599,1506,43,1549,0,0,-352,-118,1079,-719,12,-352
2020-09-30,114,363,512,875,-335,-171,395,0,-111,827,-425,-472,90,229,319,-2,-580,0,-22,-22,0,0,-352,-2,-376,-94,14,-352
2020-06-30,314,359,-140,219,483,246,-250,0,479,1292,-588,0,-270,-184,-454,-22,-1064,1492,-783,709,0,0,-350,325,684,945,13,-350
2020-03-31,144.00000,346.00000,99.00000,445.00000,4.00000,540.00000,-235.00000,,309.00000,542.00000,-660.00000,,,1.00000,1.00000,-4.00000,-663.00000,500.00000,1016.00000,1516.00000,-4.00000,-4.00000,-351.00000,-277.00000,884.00000,745.00000,16.00000,-351.00000
2019-12-31,612,339,74,413,413,-84,-244,0,85,1242,-731,0,-108,494,386,-80,-425,1961,-2052,-91,0,0,-351,-11,-453,376,12,-351
2019-09-30,965,330,50,380,217,161,95,0,473,1876,-742,0,0,0,0,-12,-754,1096,605,1701,-3240,-3240,-351,-10,-1900,-796,12,-351
2019-06-30,1003,331,136,467,-57,-170,-207,0,-434,1186,-622,0,203,170,373,-29,-278,0,-128,-128,559,559,-388,-4,39,950,12,-388
2019-03-31,817.00000,323.00000,19.00000,342.00000,-206.00000,-3.00000,105.00000,,-104.00000,657.00000,-599.00000,,308.00000,162.00000,470.00000,-49.00000,-178.00000,-1000.00000,2000.00000,1000.00000,-1071.00000,-1071.00000,-372.00000,-78.00000,-521.00000,-43.00000,12.00000,-372.00000
2018-12-31,692,336,190,526,561,61,-456,0,166,1297,-698,20,13,41,54,-34,-658,0,670,670,-1053,-1053,-378,-5,-766,-131,6,-378
2018-09-30,1113,313,-43,270,196,-211,42,0,27,1441,-482,-1776,0,-16,-16,-38,-2312,-394,140,-254,-331,-331,-389,-3,-977,-1854,9,-389
2018-06-30,1654,303,160,463,-128,64,143,0,79,1727,-496,0,75,38,113,-17,-400,0,0,0,-351,-351,-392,-2,-745,546,15,-392
2018-03-31,1231.00000,303.00000,-26.00000,277.00000,-196.00000,-55.00000,72.00000,,-179.00000,1006.00000,-429.00000,,285.00000,,285.00000,-45.00000,-189.00000,,,,-119.00000,-119.00000,-395.00000,-6.00000,-520.00000,312.00000,9.00000,-395.00000
2017-12-31,1894,301,-750,-449,-243,-18,44,0,-217,1482,-401,0,0,-609,-609,508,-502,0,-315,-315,0,0,-355,2,-668,317,16,-355
2017-09-30,1056,298,-86,212,-140,-124,350,0,86,1486,-318,155,12,-49,-37,0,-200,0,-178,-178,-296,-296,-356,-2,-832,471,18,-356
2017-06-30,1130,290,186,476,294,-51,-282,0,-39,1560,-407,0,-65,-9,-74,-32,-513,0,-50,-50,-410,-410,-361,-1,-822,254,8,-361
2017-03-31,797.00000,300.00000,-2.00000,298.00000,-432.00000,-44.00000,53.00000,,-423.00000,678.00000,-421.00000,,-26.00000,-122.00000,-148.00000,28.00000,-541.00000,-10.00000,50.00000,40.00000,-160.00000,-160.00000,-343.00000,-74.00000,-537.00000,-392.00000,13.00000,-343.00000
2016-12-31,763,277,151,428,-60,129,309,0,378,1713,-567,65,4,-168,-164,-105,-771,0,0,0,-437,-437,-346,1,-782,134,38,-346
2016-09-30,953,260,111,371,-42,-3,-87,0,-132,1332,-586,7,-68,167,99,21,-459,0,-23,-23,-819,-819,-351,-2,-1195,-320,0,-351
2016-06-30,1091,271,138,409,-146,-57,111,0,-92,1261,-563,0,293,627,920,-831,-474,0,23,23,-696,-696,-362,-4,-1039,-261,0,-362
2016-03-31,1030.00000,272.00000,-71.00000,201.00000,-135.00000,83.00000,50.00000,,-2.00000,1300.00000,-527.00000,137.00000,-243.00000,-752.00000,-995.00000,788.00000,-597.00000,812.00000,177.00000,989.00000,-986.00000,-986.00000,-336.00000,,-333.00000,394.00000,,-336.00000
2015-12-31,795,269,227,496,372,56,-285,98,241,1160,-483,0,501,50,551,-11,57,0,-170,-170,-1220,-1220,-347,-7,-1744,-545,53,-347
2015-09-30,1186,252,-43,209,443,28,-289,-46,136,1768,-373,0,386,50,436,4,67,0,-7,-7,-1299,-1299,-361,-17,-1684,149,0,-361
2015-06-30,1329,251,16,267,-232,136,34,36,-26,1446,-278,0,-474,2,-472,23,-727,0,69,69,-778,-778,-368,56,-1021,-291,0,-368
2015-03-31,1164.00000,291.00000,-20.00000,271.00000,197.00000,88.00000,-246.00000,-88.00000,-49.00000,1468.00000,-306.00000,,3.00000,-149.00000,-146.00000,9.00000,-443.00000,984.00000,169.00000,1153.00000,-1359.00000,-1359.00000,-334.00000,139.00000,-401.00000,585.00000,,-334.00000
2014-12-31,791,251,51,302,598,784,-361,-15,1006,2016,-403,0,-83,-150,-233,0,-636,0,262,262,-1441,-1441,-348,8,-1519,-154,0,-348
2014-09-30,1257,266,51,317,6,-176,-159,4,-325,1434,-338,0,-32,-272,-304,4,-638,0,0,0,-1280,-1280,-358,17,-1621,-845,0,-358
2014-06-30,1176,257,35,292,-141,252,51,275,437,1797,-415,0,-176,347,171,-2,-246,0,0,0,-1866,-1866,-370,19,-2217,-672,0,-370
2014-03-31,944.00000,265.00000,-61.00000,204.00000,-105.00000,-305.00000,91.00000,-108.00000,-427.00000,801.00000,-343.00000,,-1397.00000,-275.00000,-1672.00000,4.00000,-2011.00000,992.00000,,992.00000,-1201.00000,-1201.00000,-327.00000,-14.00000,-550.00000,-1748.00000,,-327.00000
2013-12-31,1175,257,-207,50,42,131,259,14,446,1674,-360,0,0,0,0,-7,-367,1,0,1,-698,-698,-610,8,-1299,36,0,-610
2013-09-30,851,267,140,407,37,-131,-77,-101,-272,1116,-423,0,0,0,0,-15,-438,1471,0,1471,-981,-981,-27,-11,452,1181,0,-27
2013-06-30,927,259,54,313,-121,91,110,37,117,1246,-387,0,0,0,0,-2,-389,0,0,0,-270,-270,-261,23,-508,354,0,-261
2013-03-31,900.00000,259.00000,-50.00000,209.00000,-22.00000,-242.00000,-17.00000,-115.00000,-396.00000,799.00000,-391.00000,,,,,-17.00000,-408.00000,,,,,,-229.00000,-5.00000,-234.00000,147.00000,,-229.00000
2012-12-31,623,272,286,558,213,187,-89,38,58,1328,-333,48,0,0,0,-32,-317,0,0,0,0,0,-1812,-14,-1826,-795,0,-1812
2012-09-30,844,242,105,347,-158,562,245,-59,593,2042,-266,0,0,0,0,0,-266,0,0,0,0,0,-230,-4,-234,1577,0,-230
2012-06-30,768,290,217,507,218,-654,-425,197,-620,504,-233,0,0,0,0,-12,-245,321,0,321,0,0,-230,-36,55,280,0,-230
2012-03-31,599.00000,237.00000,133.00000,370.00000,-374.00000,346.00000,80.00000,-274.00000,22.00000,913.00000,-228.00000,,,,,43.00000,-185.00000,,,,,,-143.00000,3.00000,-140.00000,605.00000,,-143.00000
2011-12-31,-218,288,-564,-276,193,132,151,116,599,82,-289,0,0,0,0,239,-50,-1803,0,-1803,-37,-37,-2722,24,-4538,-4544,0,-2722
2011-09-30,895,245,339,584,720,-245,-588,-43,-156,1531,-278,0,0,0,0,-42,-320,0,0,0,0,0,-114,-4,-118,922,0,-114
2011-06-30,803,236,110,346,-105,180,-124,-10,-61,1026,-196,0,0,0,0,-239,-435,-260,0,-260,0,0,-57,-10,-327,304,0,-57
2011-03-31,660.00000,223.00000,-26.00000,197.00000,-897.00000,-799.00000,1264.00000,-86.00000,-516.00000,221.00000,-216.00000,,,,,,-216.00000,,,,37.00000,37.00000,,-9.00000,28.00000,161.00000,,
2010-12-31,766,215,-622,-407,-86,-481,225,-117,-455,739,-46,11,0,0,0,-22,-57,-778,-457,-1235,0,0,0,-4,-1239,-610,0,0
2010-09-30,467,232,120,352,-105,107,-59,157,100,1124,-157,1,0,0,0,0,-156,0,-79,-79,0,0,0,-9,-88,1079,0,0
2010-06-30,8843,476,-9014,-8538,-31,405,353,-107,620,553,-195,-12,0,0,0,0,-207,1075,-684,391,2800,2800,0,-233,2958,3216,0,0
