,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,140,294,39,333,-44,-46,89,334,807,-210,-24,36,36,16,-183,0,0,0,19,19,-13,-4,1,629,55
2022-09-30,188,409,179,588,-14,-95,-54,-304,470,-149,-71,-22,-22,18,-225,0,-155,-155,59,59,-14,-90,-199,39,58
2022-06-30,260,291,108,399,-96,-72,-104,-353,307,-104,0,1,1,73,-29,-1,-69,-70,6,6,-14,-264,-344,-71,55
2022-03-31,110.00000,274.00000,240.00000,514.00000,-66.00000,-108.00000,-140.00000,-682.00000,-58.00000,-113.00000,-1466.00000,-15.00000,-15.00000,19.00000,-1574.00000,87.00000,-27.00000,60.00000,52.00000,52.00000,-14.00000,-105.00000,-6.00000,-1639.00000,52.00000
2021-12-31,95,487,-68,419,-148,-31,11,-35,478,-262,60,-279,-279,20,-461,0,0,0,8,8,-13,-3,-8,9,49
2021-09-30,419,400,-141,259,14,-215,55,-211,465,-104,-1308,187,187,19,-1207,0,0,0,64,64,-14,-44,6,-739,51
2021-06-30,186,308,-102,206,-28,15,-72,248,643,-103,0,67,67,36,0,0,0,0,20,20,-14,-4,2,645,47
2021-03-31,341.00000,268.00000,29.00000,297.00000,-117.00000,-115.00000,-128.00000,-353.00000,284.00000,-71.00000,95.00000,25.00000,25.00000,22.00000,71.00000,,,,18.00000,18.00000,-14.00000,-99.00000,-95.00000,258.00000,47.00000
2020-12-31,210,370,-128,242,93,-64,-146,219,673,-153,-146,130,130,21,-147,-260,0,-260,-531,-531,-14,-14,-819,-287,42
2020-09-30,-155,471,9,480,-123,35,241,320,643,-47,0,-101,-101,21,-129,0,-250,-250,59,59,-14,-44,-249,266,40
2020-06-30,-148,354,88,442,204,163,-317,-25,269,-67,12,-27,-27,22,-59,1683,-2518,-835,981,1956,0,-15,1105,1316,46
2020-03-31,11.00000,461.00000,-12.00000,449.00000,161.00000,-199.00000,-43.00000,-537.00000,-77.00000,-97.00000,,-2.00000,-2.00000,23.00000,-76.00000,-1000.00000,1346.00000,346.00000,42.00000,42.00000,,-132.00000,256.00000,93.00000,42.00000
2019-12-31,4700,1116,-3682,-2566,-130,-290,45,-296,692,-184,0,-12,-12,147,-49,5276,-6131,-855,10,10,0,120,-724,-69,157
2019-09-30,0,0,0,0,0,0,0,0,502,-118,-3414,-137,-137,-294,-3962,-4314,5581,1267,50,50,0,-3,1314,-2147,0
2019-06-30,0,0,0,0,0,0,0,0,292,-91,-557,28,28,0,-620,4186,-3938,248,10,10,0,-1,256,-73,0
2019-03-31,0.00000,,,,,,,,350.00000,-61.00000,-321.00000,-28.00000,-28.00000,,-410.00000,-1479.00000,3613.00000,2134.00000,53.00000,53.00000,,-60.00000,2127.00000,2067.00000,
2018-12-31,1671,929,-120,809,-110,-83,-1336,-2169,19,-92,-480,-24,-24,0,-595,987,-565,422,7,7,0,-5,425,-151,140
2018-09-30,0,0,0,0,0,0,0,0,501,-76,-438,-148,-148,0,-662,0,124,124,41,41,0,-13,151,-14,0
2018-06-30,0,0,0,0,0,0,0,0,-403,-74,-521,103,103,0,-491,-990,1707,717,15,15,0,-7,726,-174,0
2018-03-31,0.00000,,,,,,,,193.00000,-60.00000,-9.00000,-103.00000,-103.00000,,-173.00000,388.00000,-246.00000,142.00000,38.00000,38.00000,,-50.00000,130.00000,151.00000,
2017-12-31,104,848,408,1256,-30,-107,8,66,684,-79,-168,-42,-42,0,-289,30,-70,-40,6,6,0,-34,-68,328,127
2017-09-30,0,0,0,0,0,0,0,0,452,-60,0,-42,-42,0,-102,-412,240,-172,35,35,0,-2,-139,213,0
2017-06-30,0,0,0,0,0,0,0,0,297,-68,-392,-19,-19,0,-479,-368,672,304,11,11,0,17,332,150,0
2017-03-31,0.00000,,,,,,,,-7.00000,-112.00000,,-28.00000,-28.00000,,-140.00000,-250.00000,281.00000,31.00000,33.00000,33.00000,,-79.00000,-15.00000,-161.00000,
2016-12-31,347,826,-197,629,-216,40,-171,206,676,-167,-338,-27,-27,0,-532,-30,60,30,3,3,0,-5,28,169,116
