,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,0,0,0,0,0,0,0,0,0,-10670,-590,-1832,1187,-645,3658,2423,-899,0,-899,2730,2730,1361,2215,5407,-2084,1205
2022-09-30,0,0,0,0,0,0,0,0,0,4278,0,-2387,-764,-3151,-961,-4112,941,0,941,-674,-674,-464,1972,1775,1652,-400
2022-06-30,0,0,0,0,0,0,0,0,0,4438,590,233,3060,3293,-1768,2115,-20,0,-20,-1116,-1116,-437,-7560,-9133,-2963,-408
2022-03-31,0.00000,,,,,,,,,1954.00000,,3986.00000,-3483.00000,503.00000,-929.00000,-426.00000,-22.00000,,-22.00000,-940.00000,-940.00000,-460.00000,3373.00000,1951.00000,3395.00000,-397.00000
2021-12-31,6575,-161,1600,1439,389,0,-11,3606,4582,5340,-59,24036,-26599,-2563,-240,-2862,-82,0,-82,-1176,-1176,-434,357,-1335,1057,-405
2021-09-30,0,0,0,0,0,0,0,0,0,3506,0,-3281,-4311,-7592,-688,-8280,-510,100,-410,-1015,-1015,-476,793,-1108,-6082,-413
2021-06-30,0,0,0,0,0,0,0,0,0,2254,3329,944,-2953,-2009,-311,1009,-13,-100,-113,-1113,-1613,-456,3814,1632,4895,-421
2021-03-31,0.00000,,,,,,,,,1496.00000,,-828.00000,3125.00000,2297.00000,-3351.00000,-1054.00000,-27.00000,,-27.00000,-999.00000,-999.00000,-476.00000,938.00000,-564.00000,-314.00000,-408.00000
2020-12-31,5418,-197,1565,1368,842,0,104,3918,4853,5153,-1684,13811,-12692,1119,-1597,-2162,-83,0,-83,-571,-1574,-449,-4887,-6993,-3845,-415
2020-09-30,0,0,0,0,0,0,0,0,0,3793,0,1537,-7145,-5608,-1071,-6679,-76,0,-76,-80,909,-478,2530,2885,116,-419
2020-06-30,0,0,0,0,0,0,0,0,0,846,0,553,-1934,-1381,-10,-1391,-20,0,-20,0,0,-496,1196,680,195,-419
2020-03-31,0.00000,,,,,,,,,1847.00000,,-2125.00000,-9703.00000,-11828.00000,3491.00000,-8337.00000,1056.00000,,1056.00000,-500.00000,472.00000,-436.00000,13065.00000,14157.00000,7496.00000,-404.00000
2019-12-31,5909,-369,821,452,-514,0,8,7698,7425,5181,-32,-329,-5885,-6214,-847,-7093,-25,0,-25,-250,-250,-463,-271,-1009,-2854,-406
2019-09-30,0,0,0,0,0,0,0,0,0,4146,0,-721,-4718,-5439,88,-5351,-53,34,-19,-785,-785,-445,3576,2327,1017,-413
2019-06-30,0,0,0,0,0,0,0,0,0,2387,0,1747,-723,1024,-467,557,509,-34,475,-750,-750,-476,1685,934,3929,-419
2019-03-31,0.00000,,,,,,,,,2072.00000,,-545.00000,-4852.00000,-5397.00000,-302.00000,-5699.00000,-22.00000,,-22.00000,-500.00000,-500.00000,-437.00000,3275.00000,2316.00000,-1315.00000,-405.00000
2018-12-31,5128,-385,-1209,-1594,-1809,0,-121,9194,8204,1301,0,1171,3832,5003,355,5358,-573,0,-573,-1200,-1200,-472,-1087,-3332,3331,-415
2018-09-30,0,0,0,0,0,0,0,0,0,3533,0,-1356,-4521,-5877,-351,-6228,-1113,-75,-1188,-636,-636,-451,1194,-1081,-3822,-419
2018-06-30,0,0,0,0,0,0,0,0,0,5608,0,1215,-5477,-4262,-17,-4279,-191,75,-116,-1115,-335,-474,2319,1394,2385,-428
