,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,68.1,41.8,76.7,118.5,506.3,0,-380,-70.1,95.0998,277.1,-52.4,-72.5,102.8,-76.1999,26.6001,-28.9,-127.2,0,0,-15.2,-15.2,-37.5,1.5,-51.2,106.9,15.4,-37.5
2022-09-30,7.3,44.8,97.6,142.4,-1413.9,0,53.3,1719.6,476.6002,647.9,-46.6,0,-92.7,-129.9,-222.6,27.3,-241.9,0,0,-91,-91,-36.7,-14.6,-142.3,247.8,17.9,-36.7
2022-06-30,55.7,48.1,81.4,129.5,-169.5,0,306.3,-152.5,-13.5,173,-46.2,4.8,-33.2,167.9001,134.7001,27,120.3,-75.9,-75.9,-236.6,-236.6,-38.6,3.7,-347.4,-76.8,16.9,-38.6
2022-03-31,145.50000,47.30000,100.90000,148.20000,-198.00000,,-287.80000,-197.70000,-754.00000,-501.10000,-41.10000,,103.80000,-84.10000,19.70000,8.10000,-13.30000,,,-230.00000,-230.00000,-37.40000,-10.10000,-277.50000,-796.00000,12.40000,-37.40000
2021-12-31,120.9,45.6,27.3,72.9,-220.8,0,203,87.5,47.3,254.7,-56.1,-4,-35,221.3004,186.3004,-5.3,120.9,0,0,-295,-295,-39.1,1.7,-332.4,26.9,18.1,-39.1
2021-09-30,879.8,41.9,-630.7,-588.8,-391.4,0,-52,310.5,-280.9,-2,-46.1,1318.2,-70.1,-1182,-1252.1,-16.6,3.4,-369.8,-369.8,-321.2,-321.2,-38.5,-7.1,-736.6,-743.9,18.2,-38.5
2021-06-30,198.1,42.7,21.4,64.1,56.2,0,213.1,394,681.4,947.7,-45.6,-11.1,-1.7,97.4,95.7,-20.2,18.8,347.2,347.2,-181.1,-181.1,-41.8,7.9,132.2,1100.2,17.2,-41.8
2021-03-31,163.00000,41.40000,66.90000,108.30000,-315.10000,,-123.90000,-248.50000,-681.00000,-418.70000,-39.60000,-4.10000,41.60000,47.00000,88.60000,-30.40000,14.50000,-50.00000,-50.00000,-42.00000,-42.00000,-42.90000,-18.10000,-153.00000,-557.00000,13.20000,-38.20000
2020-12-31,138.2,38.1,26,64.0999,5.1,0,-333.7,509.6,229.4,440.4,-40.1,-292.5,-91.6,74.9,-16.7,-110.7,-460,243.7,243.7,-142.5,-142.5,-44.2,-25,32,25.6,16,-39.5
2020-09-30,-30.2,39.5,202.4,241.9001,-290.3,0,66.7,423.3,389.8,609.4,-34.9,-30.3,-19.2,-179.1999,-198.3999,20.6,-243,0,-200,-68.3,-68.3,-42.2,1.7,-308.8,65.5,15.5,-37.5
