,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,201.303,171.606,106.163,277.769,212.325,-79.478,-186.398,-57.596,421.476,-413.867,-0.074,0,0,0,-413.941,0,17.5001,17.5001,-15.946,-15.946,-41.496,0,-39.942,-32.407,17.798,-41.496
2022-09-30,269.382,166.58,67.714,234.294,50.618,-28.216,40.853,67.203,570.879,-419.934,-31.162,0,0,0,-451.096,-350,299.9999,-50.0001,-67.736,-67.736,-41.554,0,-159.29,-39.507,20.153,-41.554
2022-06-30,255.341,157.571,94.547,252.118,-30.023,-3.103,25.919,-14.717,492.742,-308.968,0,0,0,0,-308.968,0,0,0,-162.728,-162.728,-41.734,0,-204.462,-20.688,20.443,-41.734
2022-03-31,243.32500,148.76300,28.62500,177.38800,-232.92000,86.95900,35.73400,-128.92800,291.78500,-289.12600,-86.93900,,,,-376.06500,,,,-84.80000,-84.80000,-41.94000,,-126.74000,-211.02000,19.14100,-41.94000
2021-12-31,242.209,141.254,-335.068,-193.814,318.545,38.659,-147.005,205.654,254.049,-365.943,0,0,0,0.079,-365.864,0,-1.516,-1.516,-29.164,-29.164,-31.551,0,-62.231,-174.046,14.094,-31.551
2021-09-30,199.829,138.923,32.273,171.196,-149.024,52.363,46.096,-69.924,301.101,-250.364,0,0,0,0.009,-250.355,0,0.505,0.505,-60.984,-60.984,-31.59,0,-92.069,-41.323,15.945,-31.59
2021-06-30,172.162,139.371,36.775,176.146,-74.762,5.993,39.272,-44.218,304.09,-174.857,0,0,0,-0.092,-174.949,0,0.506,0.506,-79.995,-79.995,-31.704,0,-111.193,17.948,16.499,-31.704
2021-03-31,146.60600,137.54500,59.40600,196.95100,-94.75900,43.28000,46.38500,21.10100,364.65800,-85.85400,,,,0.00400,-85.85000,,0.50500,0.50500,-10.04800,-10.04800,-29.59700,,-39.14000,239.66800,14.96700,-29.59700
2020-12-31,154.007,134.589,-102.988,31.6009,109.996,-92.349,-25.948,26.257,211.865,-152.048,-12.136,0,0,-0.101,-164.285,-221.618,222.124,0.506,-24.807,-24.807,-28.526,0,-52.827,-5.247,12.04,-28.526
2020-09-30,125.496,132.393,36.565,168.958,-171.189,76.341,34.356,-23.41,271.044,-184.107,0,0,0,-0.039,-184.146,221.618,-221.113,0.505,-14.975,-14.975,-28.533,0,-43.003,43.895,14.593,-28.533
