,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,639,581,188,769,-68,8,-28,-234,-157,1251,-634,-2017,-2,-2,7,-2646,1451,1451,-10,-10,-15,1426,30,32
2022-09-30,606,563,-22,541,-202,3,81,31,-5,1142,-974,-11,-1,-1,8,-978,87,87,-239,-239,0,-152,8,35
2022-06-30,493,551,-28,523,-135,-23,241,-22,138,1154,-772,-235,-1,-1,10,-998,323,323,-501,-501,-9,-187,-33,36
2022-03-31,367.00000,535.00000,-64.00000,471.00000,76.00000,-13.00000,10.00000,61.00000,48.00000,886.00000,-321.00000,-77.00000,-3.00000,-3.00000,7.00000,-394.00000,-217.00000,-217.00000,-318.00000,-318.00000,,-535.00000,-43.00000,24.00000
2021-12-31,481,536,-28,508,-76,1,-241,-58,-321,668,-414,-1,1,1,6,-408,-434,-434,-1,-1,0,-435,-176,30
2021-09-30,409,513,56,569,-206,6,163,96,109,1087,-1000,0,0,0,5,-995,-94,-94,-1,-1,-8,-103,-16,33
2021-06-30,293,478,14,492,-81,-9,289,187,391,1176,-746,-1434,-1,-1,7,-2174,1049,1049,-2,-2,0,1047,58,35
2021-03-31,203.00000,469.00000,-86.00000,383.00000,63.00000,11.00000,96.00000,23.00000,172.00000,758.00000,-40.00000,-1.00000,,,7.00000,-34.00000,-619.00000,-619.00000,-30.00000,-30.00000,,-649.00000,76.00000,21.00000
2020-12-31,297,483,-112,371,16,-17,-78,-258,-298,370,58,0,-1,-1,6,63,-407,-407,-5,-5,0,-412,28,24
2020-09-30,208,496,80,576,-95,0,223,32,43,827,-265,0,-1,-1,21,-245,-518,-518,-5,-5,-13,-536,47,18
2020-06-30,212,493,-125,368,192,7,-168,28,237,817,-7,-2,0,0,7,-2,-1202,-1202,0,0,-1,-1203,-386,15
2020-03-31,173.00000,530.00000,-74.00000,456.00000,105.00000,5.00000,33.00000,-30.00000,15.00000,644.00000,-44.00000,,-1.00000,-1.00000,6.00000,-39.00000,142.00000,142.00000,-275.00000,-275.00000,-9.00000,-142.00000,461.00000,13.00000
2019-12-31,338,520,36,556,69,9,-387,-38,-452,442,36,-2,-1,-1,6,39,-274,-274,-205,-205,-10,-489,-8,16
2019-09-30,391,522,2,524,-69,8,90,2,77,992,-696,-52,-1,-1,6,-743,-55,-55,-210,-210,1,-264,-15,14
2019-06-30,270,508,-5,503,-34,-16,193,-35,150,923,-723,-22,-1,-1,5,-741,56,56,-205,-205,-10,-159,23,16
2019-03-31,175.00000,503.00000,-31.00000,472.00000,73.00000,-9.00000,18.00000,12.00000,20.00000,667.00000,-99.00000,-173.00000,,,7.00000,-265.00000,-145.00000,-145.00000,-239.00000,-239.00000,-9.00000,-393.00000,9.00000,15.00000
2018-12-31,310,473,46,519,16,3,-189,44,-99,730,1,-2161,-2,-2,4,-2158,1638,1638,-211,-211,-23,1404,-22,29
2018-09-30,333,421,85,506,-160,-4,-213,6,-365,474,-645,-747,0,0,4,-1388,1074,1074,-211,-211,0,863,-52,30
2018-06-30,270,393,7,400,-51,-10,348,-17,337,1007,-832,-6,-1,-1,12,-827,-169,-169,-168,-168,-1,-338,-161,24
2018-03-31,183.00000,396.00000,-18.00000,378.00000,80.00000,-9.00000,103.00000,42.00000,81.00000,642.00000,-128.00000,-52.00000,,,2.00000,-178.00000,-307.00000,-307.00000,-225.00000,-225.00000,,-532.00000,-74.00000,19.00000
2017-12-31,897,393,-634,-241,-12,10,-209,-19,-203,453,-139,-1314,0,0,11,-1442,1048,1048,-28,-28,0,1020,28,23
2017-09-30,199,355,79,434,-156,-4,-79,6,-206,427,-461,-98,-1,-1,2,-558,146,146,-2,-2,-37,107,-14,24
2017-06-30,141,332,38,370,-81,1,290,-16,196,707,-590,-965,-3,-3,7,-1551,837,837,-1,-1,0,836,1,24
2017-03-31,109.00000,312.00000,-20.00000,292.00000,65.00000,-6.00000,139.00000,9.00000,221.00000,622.00000,-133.00000,,-1.00000,-1.00000,1.00000,-133.00000,-437.00000,-437.00000,-22.00000,-22.00000,-7.00000,-466.00000,25.00000,16.00000
2016-12-31,153,320,40,360,8,4,-166,2,-202,311,8,0,-2,-2,12,18,-262,-262,-39,-39,-7,-308,15,12
2016-09-30,187,314,0,314,-61,-1,-200,11,-118,383,-329,-14,0,0,0,-343,147,147,-152,-152,0,-5,32,11
2016-06-30,134,308,4,312,-35,2,281,0,197,643,-504,-1,0,0,0,-505,67,67,-172,-172,14,-91,46,13
