,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,2012,508,121,629,2357,1044,-920,213,2109,4750,-713,481,-232,-473,-473,-717,-717,-537,-515,-2242,2389,-537
2022-09-30,5540,435,-2730,-2295,1204,295,-2629,568,-101,3144,-735,198,-537,-476,-476,-694,-694,-469,-18,-1657,935,-469
2022-06-30,3182,365,61,426,-2592,-113,476,-181,-1825,1783,-376,85,-291,-1457,-1457,-22,-22,-491,-7,-1977,-526,-491
2022-03-31,657.00000,344.00000,250.00000,594.00000,-3042.00000,-1152.00000,4809.00000,-849.00000,-115.00000,1136.00000,-370.00000,-58.00000,-428.00000,-24.00000,-24.00000,23.00000,23.00000,-481.00000,-30.00000,-512.00000,188.00000,-481.00000
2021-12-31,1371,530,-513,17,543,1006,-798,30,412,1800,-597,40,-557,-476,-476,2,2,-488,-16,-978,250,-488
2021-09-30,488,367,572,939,53,326,241,44,776,2203,-552,56,-496,-521,-521,0,0,-475,-9,-1005,690,-475
2021-06-30,374,370,166,536,222,-444,703,-130,833,1743,-380,28,-352,-39,-39,4,4,-476,-31,-542,856,-476
2021-03-31,-639.00000,362.00000,450.00000,812.00000,-1740.00000,-377.00000,2779.00000,-283.00000,98.00000,271.00000,-331.00000,-136.00000,-467.00000,-475.00000,-475.00000,20.00000,20.00000,-470.00000,-20.00000,-945.00000,-1163.00000,-470.00000
2020-12-31,-494,363,367,730,-661,1063,98,132,403,639,-506,-7,-513,1368,1368,4,4,-481,-19,872,1052,-481
2020-09-30,-726,358,1163,1521,-1130,282,136,86,-304,491,-552,10,-542,70,70,0,0,-467,-7,-404,-428,-467
2020-06-30,-67,348,389,737,-86,204,118,-36,94,764,-939,-208,-1147,1497,1497,0,0,-459,9,1047,669,-459
2020-03-31,-2427.00000,348.00000,2815.00000,3163.00000,3900.00000,-1620.00000,-3239.00000,-90.00000,-519.00000,217.00000,-923.00000,46.00000,-877.00000,1192.00000,1192.00000,-437.00000,-437.00000,-457.00000,-22.00000,276.00000,-393.00000,-457.00000
2019-12-31,810,346,67,413,-1399,1800,163,255,471,1694,-1278,22,-1256,-278,-278,-355,-355,-463,-13,-1109,-654,-463
2019-09-30,793,342,678,1020,-375,-455,410,-87,-151,1662,-867,21,-846,491,491,-342,-342,-461,-19,-331,449,-461
2019-06-30,1504,339,-164,175,636,241,-1098,256,251,1930,-631,57,-574,130,130,-444,-444,-467,-6,-787,566,-467
2019-03-31,270.00000,337.00000,316.00000,653.00000,-1170.00000,-1790.00000,2466.00000,-438.00000,-1401.00000,-478.00000,-1097.00000,85.00000,-1012.00000,133.00000,133.00000,-304.00000,-304.00000,-420.00000,307.00000,-284.00000,-1766.00000,-420.00000
2018-12-31,2316,343,147,490,1798,1976,-2826,396,1333,4139,-994,63,-931,-180,-180,-483,-483,-428,-7,-1098,2095,-428
2018-09-30,1568,351,146,497,-782,-641,-31,-252,-1483,582,-779,60,-719,-29,-29,-349,-349,-420,-21,-819,-960,-420
2018-06-30,1404,343,-75,268,-1062,-207,1863,-206,692,2364,-538,74,-464,-253,-253,-152,-152,-423,-13,-841,1042,-423
2018-03-31,585.00000,342.00000,376.00000,718.00000,1366.00000,-1330.00000,-552.00000,-51.00000,-815.00000,488.00000,-328.00000,-29.00000,-357.00000,1502.00000,1502.00000,-3494.00000,-3494.00000,-372.00000,-45.00000,-2409.00000,-2277.00000,-372.00000
2017-12-31,3255,352,-2589,-2237,-1149,1052,689,210,913,1931,-537,67,-470,-92,-92,583,583,-390,-10,91,1572,-390
2017-09-30,849,342,-595,-253,-757,-181,772,-123,-195,401,-367,-14,-381,229,229,-444,-444,-385,-12,-612,-614,-385
2017-06-30,581,326,317,643,103,175,188,108,641,1865,-458,5,-453,-246,-246,-248,-248,-390,-20,-904,525,-390
2017-03-31,563.00000,320.00000,-135.00000,185.00000,621.00000,-1222.00000,-496.00000,-91.00000,-1297.00000,-549.00000,-470.00000,628.00000,158.00000,-61.00000,-61.00000,-241.00000,-241.00000,-350.00000,-34.00000,-686.00000,-1075.00000,-350.00000
2016-12-31,194,311,131,442,-1443,726,554,306,31,667,-813,-182,-995,1275,1275,-210,-210,-358,-4,703,374,-358
2016-09-30,536,298,-290,8,571,26,-487,51,339,883,-661,110,-551,-2,-2,129,129,-346,-11,-230,105,-346
2016-06-30,516,295,-251,44,-910,84,1414,-194,595,1155,-620,-130,-750,34,34,432,432,-346,12,132,509,-346
2016-03-31,398.00000,285.00000,39.00000,324.00000,524.00000,-620.00000,98.00000,-310.00000,-464.00000,258.00000,-750.00000,-112.00000,-862.00000,-50.00000,-50.00000,-387.00000,-387.00000,-307.00000,-39.00000,-783.00000,-1351.00000,-307.00000
2015-12-31,666,286,873,1159,-29,903,-1164,159,-328,1497,-2478,-44,-2522,-8,-8,-348,-348,-314,-47,-717,-1748,-314
2015-09-30,1592,275,-397,-122,1240,-300,-1530,105,-33,1437,-992,28,-964,-14,-14,-375,-375,-310,0,-699,-267,-310
2015-06-30,1025,280,454,734,-766,87,743,190,-332,1427,-1213,-1,-1214,-9,-9,-334,-334,-316,16,-643,-301,-316
2015-03-31,997.00000,258.00000,-375.00000,-117.00000,1684.00000,-834.00000,-349.00000,-130.00000,472.00000,1352.00000,-1081.00000,43.00000,-1038.00000,274.00000,274.00000,-40.00000,-40.00000,-278.00000,-14.00000,-58.00000,183.00000,-278.00000
2014-12-31,1158,279,-357,-78,1416,2251,-3622,-221,-208,872,-1126,658,-468,2468,2468,-532,-532,-287,0,1649,2099,-287
2014-09-30,1189,255,-187,68,1101,-772,-1369,-61,-828,429,-1514,133,-1381,-13,-13,-481,-481,-282,-2,-778,-1848,-282
2014-06-30,872,245,-180,65,-910,1003,163,98,-107,830,-561,200,-361,-9,-9,-608,-608,-290,29,-878,-370,-290
2014-03-31,1578.00000,240.00000,-543.00000,-303.00000,619.00000,-2567.00000,1505.00000,-132.00000,123.00000,1398.00000,-572.00000,486.00000,-86.00000,-8.00000,-8.00000,-660.00000,-660.00000,-233.00000,-454.00000,-1355.00000,-74.00000,-233.00000
2013-12-31,833,249,207,456,-54,1391,-1657,110,-392,897,-623,126,-497,-5,-5,-634,-634,-241,-2,-882,-542,-241
2013-09-30,540,239,94,333,124,315,383,64,1076,1949,-408,1050,642,-510,-510,-271,-271,-189,-1,-971,1722,-189
2013-06-30,960,235,-23,212,128,775,-831,-83,-204,968,-366,100,-266,-502,-502,-543,-543,-193,-3,-1241,-533,-193
2013-03-31,1410.00000,248.00000,155.00000,403.00000,283.00000,-2443.00000,2465.00000,-71.00000,400.00000,2213.00000,-382.00000,59.00000,-323.00000,-3.00000,-3.00000,-388.00000,-388.00000,-194.00000,,-585.00000,1279.00000,-194.00000
2012-12-31,710,244,733,977,545,2313,-2897,218,-382,1305,-874,7,-867,-1004,-1004,-221,-221,-162,6,-1381,-956,-162
2012-09-30,1601,236,-90,146,-1341,-207,1945,-105,171,1918,-339,-81,-420,-8,-8,-90,-90,-125,27,-196,1326,-125
2012-06-30,1182,230,48,278,1955,-528,-2029,22,-26,1434,-270,234,-36,1809,1809,2,2,0,-108,1703,3104,0
2012-03-31,638.00000,221.00000,-317.00000,-96.00000,-1291.00000,-1518.00000,1996.00000,-183.00000,-903.00000,-361.00000,-218.00000,6.00000,-212.00000,5787.00000,5787.00000,,,,-5214.00000,573.00000,0.00000,0.00000
2011-12-31,2012,246,-1174,93,708,2662,-1808,360,1645,2731,-369,2704,2335,-6,-6,0,0,0,-5060,-5066,0,-1
2011-09-30,1051,227,542,769,-724,-211,23,-91,-1083,737,-260,274,14,-7,-7,0,0,0,-744,-751,0,0
2011-06-30,1040,232,-79,153,280,1072,268,229,1845,3038,-228,504,276,-7,-7,0,0,0,-3307,-3314,0,0
2011-03-31,677.00000,224.00000,-310.00000,-86.00000,-453.00000,-2903.00000,1572.00000,-470.00000,-2091.00000,-1500.00000,-165.00000,32.00000,-133.00000,-6.00000,-6.00000,,,,1639.00000,1633.00000,,
2010-12-31,261,-1,0,-1,0,0,0,0,-596,1146,1311,10,1321,0,-1,0,0,0,-2466,-2467,0,0
2009-12-31,479,903,0,903,0,0,0,0,397,946,-2461,488,-1973,0,-25,0,0,0,1052,1027,0,0
