,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,-200.9,-424.2,-174.9,-599.1,-9.1,12.6,74.8,40,-760,184.7,4.1,0,0,0,-8.8,180,119.2,119.2,507,507,79,705.2,127.2,-45.1
2022-09-30,123.2,150.8,-27.2,123.6,1.4,1.8,27.7,76.8,323.6,-63.7,-2.2,0,0,0,-0.4,-66.3,-37.9001,-37.9001,-167.7,-167.7,-22.3,-227.9,28,13.6
2022-06-30,26.1,152.5,101.6,254.1,-46.5,-6.6,-29.5,-68.7,211.5,-59.2,-1.9,0,0,0,-13,-74.1,-34.7999,-34.7999,-166.5,-166.5,-36.8,-238.1,-100.4,14.5
2022-03-31,51.60000,120.90000,100.50000,221.40000,54.20000,-7.80000,-73.00000,-48.10000,224.90000,-61.80000,,,,,22.20000,-39.60000,-46.50000,-46.50000,-172.80000,-172.80000,-19.90000,-239.20000,-54.80000,17.00000
2021-12-31,44.8,103.5,70.4,173.9,-25,-29.2,-53.3,-101.6,117.1,-105.5,-3.6,-843.2,0,0,0,-952.3,-26.9,-26.9,2,2,-10.4,-35.3,-875,13.2
2021-09-30,86.1,89.6,36.5,126.1,-15.2,-2.2,13.3,62.2,274.4,-72.9,-1.9,-28.2,0,0,-67.4,-170.4,381.2,381.2,0.3,0.3,-25.1,356.4,460.4,8.5
2021-06-30,198.7,87.4,73.9,161.3,-1,11.6,-31.8,-35.9,324.1,-38.5,-18.7,-6.2,0,0,-8.4,-71.8,-25.7,-25.7,2.8,2.8,-18.4,-41.3,211,9.2
2021-03-31,90.90000,86.80000,17.70000,104.50000,-41.10000,-10.60000,-54.30000,-14.90000,180.50000,-25.70000,,,,,-1.60000,-27.30000,54.00000,54.00000,5.70000,5.70000,0.40000,60.10000,213.30000,4.20000
2020-12-31,12.7,96.7,81.2,177.9,11,-28.9,-21.6,-72.6,118,-23.3,-4.8,0,0,0,30.3,2.2,-135.7,-135.7,7.2,7.2,-6.9,-135.4,-15.2,2.8
2020-09-30,141.2,93.1,74,167.1001,-45.8,34.3,11.3,43.4,351.7,-23.9,0,0,0,0,6.5,-17.4,-682.3,-682.3,985.6,985.6,-12.9,290.4,624.7,2.8
2020-06-30,-214.4,95.5,43.6,139.0999,-21,-41.1,-9.5,-22.4,-97.7,-30.9,0,0,0,0,-4.2,-35.1,310.1,310.1,354.1,354.1,-17.9,646.3,513.5,2.9
2020-03-31,-608.60000,97.70000,601.50000,699.20000,39.30000,29.10000,-59.10000,-123.80000,-33.20000,-42.80000,,-3.00000,-135.00000,-135.00000,-2.60000,-183.40000,508.30000,508.30000,4.60000,4.60000,-4.10000,508.80000,292.20000,6.00000
2019-12-31,-92.9,99.8,176,275.8,3.4,-3.7,-11.6,1.8,184.7,-53.3,-11.7,0,0,0,-0.4,-65.4,-73.2,-73.2,0.9,0.9,-16.2,-88.5,30.8,4.5
2019-09-30,43.7,108.2,35.3,143.5,16,8,5.2,16.8,204,-41.7,0,0,0,0,-5.8,-47.5,-100.8,-100.8,0.3,0.3,-20.3,-120.8,35.7,3.7
2019-06-30,51.3,107.9,40.6,148.5,10.5,-0.8,-27.6,-10.3,189.5,-57.3,0,-989.1,0,0,698.9,-347.5,175,175,-24.7,-24.7,-17.7,132.6,-25.4,3.3
2019-03-31,41.00000,106.00000,50.80000,156.80000,-2.90000,0.90000,-50.10000,-72.10000,125.70000,-37.70000,,-370.30000,,,260.90000,-147.10000,-41.20000,-41.20000,0.50000,0.50000,-5.00000,-45.70000,-67.10000,3.40000
2018-12-31,-42,95,18.8,113.8,-13,-1,14.2,-19.2,52.6,23.5,0,-1362.2,-18.9,-18.9,18.6,-1339,1378.4,1378.4,-50,-50,194,1522.4,236,3.2
2018-09-30,36.075,58.308,10.519,68.827,5.434,-3.086,-1.176,-11.761,93.141,-82.96,0,58.336,18.9,18.9,0.74,-4.984,-27.314,-27.314,2.205,2.205,-19.42,-44.529,43.628,2.868
