,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,10.802,154.8569,11.605,166.462,-14.682,0,29.691,206.955,-263.679,0,0,-41.519,-41.519,6.968,-298.23,0,-91.0166,-91.0166,307.866,307.866,-161.087,-6.778,48.985,-42.29,11.821,-161.087
2022-09-30,357.986,140.28,-298.148,-157.868,-13.465,0,43.52,243.638,-240.314,0,0,19.904,19.904,103.433,-116.977,0,135.5122,135.5122,-55.982,-55.982,-161.684,-11.281,-93.435,33.226,14.635,-161.684
2022-06-30,72.293,163.148,-26.096,137.052,14.858,0,46.14,255.485,-188.804,0,0,50.915,50.915,-77.285,-215.174,0,116.5195,116.5195,-0.266,-0.266,-161.829,-7.995,-53.571,-13.26,0,-161.829
2022-03-31,75.34300,160.41800,-41.08700,119.33100,-4.14400,,-0.49100,194.18300,-299.08700,,,-20.45000,-20.45000,73.57500,-245.96200,,163.56790,163.56790,-11.35600,-11.35600,-163.44700,-7.27600,-18.51100,-70.29000,,-163.44700
2021-12-31,32.576,155.145,5.855,161.0001,-8.95,0,30.337,223.913,-668.495,0,0,-51.299,-51.299,47.151,-672.643,0,634.626,634.626,0.035,0.035,-161.998,-73.293,399.372,-49.358,4.307,-161.998
2021-09-30,61.906,147.047,-16.261,130.786,-5.352,0,19.049,211.741,-499.8839,0,0,-295.021,-295.021,286.284,-508.621,0,502.0184,502.0184,3.47,3.47,-161.995,-22.11,321.383,24.503,13.895,-161.995
2021-06-30,282.025,156.597,-241.719,-85.122,21.361,0,39.965,236.868,686.679,0,0,263.029,263.029,-5.138,944.57,0,-854.4662,-854.4662,-0.232,-0.232,-161.971,-68.484,-1085.153,96.285,0,-161.971
2021-03-31,149.42300,140.35100,-104.09100,36.26000,11.56700,,-62.95700,122.72600,787.23900,,,-15.80900,-15.80900,-3.70400,767.72600,,-583.19380,-583.19380,-11.07800,-11.07800,-164.11800,-165.72900,-924.11900,-33.66700,,-164.11800
2020-12-31,150.245,121.779,-111.11,10.6689,-7.222,0,57.793,218.707,-308.741,0,0,-49.763,-49.763,117.282,-241.222,0,120.9727,120.9727,0.915,0.915,-199.476,-17.749,-95.338,-117.853,17.368,-199.476
2020-09-30,-59.581,158.798,84.031,242.829,9.386,0,36.653,219.901,-205.775,-3.578,0,-135.537,-135.537,113.682,-231.208,0,-302.2141,-302.2141,0.236,0.236,-199.546,-24.272,-525.796,-537.103,0,-199.546
2020-06-30,55.049,164.062,-32.039,132.023,18.153,0,37.709,224.781,-333.271,5.753,0,7.154,7.154,-63.895,-384.259,0,342.577,342.577,0.506,0.506,-199.55,-37.37,106.163,-53.458,0,-199.55
2020-03-31,282.54000,180.74700,-344.86600,-164.11900,-5.03600,,-23.37900,95.04200,189.94500,-396.35200,,63.46200,63.46200,-8.06600,-151.01100,,-98.33800,-98.33800,1056.69100,1056.69100,-188.50000,-8.43200,761.42100,705.44200,,-188.50000
2019-12-31,47.359,197.12,-32.268,164.8521,-18.326,0,5.261,217.472,-409.833,0,0,134.63,134.63,267.939,-7.264,0,-244.3421,-244.3421,284.797,284.797,-183.463,-37.968,-180.977,29.553,0,-183.463
2019-09-30,-42.308,178.849,68.615,247.464,-15.972,0,42.885,248.041,-588.066,0,0,248.105,248.105,-12.576,-352.537,0,203.345,203.345,103.296,103.296,-182.11,-20.941,103.59,-0.948,0,-182.11
