,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2023-01-31,495,239,170,409,-89,2174,-1323,258,1028,1932,-234,0,0,2,2,6,-226,-6,-6,-548,-548,-194,0,-748,960,40,-194
2022-10-31,277,226,59,285,-215,-1286,1658,-104,39,601,-255,0,0,3,3,0,-252,-13,-13,15,15,-198,-1,-197,141,33,-198
2022-07-31,306,229,67,296,-37,218,-138,51,73,675,-226,0,0,-43,-43,-2,-271,0,0,-10,-10,-198,-3,-211,192,26,-198
2022-04-30,341.00000,224.00000,52.00000,276.00000,238.00000,-297.00000,-1296.00000,-709.00000,-2001.00000,-1384.00000,-215.00000,,,-1.00000,-1.00000,3.00000,-213.00000,,,-455.00000,-455.00000,-199.00000,4.00000,-650.00000,-2245.00000,39.00000,-199.00000
2022-01-31,626,225,79,304,-26,2596,-1588,263,1261,2191,-189,-468,0,-10,-10,2,-665,-10,-10,-1773,-1773,-166,-1,-1950,-433,36,-166
2021-10-31,499,214,18,232,-132,-2130,1445,293,-534,197,-225,0,0,-124,-124,0,-349,-123,-123,-377,-377,-172,-13,-685,-836,34,-172
2021-07-31,734,214,34,248,-35,-704,572,219,-223,759,-162,0,0,57,57,0,-105,0,0,-396,-396,-175,-2,-573,81,34,-175
2021-04-30,595.00000,216.00000,1.00000,217.00000,210.00000,-90.00000,-630.00000,-310.00000,-707.00000,105.00000,-161.00000,,,-90.00000,-90.00000,-2.00000,-253.00000,,,-927.00000,-927.00000,-175.00000,13.00000,-1089.00000,-1232.00000,37.00000,-175.00000
2021-01-31,816,211,108,319,-33,1865,-2148,149,-115,1020,-179,0,0,546,546,-2,365,-655,-655,-250,-250,-142,1,-1046,354,28,-142
2020-10-31,391,214,160,374,-126,-3314,2481,300,-646,119,-194,0,0,-574,-574,-2,-770,638,638,6,6,-142,0,502,-151,42,-142
2020-07-31,432,207,52,259,-151,-122,2159,307,2270,2961,-162,0,0,-41,-41,-1,-204,-1257,-1257,22,22,-143,-3,-1381,1388,50,-143
2020-04-30,159.00000,207.00000,36.00000,243.00000,383.00000,1136.00000,-816.00000,-309.00000,425.00000,827.00000,-178.00000,,,-5.00000,-5.00000,4.00000,-179.00000,1250.00000,1250.00000,-62.00000,-62.00000,-141.00000,2.00000,1049.00000,1679.00000,15.00000,-141.00000
2020-01-31,745,205,89,294,-95,2396,-1937,210,589,1628,-157,0,0,-11,-11,0,-168,-4,-4,-304,-304,-129,-1,-438,1023,34,-129
2019-10-31,293,206,45,251,-93,-2358,2197,-22,-232,312,-201,-20,0,322,322,0,101,-3,-3,-350,-350,-131,0,-484,-72,35,-131
2019-07-31,238,201,91,292,-125,-8,306,121,93,623,-192,-125,0,-319,-319,0,-636,-8,-8,-203,-203,-133,-6,-350,-363,38,-133
2019-04-30,265.00000,200.00000,50.00000,250.00000,182.00000,207.00000,-519.00000,-393.00000,-513.00000,2.00000,-193.00000,,,,,1.00000,-192.00000,,,-98.00000,-98.00000,-134.00000,6.00000,-226.00000,-417.00000,36.00000,-134.00000
2019-01-31,735,220,10,230,-93,2756,-2653,177,336,1301,-200,5,0,128,128,1,-66,-11,-11,-360,-360,-121,0,-492,745,31,-121
2018-10-31,277,192,29,221,1,-3137,2600,38,-499,-1,-244,-792,0,405,405,5,-626,486,486,-362,-362,-123,-3,-2,-629,29,-123
2018-07-31,244,182,46,228,-69,-56,699,36,432,904,-194,0,0,320,320,1,127,-512,-512,-369,-369,-125,-2,-1008,19,31,-125
2018-04-30,208.00000,176.00000,69.00000,245.00000,189.00000,243.00000,-214.00000,-519.00000,-249.00000,204.00000,-181.00000,,,1245.00000,1245.00000,9.00000,1073.00000,-11.00000,-11.00000,-376.00000,-376.00000,-128.00000,-1.00000,-516.00000,749.00000,32.00000,-128.00000
