,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-10-31,274.585,58.461,86.189,144.65,-19.79,-448.539,54.163,-82.298,-386.476,32.759,-83.461,0,0,0,-1.819,-85.28,0,0,-131.077,-131.077,0,0,-131.077,-183.598,9.679,0
2022-07-31,295.677,60.882,87.18,148.062,12.24,-95.578,-2.535,-104.21,-329.375,114.364,-49.424,0,0,0,-0.452,-49.876,0,0,-284.748,-284.748,0,0,-284.748,-220.26,22.875,0
2022-04-30,331.39500,62.83900,84.55900,147.39800,40.92800,-71.33400,42.58600,-108.69200,-52.49000,426.30300,-71.07600,,,,-0.79700,-71.87300,,,-131.50400,-131.50400,,,-131.50400,222.92600,,
2022-01-31,289.366,63.726,53.681,117.407,-64.47,417.125,-199.948,6.437,237.635,644.408,-63.769,0,-4.297,-4.297,0,-68.066,0,0,-749.835,-749.835,0,0,-749.835,-173.493,9.042,0
2021-10-31,215.289,65.157,92.002,157.159,-14.796,-472.658,206.744,-65.965,-359.004,13.444,-51.113,0,0,0,0,-51.113,0,0,-127.422,-127.422,0,0,-127.422,-165.091,19.12,0
2021-07-31,250.893,68.978,77.425,146.403,-0.074,-90.12,-17.22,-80.68,-325.95,71.346,-22.742,0,0,0,0,-22.742,0,0,-225.916,-225.916,0,0,-225.916,-177.312,19.097,0
2021-04-30,230.28900,70.59900,80.07200,150.67100,38.76700,-185.35000,76.58000,-75.53000,-50.89300,330.06700,-34.56300,,,,,-34.56300,,,-394.04300,-394.04300,,,-394.04300,-98.59500,,
2021-01-31,171.494,71.386,56.777,128.163,-56.838,270.883,-0.013,-41.354,251.653,551.31,-35.121,0,0,0,0,-35.121,0,0,-31.128,-31.128,0,-0.054,-31.182,485.149,4.604,0
2020-10-31,74.798,72.357,79.651,152.008,-8.279,-70.555,80.823,-83.415,16.25,243.056,-39.655,0,-0.279,-0.279,0,-39.934,-800,-800,0.578,0.578,0,0,-799.422,-596.416,8.384,0
2020-07-31,8.052,77.403,110.561,187.964,-39.301,-27.977,-65.451,-60.366,-155.709,40.307,-35.616,-1.22,0,110,0,73.164,0,0,0.264,0.264,0,-0.062,0.202,113.778,8.413,0
