,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,2646,757,-1373,-616,-310,-112,348,0,497,2527,-1323,537,4,4,-11,-793,315,315,-1519,-1519,-156,-478,-1838,-91,83,-156
2022-09-30,1344,756,171,927,60,515,174,0,749,3020,-1131,572,12,12,1,-546,-1234,-1234,-698,-698,-160,-225,-2317,141,87,-160
2022-06-30,1379,746,13,759,-120,-341,-47,0,-508,1630,-1080,-108,-12,-12,-5,-1205,1086,1086,-2682,-2682,-160,-170,-1926,-1513,85,-160
2022-03-31,1465.00000,739.00000,460.00000,1199.00000,-427.00000,-121.00000,-771.00000,,-1319.00000,1345.00000,-861.00000,12.00000,10.00000,10.00000,-6.00000,-845.00000,3120.00000,3120.00000,-2101.00000,-2101.00000,-177.00000,-417.00000,425.00000,920.00000,86.00000,-177.00000
2021-12-31,2005,734,-637,97,350,-207,268,0,341,2443,-1192,-437,-79,-79,-6,-1714,2205,2205,-2072,-2072,-148,-291,-306,424,99,-148
2021-09-30,2472,723,-735,-12,-745,-120,682,0,-183,2277,-889,1560,-26,-26,-5,640,-356,-356,-2329,-2329,-151,-167,-3003,-93,115,-151
2021-06-30,1664,718,-227,491,-196,-128,420,0,96,2251,-842,-66,-10,-10,-2,-920,1373,1373,-2287,-2287,-156,-172,-1242,90,129,-156
2021-03-31,1580.00000,705.00000,530.00000,1235.00000,-371.00000,-85.00000,-371.00000,,-827.00000,1988.00000,-654.00000,-2.00000,-2.00000,-2.00000,9.00000,-649.00000,33.00000,33.00000,-1527.00000,-1527.00000,-169.00000,-441.00000,-2104.00000,-763.00000,97.00000,-169.00000
2020-12-31,1694,670,293,963,-603,-268,713,-6123,-6240,-3583,-748,-188,20,20,6,-910,-34,-34,0,0,0,-282,-316,-4795,133,0
2020-09-30,779,702,-30,672,-285,21,878,1124,1266,2717,-489,-5,-29,-29,-7,-530,-39,-39,0,0,0,-206,-245,1950,81,0
2020-06-30,1216,698,0,698,751,139,448,4999,6809,8723,-745,-14,-10,-10,-39,-808,-3957,-3957,0,0,-1,-49,-4007,3907,66,-1
2020-03-31,698.00000,681.00000,512.00000,1193.00000,464.00000,-196.00000,-784.00000,,-516.00000,1375.00000,-853.00000,-293.00000,-1.00000,-1.00000,2.00000,-1145.00000,813.00000,813.00000,-441.00000,-441.00000,-152.00000,-329.00000,-109.00000,110.00000,82.00000,-152.00000
2019-12-31,1273,701,63,764,-233,-63,514,0,468,2505,-1274,-78,-10,-10,17,-1345,-565,-565,-272,-272,-136,-137,-1110,62,84,-136
2019-09-30,764,654,398,1052,81,136,120,0,310,2126,-1139,-80,-24,-24,-19,-1262,-2181,-2181,-239,-239,-136,-175,-2731,-1871,105,-136
2019-06-30,927,644,-152,492,195,-57,413,0,578,1997,-964,-19,23,23,12,-948,1402,1402,-242,-242,-137,-169,854,1899,96,-137
2019-03-31,1181.00000,627.00000,360.00000,987.00000,-369.00000,-174.00000,-651.00000,,-1194.00000,974.00000,-781.00000,-1444.00000,36.00000,36.00000,24.00000,-2165.00000,1911.00000,1911.00000,-278.00000,-278.00000,-141.00000,-276.00000,1216.00000,29.00000,62.00000,-141.00000
2018-12-31,1245,589,161,750,-262,-106,548,0,180,2175,-1153,-191,-8,-8,66,-1286,-362,-362,-335,-335,-121,-143,-961,-76,64,-121
2018-09-30,896,590,98,688,72,64,119,0,137,1721,-846,-515,42,42,19,-1300,-91,-91,-302,-302,-121,-192,-706,-290,70,-121
2018-06-30,966,569,-154,415,-229,18,294,0,201,1582,-880,-127,12,12,15,-980,-111,-111,-470,-470,-122,-94,-797,-218,74,-122
2018-03-31,1282.00000,561.00000,-75.00000,486.00000,-4.00000,-218.00000,-263.00000,,-485.00000,1283.00000,-694.00000,388.00000,11.00000,11.00000,-40.00000,-335.00000,220.00000,220.00000,-423.00000,-423.00000,-123.00000,-285.00000,-611.00000,354.00000,60.00000,-123.00000
2017-12-31,641,558,109,667,-531,-19,543,0,426,1734,-982,-69,-58,-58,2,-1107,57,57,-576,-576,0,-94,-613,14,75,0
2017-09-30,530,546,-174,372,-151,128,129,0,106,1008,-729,-837,-4,-4,-11,-1581,1205,1205,-509,-509,0,-110,586,13,55,0
2017-06-30,795,529,347,876,-87,-181,293,0,-267,1404,-733,-195,8,8,-2,-922,130,130,-542,-542,0,-118,-530,-48,67,0
2017-03-31,777.00000,529.00000,102.00000,631.00000,168.00000,3.00000,-591.00000,,-128.00000,1280.00000,-571.00000,-86.00000,-19.00000,-19.00000,7.00000,-669.00000,117.00000,117.00000,-424.00000,-424.00000,,-197.00000,-504.00000,107.00000,73.00000,
2016-12-31,1085,511,-2477,-1966,2054,49,485,0,2580,1699,-876,-105,-14,-14,-11,-1006,-91,-91,-538,-538,0,-95,-724,-31,55,0
2016-09-30,745,503,921,1424,-680,15,-239,0,-963,1206,-712,-29,60,60,2,-679,-29,-29,-355,-355,0,-157,-541,-14,67,0
2016-06-30,791,497,850,1347,-575,-190,269,0,-789,1349,-663,-411,7,7,8,-1059,876,876,-1237,-1237,0,-90,-451,-161,64,0
2016-03-31,811.00000,489.00000,885.00000,1374.00000,-789.00000,14.00000,-371.00000,,-786.00000,1399.00000,-509.00000,-5.00000,11.00000,11.00000,7.00000,-496.00000,59.00000,59.00000,-621.00000,-621.00000,,-230.00000,-792.00000,111.00000,65.00000,
2015-12-31,738,488,1235,1723,-1138,-109,344,0,-903,1558,-804,-121,-31,-31,4,-952,702,702,-1011,-1011,0,-144,-453,153,68,0
2015-09-30,573,490,1275,1765,-1192,-10,-35,0,-1237,1101,-567,-84,27,27,2,-622,-28,-28,-446,-446,0,-90,-564,-85,68,0
2015-06-30,665,478,697,1175,-889,-89,195,0,-783,1057,-558,-60,45,45,-4,-577,155,155,-574,-574,0,26,-393,87,55,0
2015-03-31,720.00000,483.00000,1128.00000,1611.00000,-895.00000,-106.00000,-312.00000,,-1313.00000,1018.00000,-446.00000,-13.00000,22.00000,22.00000,5.00000,-432.00000,-51.00000,-51.00000,-366.00000,-366.00000,,-149.00000,-566.00000,20.00000,48.00000,
2014-12-31,676,468,1054,1522,-990,16,486,0,-571,1627,-694,-656,-59,-59,3,-1406,961,961,-1000,-1000,0,-131,-170,51,45,0
2014-09-30,611,470,747,1217,-828,-29,63,0,-700,1128,-569,-64,-21,-21,6,-648,-543,-543,0,0,0,-80,-623,-143,41,0
2014-06-30,632,463,839,1302,-702,-96,208,0,-684,1250,-513,1,56,56,1,-455,-160,-160,-750,-750,0,-77,-987,-192,40,0
2014-03-31,454.00000,461.00000,1089.00000,1550.00000,-1125.00000,-123.00000,-313.00000,,-1561.00000,443.00000,-400.00000,4.00000,-13.00000,-13.00000,,-409.00000,520.00000,520.00000,,,,-118.00000,402.00000,436.00000,37.00000,
2013-12-31,554,475,1150,1625,-4395,-19,142,3319,-953,1226,-596,-16,-61,-61,1,-672,-22,-22,-500,-500,0,-102,-624,-70,32,0
2013-09-30,467,456,961,1417,0,0,0,-984,-984,900,-451,-440,-5,-5,12,-884,118,118,0,0,0,-112,6,22,30,0
2013-06-30,537,440,878,1318,0,0,0,-1041,-1041,814,-492,29,51,51,-5,-417,-437,-437,0,0,0,-92,-529,-132,28,0
2013-03-31,438.00000,437.00000,1159.00000,1596.00000,,,,-1294.00000,-1294.00000,740.00000,-404.00000,-21.00000,51.00000,51.00000,1.00000,-373.00000,-351.00000,-351.00000,,,,-127.00000,-478.00000,-111.00000,23.00000,
2012-12-31,427,443,1133,1576,-3896,-122,355,2923,-740,1263,-594,-78,-57,-57,6,-723,1938,1938,0,0,0,-2245,-307,233,17,0
2012-09-30,455,432,764,1196,0,0,0,-996,-996,655,-484,-17,38,38,9,-454,-136,-136,0,0,0,-111,-247,-46,16,0
2012-06-30,485,435,1083,1518,0,0,0,-543,-543,1460,-449,-22,29,29,-7,-449,-865,-865,0,0,0,-99,-964,47,14,0
2012-03-31,639.00000,431.00000,1111.00000,1542.00000,,,,-1384.00000,-1384.00000,797.00000,-335.00000,-111.00000,6.00000,6.00000,3.00000,-437.00000,787.00000,787.00000,,,,-1049.00000,-262.00000,98.00000,9.00000,
2011-12-31,2042,401,-439,-38,-3248,-18,313,2336,-617,1387,-509,-1247,0,0,1,-1755,408,408,0,0,0,-26,382,14,2,0
2011-09-30,146,379,1193,1572,0,0,0,-838,-838,880,-394,-40,4,4,2,-428,1035,1035,-1503,-1503,0,-164,-632,-180,8,0
2011-06-30,320,377,853,1230,0,0,0,-802,-802,748,-447,-147,56,56,-1,-539,-132,-132,0,0,0,-91,-223,-14,8,0
2011-03-31,334.00000,378.00000,980.00000,1358.00000,,,,-774.00000,-774.00000,918.00000,-329.00000,33.00000,20.00000,20.00000,3.00000,-273.00000,-2900.00000,-2900.00000,2506.00000,2506.00000,,-109.00000,-503.00000,142.00000,8.00000,
2010-12-31,394,380,680,1060,-2789,-287,229,1927,-920,534,-465,-187,-1,-1,12,-641,2131,2131,0,0,0,-1990,141,34,8,0
2010-09-30,325,372,788,1160,0,0,0,-229,-229,1256,-324,-3,-29,-29,9,-347,-785,-785,0,0,0,-97,-882,27,8,0
2010-06-30,378,375,543,918,0,0,0,-860,-860,436,-322,-9,473,473,-12,130,-29,-29,0,0,0,-575,-604,-38,8,0
2010-03-31,476.00000,375.00000,846.00000,1221.00000,,,,-838.00000,-838.00000,859.00000,-214.00000,3.00000,29.00000,29.00000,1.00000,-181.00000,1216.00000,1216.00000,,,,-1818.00000,-602.00000,76.00000,8.00000,
2009-12-31,304,378,1225,1603,-3180,-191,280,2136,-1475,432,-402,-17,190,190,1,-228,-263,-263,0,0,0,-72,-335,-131,19,0
2009-09-30,274,374,875,1249,0,0,0,-482,-482,1041,-296,9,42,42,-13,-258,-660,-660,0,0,0,-130,-790,-7,7,0
2009-06-30,365,379,439,818,0,0,0,-524,-524,659,-282,21,-5,-5,5,-261,-162,-162,0,0,0,-142,-304,94,7,0
2009-03-31,432.00000,374.00000,881.00000,1255.00000,,,,-1072.00000,-1072.00000,615.00000,-337.00000,-33.00000,76.00000,76.00000,6.00000,-288.00000,-374.00000,-374.00000,,,,-62.00000,-436.00000,-109.00000,7.00000,
