,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2017-06-30,546,-2,616,614,13,-178,-141,1019,-56,0,-23,64,41,-2560,-2575,-420,0,-420,-449,-449,-124,-671,-1664,-3220,0,-124
2017-03-31,564.00000,-5.00000,597.00000,592.00000,14.00000,181.00000,-143.00000,1013.00000,-47.00000,,,25.00000,25.00000,1010.00000,988.00000,1370.00000,,1370.00000,-519.00000,-519.00000,-127.00000,1529.00000,2253.00000,4254.00000,,-127.00000
2016-12-31,563,-8,572,564,17,-291,165,1292,-47,0,850,42,892,-3140,-2295,-1310,0,-1310,-476,-476,-128,2751,837,-166,0,-128
2016-09-30,639,-14,404,390,14,15,288,1317,-46,0,200,595,795,-2756,-2007,2143,0,2143,-581,-581,-132,719,2149,1459,0,-132
2016-06-30,616,-8,568,560,13,122,-518,658,-40,0,-1050,476,-574,-964,-1578,-109,0,-109,-422,-422,-125,58,-598,-1518,0,-125
2016-03-31,575.00000,-14.00000,428.00000,414.00000,13.00000,-33.00000,169.00000,1158.00000,-46.00000,,,146.00000,146.00000,882.00000,982.00000,49.00000,,49.00000,-422.00000,-422.00000,-129.00000,925.00000,423.00000,2563.00000,,-129.00000
2015-12-31,500,-3,458,455,14,-92,89,1044,-49,2,0,-506,-506,-2527,-3080,924,0,924,-433,-433,-130,997,1358,-678,0,-130
2015-09-30,612,-10,335,325,174,-70,210,1147,-30,0,0,66,66,-783,-747,-322,-144,-466,-435,-435,-131,287,-745,-345,0,-131
2015-06-30,599,-10,329,319,44,-35,-318,600,-47,0,0,41,41,-2288,-2294,1162,-22,1140,-423,-423,-135,-107,475,-1219,0,-135
2015-03-31,586.00000,-18.00000,382.00000,364.00000,-63.00000,-40.00000,113.00000,1063.00000,-41.00000,,,1168.00000,1168.00000,2126.00000,3253.00000,366.00000,53.00000,419.00000,-419.00000,-419.00000,-119.00000,333.00000,214.00000,4530.00000,,-119.00000
2014-12-31,404,-21,610,589,38,-144,7,1000,-43,0,0,26,26,-2855,-2872,1611,-26,1585,-398,-398,-119,706,1774,-98,0,-119
2014-09-30,644,-26,396,370,-12,-24,41,1055,-29,0,0,-102,-102,-1496,-1627,849,19,868,-620,-620,-120,947,1075,503,0,-120
2014-06-30,644,-29,399,370,8,-29,-372,642,-30,0,0,-100,-100,-1379,-1509,-140,-4,-144,-177,-177,-122,-542,-985,-1852,0,-122
2014-03-31,631.00000,-29.00000,313.00000,284.00000,21.00000,-41.00000,214.00000,1129.00000,-43.00000,,,1143.00000,1143.00000,711.00000,1811.00000,-303.00000,-16.00000,-319.00000,-364.00000,-364.00000,-106.00000,26.00000,-763.00000,2177.00000,,-106.00000
2013-12-31,602,-235,731,496,7,-140,-116,982,-54,0,0,-45,-45,-3162,-3261,1795,15,1810,-345,-345,-105,1850,3210,931,-45,-105
2013-09-30,593,35,277,312,154,-26,-457,448,-60,0,0,-98,-98,-976,-1134,614,-137,477,-344,-344,-107,539,565,-121,14,-107
2013-06-30,602,49,231,280,29,2,-287,595,-58,0,0,247,247,-1582,-1393,-1204,-72,-1276,-338,-338,-108,197,-1525,-2323,14,-108
2013-03-31,673.00000,20.00000,228.00000,248.00000,42.00000,-88.00000,571.00000,1492.00000,-59.00000,,,907.00000,907.00000,1777.00000,2625.00000,1551.00000,-37.00000,1514.00000,-256.00000,-256.00000,-79.00000,187.00000,1366.00000,5483.00000,17.00000,-79.00000
2012-12-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-30,-1812,-74,-423,-497,273,201,-217,-2526,109,0,0,-139,-139,1298,1268,-1951,-234,-2185,901,901,159,-2319,-3444,-4702,-33,159
2012-09-30,17.717,260.004,-290.363,-30.359,7.403,-71.339,379.438,366.796,-4.83,0,0.25,358.8381,359.0881,418.29,772.548,512.104,33.861,545.965,-103.335,-103.335,-0.119,-267.622,174.889,1314.233,-3.108,-0.119
2012-08-31,619.283,-214.004,368.363,154.359,-175.403,-63.661,-126.438,647.204,-42.17,0,-0.25,-176.8381,-177.0881,-1342.29,-1561.548,235.896,104.139,340.035,-272.665,-272.665,-51.881,550.622,566.111,-348.233,15.108,-51.881
2012-06-30,7.403,157.606,-193.657,-36.051,-105.514,50.869,37.876,9.228,-6.52,0,0.25,471.0449,471.2949,778.427,1243.202,-40.316,146,105.684,-78.135,-78.135,-0.013,193.808,221.344,1473.774,-3.244,-0.013
2012-05-31,517.597,-140.606,411.657,271.051,-0.486,-100.869,9.124,797.772,-24.48,0,-0.25,-537.0449,-537.2949,-2463.427,-3025.202,357.316,-50,307.316,-186.865,-186.865,-53.987,872.192,938.656,-1288.774,14.244,-53.987
2012-03-31,650.00000,11.00000,127.00000,138.00000,1.00000,-16.00000,-83.00000,705.00000,-31.00000,,,23.00000,23.00000,1311.00000,1303.00000,886.00000,,886.00000,-260.00000,-260.00000,-53.00000,970.00000,1543.00000,3551.00000,10.00000,-53.00000
2012-02-29,631.00600,-68.49100,254.30100,185.81000,0.51800,5.45000,193.85600,1010.67200,-25.85600,,,-120.28300,-120.28300,1276.45500,1130.31600,877.22400,-50.00000,827.22400,-11.86500,-11.86500,-53.51300,562.47500,1324.32100,3465.30900,13.53200,-53.51300
2011-11-30,-1714.129,160.362,-1069.254,-908.892,6.154,-32.339,-133.093,-2756.114,70.04,401.158,-375,838.836,463.836,2990.662,3925.696,2960.034,-100,2860.034,189.632,189.632,69.712,-3147.752,-28.374,1141.208,-33.69,69.712
2011-08-31,648.818,-27.095,262.473,235.378,-0.069,-25.723,-346.521,537.675,-20.185,0,0,-362.209,-362.209,-1845.328,-2227.722,-249.618,0,-249.618,-191.687,-191.687,-29.211,2345.128,1874.612,184.565,11.05,-29.211
2011-05-31,600.419,-73.922,280.621,206.699,-6.085,101.795,153.678,960.796,-34.282,-35.109,375,-276.628,98.372,-1648.881,-1619.9,-1076.203,0,-1076.203,6.128,6.128,-29.475,360.189,-739.361,-1398.465,10.765,-29.475
2011-02-28,464.89200,-59.34500,526.16000,466.81500,,-43.73300,325.93600,1257.64300,-15.57300,-366.04900,,-199.99900,-199.99900,503.54700,-78.07400,-1634.21300,100.00000,-1534.21300,-4.07300,-4.07300,-11.02600,442.43500,-1106.87700,72.69200,11.87500,-11.02600
2010-11-30,-415.146,11.415,-2899.519,-2888.104,118.996,230.385,596.488,-2706.762,29.392,0,-975,679.8749,-295.1251,844.6479,578.915,7147.777,0,7147.777,180.145,1404.703,834.455,-2154.46,7232.475,5104.628,-29.554,834.455
2010-08-31,260.617,-3.628,782.414,778.786,-20.331,29.885,-776.448,262.955,-12.075,0,0,-150.9029,-150.9029,-956.1508,-1119.129,-602.476,0,-602.476,-174.676,-174.676,-10.958,-775.354,-1563.464,-2419.638,8.631,-10.958
2010-05-31,258.067,-8.148,819.671,811.523,-98.665,-90.219,239.115,1308.705,-9.491,0,-200,-332.309,-532.309,2196.5289,1654.729,-4080.388,0,-4080.388,-0.086,-1224.644,-22.206,-28.788,-5356.026,-2392.592,9.63,-22.206
2010-02-28,-103.53800,0.36100,1297.43400,1297.79500,,-170.05100,-59.15500,1135.10200,-7.82600,,1175.00000,-196.66300,978.33700,-2085.02600,-1114.51500,-2464.91300,,-2464.91300,-5.38300,-5.38300,-801.29100,2958.60200,-312.98500,-292.39800,11.29300,-801.29100
2009-11-30,-923.648,-57.829,-1864.212,-1922.041,0,-205.847,249.54,-2596.149,40.406,0,0,270.581,270.581,3908.398,4219.385,-60.702,500,439.298,-599.359,-1748.05,74.737,-1046.32,-2280.335,-657.099,-34.877,74.737
2009-08-31,577.454,17.345,508.099,525.444,0,-202.856,-420.327,682.571,-11.987,0,0,3.266,3.266,-334.147,-342.868,368.421,-500,-131.579,530.089,530.089,-25.07,420.274,793.714,1133.417,9.649,-25.07
2009-05-31,225.8,16.266,614.863,631.129,0,12.826,528.27,1385.199,-11.432,0,0,-200.856,-200.856,-344.411,-556.699,-5.263,-1875,-1880.263,75.431,1224.122,-20.404,818.662,142.117,970.617,14.145,-20.404
2009-02-28,120.39400,24.21800,741.25000,765.46800,,395.87700,-357.48300,528.37900,-16.98700,,,-72.99100,-72.99100,-3229.84000,-3319.81800,-302.45600,1875.00000,1572.54400,-6.16100,-6.16100,-29.26300,-192.61600,1344.50400,-1446.93500,11.08300,-29.26300
