,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-3359,-163,-1235,-1398,-246,350,-208,-4965,178,0,0,148,148,12297,12623,-1738,1750,12,1750,1750,524,-10482,-8196,-538,0,524
2022-09-30,1006,46,624,670,20,-88,-57,1619,-79,0,0,-1404,-1404,-6007,-7490,1986,-1800,186,-210,-210,-181,6475,6270,399,0,-181
2022-06-30,1111,54,447,501,53,-135,0,1612,-48,0,0,441,441,-6187,-5794,1066,1800,2866,-598,-598,-183,3925,6010,1828,0,-183
2022-03-31,1242.00000,63.00000,164.00000,227.00000,173.00000,-127.00000,265.00000,1734.00000,-51.00000,,,815.00000,815.00000,-103.00000,661.00000,-1314.00000,-1750.00000,-3064.00000,-942.00000,-942.00000,-160.00000,82.00000,-4084.00000,-1689.00000,,-160.00000
2021-12-31,1067,66,-150,-84,531,-223,359,1342,-48,0,0,976,976,-4319,-3391,-10,1750,1740,-771,-771,-162,-174,633,-1416,0,-162
2021-09-30,1091,66,160,226,177,-63,304,1621,-49,0,0,719,719,-2180,-1510,-834,0,-834,-813,-813,-164,-1920,-3731,-3620,0,-164
2021-06-30,1698,59,520,579,-718,-60,-729,1548,-56,0,0,526,526,-1717,-1247,-1632,0,-1632,-550,-550,-151,-2274,-4607,-4306,0,-151
2021-03-31,1593.00000,45.00000,-110.00000,-65.00000,10.00000,-150.00000,-20.00000,1508.00000,-41.00000,,2200.00000,387.00000,2587.00000,3642.00000,6188.00000,-170.00000,,-170.00000,-117.00000,-117.00000,-159.00000,-165.00000,-611.00000,7085.00000,,-159.00000
2020-12-31,799,48,546,594,40,-94,240,1633,-55,0,5850,172,6022,-2271,3696,-558,0,-558,-2,-2,-152,-1117,-1829,3500,0,-152
2020-09-30,771,36,700,736,11,-176,-211,1296,-53,0,-5498,274,-5224,-298,-5575,-1310,0,-1310,2,2,-135,644,-799,-5078,0,-135
2020-06-30,-368,44,1813,1857,-28,-41,98,1587,-94,0,-2548,292,-2256,3346,996,-2910,0,-2910,3,496,-151,3938,1373,3956,0,-151
2020-03-31,-61.00000,37.00000,1577.00000,1614.00000,-23.00000,429.00000,127.00000,1680.00000,-59.00000,,,188.00000,188.00000,2268.00000,2397.00000,-14.00000,,-14.00000,-341.00000,-341.00000,-138.00000,663.00000,170.00000,4247.00000,,-138.00000
2019-12-31,708,11,791,802,37,-169,-46,1464,-72,0,1000,13,1013,-3996,-3055,1282,0,1282,-400,-400,-153,1714,2443,852,0,-153
2019-09-30,770,3,804,807,-21,-10,-758,819,-61,0,0,-3071,-3071,-2898,-6030,-748,0,-748,-417,-417,-141,1276,-30,-5241,0,-141
2019-06-30,753,3,777,780,11,6,45,1578,-69,0,0,-2254,-2254,-2098,-4421,-1222,0,-1222,-459,-459,-145,809,-1017,-3860,0,-145
2019-03-31,726.00000,-2.00000,808.00000,806.00000,10.00000,-29.00000,803.00000,2335.00000,-82.00000,,-1000.00000,-1834.00000,-2834.00000,1148.00000,-1768.00000,-1026.00000,,-1026.00000,-485.00000,-485.00000,-134.00000,1146.00000,-499.00000,68.00000,,-134.00000
2018-12-31,687,8,782,790,45,-50,-716,761,-77,0,0,-1575,-1575,-4162,-5814,129,0,129,-464,-464,-151,4075,3589,-1464,0,-151
2018-09-30,720,6,746,752,-22,-147,134,1606,-59,0,0,-298,-298,-2679,-3036,729,0,729,-458,-458,-137,1986,2120,690,0,-137
2018-06-30,669,12,745,757,11,-61,160,1586,-60,0,0,13,13,-2598,-2645,-5,0,-5,-555,-555,-122,562,-120,-1179,0,-122
2018-03-31,666.00000,6.00000,655.00000,661.00000,11.00000,251.00000,-89.00000,1238.00000,-58.00000,,,15.00000,15.00000,959.00000,916.00000,-57.00000,,-57.00000,-582.00000,-582.00000,-142.00000,2338.00000,1557.00000,3711.00000,,-142.00000
2017-12-31,387,4,1040,1044,55,-443,193,1624,-57,0,0,16,16,-4246,-4287,-399,0,-399,-554,-566,-137,2624,1522,-1141,0,-137
2017-09-30,602,-3,687,684,-27,-62,266,1552,-58,0,23,23,46,-2905,-2917,272,0,272,-554,-554,-139,3271,2850,1485,0,-139
