,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2017-03-31,582.75000,21.23200,20.21400,41.44600,82.04700,,24.74000,-258.56400,-38.54300,585.65300,-47.15600,,,87.68800,-835.01600,-747.32800,-21.56000,-816.04400,100.23400,100.23400,-23.72100,-23.72100,-133.23600,72.64100,15.91800,-215.05200,60.06200,-133.23600
2016-12-31,1698.526,47.172,104.777,151.949,-237.201,-109.515,87.007,497.94,380.301,2230.776,-163.254,-0.648,0,-954.703,-564.8169,-1519.52,-333.26,-2016.682,215.29,215.29,-172.707,-172.707,-366.724,0.001,-324.14,-91.025,142.609,-366.724
2016-09-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-31,0.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,1055.435,28.165,58.419,86.584,-269.236,-121.88,37.534,396.38,104.844,1246.863,-133.537,-25.371,0,-463.487,368.293,-95.194,-137.471,-391.573,13.452,13.452,-20.407,-20.407,-226.615,-18.482,-252.052,625.217,105.664,-226.615
2015-09-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-30,-210.58,-6.23,0,-6.23,0,0,0,0,-61.46,-310.56,19.39,0,0,0,0,52,-222.38,-150.98,133.89,133.89,0,0,50.55,-0.002,184.45,-277.21,0,0
2015-03-31,210.58000,6.23000,,6.23000,,,,,61.46000,310.56000,-19.39000,,,,,-52.00000,222.38000,150.98000,-133.89000,-133.89000,,,-50.55000,0.00200,-184.45000,277.21000,,
2014-12-31,772.927,28.118,0,28.118,0,0,0,0,102.849,946.559,-86.373,0,0,0,0,-509.803,-132.342,-728.518,172.64,0,0,0.47,-319.603,21.031,-125.462,90.764,0,0
