,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-864.861,-553.288,294.032,-259.256,-4.133,216.114,211.714,-912.403,1261.866,-5.043,-5.043,56.397,1313.22,-730,-195,-925,0.359,0.359,513.486,62.61,-348.545,52.272,-44.208,513.486
2022-09-30,420.661,191.111,-231.665,-40.554,-6.034,-95.176,-84.343,295.764,-293.0721,-0.154,-0.154,-39.824,-333.05,0,175,175,0.007,0.007,-171.535,-20.15,-16.678,-53.964,8.013,-171.535
2022-06-30,267.243,184.024,-73.085,110.939,-7.468,7.302,18.967,397.149,-818.3189,-0.141,-0.141,-10.375,-828.835,730,-90,640,-0.034,-0.034,-171.463,-16.31,452.193,20.507,14.96,-171.463
2022-03-31,176.95700,178.15300,10.71800,188.87100,17.63500,-128.24000,-146.33800,219.49000,-150.47500,5.33800,5.33800,-6.19800,-151.33500,,110.00000,110.00000,-0.33200,-0.33200,-170.48800,-26.15000,-86.97000,-18.81500,21.23500,-170.48800
2021-12-31,223.285,177.829,-58.362,119.467,-8.918,11.208,3.616,346.368,-48.7,-0.233,-0.233,7.345,-41.588,-615.4369,145,-470.4369,4.186,4.186,-170.372,-248.92,-885.543,-580.763,7.762,-170.372
2021-09-30,139.25,179.657,23.702,203.359,-3.372,-112.873,-116.226,226.383,-359.096,-0.231,-0.231,-75.43,-434.757,846.316,0,846.316,0.448,0.448,-170.264,-23.485,653.015,444.641,8.728,-170.264
2021-06-30,141.25,184.538,21.547,206.085,-8.91,11.599,61.078,408.413,-317.991,-0.199,-0.199,-3.148,-321.338,-3.302,0,-3.302,-0.063,-200.063,-171.551,-24.062,-398.978,-311.903,14.28,-171.551
2021-03-31,128.14700,178.82800,17.64200,196.47000,26.02000,-148.02600,-172.55400,152.06300,-245.41400,2.11400,2.11400,1.02700,-242.27300,-502.73900,,-502.73900,19.64300,19.64300,-171.56600,-25.27400,-679.93600,-770.14600,20.09000,-171.56600
2020-12-31,24.905,168.58,93.581,262.161,4.007,78.263,87.351,374.417,-227.391,-0.227,-0.227,2.31,-225.308,-4.373,0,-4.373,0.001,0.001,-172.332,-17.865,-194.569,-45.46,7.99,-172.332
2020-09-30,118.06,166.995,29.807,196.8019,0.027,-109.04,-86.711,228.151,-216.165,-0.228,-0.228,-51.496,-267.889,-4.318,0,-4.318,0.093,0.093,-172.333,-10.57,-187.128,-226.866,8.253,-172.333
2020-06-30,298.58,178.733,-185.991,-7.258,0.732,46.017,87.753,379.075,-74.976,-0.195,-0.195,28.442,-46.729,1243.86,-250,993.86,-0.166,-0.166,-172.275,-20.688,800.731,1133.077,10.374,-172.275
2020-03-31,577.14600,171.67700,-375.26300,-203.58600,17.78400,-159.91200,-198.36300,175.19700,13.00300,3.20100,3.20100,-89.99700,-73.79300,-4.21200,250.00000,245.78800,3.34900,3.34900,-171.96400,-11.88500,65.28800,166.69200,17.52500,-171.96400
2019-12-31,176.009,170.488,14.096,184.5839,-4.199,17.857,0.78,361.373,-260.081,-0.195,-0.195,-18.349,-278.625,-30.6629,0,-30.6629,11.148,11.148,-166.667,-9.445,-195.627,-112.879,7.705,-166.667
2019-09-30,141.37,166.47,54.188,220.6581,-9.163,-107.66,-107.84,254.188,-394.768,-0.858,-0.858,-12.888,-408.514,-5.2411,0,-5.2411,0.301,0.301,-166.666,-32.227,-203.833,-358.159,7.809,-166.666
2019-06-30,203.461,178.019,-33.728,144.291,2.486,-9.15,10.618,358.37,-186.17,-0.194,-0.194,81.927,-104.437,844.213,0,844.213,0.469,0.469,-166.599,-201.39,476.693,730.626,10.394,-166.599
2019-03-31,131.15900,165.19900,44.90800,210.10700,-14.00000,-120.13000,-134.03200,207.23400,-195.63500,-0.88500,-0.88500,-26.99500,-223.51500,-6.11500,,-6.11500,1.79200,1.79200,-166.36200,-19.92700,-190.61200,-206.89300,15.05000,-166.36200
2018-12-31,185.241,165.439,-17.458,147.981,27.626,27.394,46.396,379.618,-13.9561,-0.141,-0.141,-64.712,-78.809,291.5829,-170,121.5829,-0.397,-0.397,-166.364,-40.224,-85.402,215.407,8.417,-166.364
