,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,818.9,38.4,312,350.4,10.2,-78.3,159.9,255.1,-90.9,1078.4,-33.6,0,209.2,209.2,0,175.6,-10.4,0,-10.4,51.6,51.6,-1,40.2,1335,111.5
2022-09-30,930.5,36.7,-92.5,-55.8,-119.5,-26.8,-69.9,-136.2,80.8,955.5,-54.2,-295.9,-34.1,-34.1,0,-384.2,-49.5,0,-49.5,36.6,36.6,-47.3,-60.2,472.9,135.6
2022-06-30,810.5,37.3,-91.7,-54.4,-84.1,-33.3,45.3,-29.7,383.7,1139.8,-53.3,0,-8.2,-8.2,0,-61.5,-12.7,0,-12.7,64.4,64.4,-4,47.7,1100.1,113.9
2022-03-31,762.10000,35.90000,191.00000,226.90000,-165.20000,2.00000,-14.50000,83.30000,-32.80000,956.20000,-63.60000,,12.60000,12.60000,,-51.00000,-12.90000,,-12.90000,33.70000,33.70000,-116.20000,-95.40000,803.90000,130.30000
2021-12-31,770.1,33.8,56.5,90.3,-43.5,-27,53.9,100,134.6,995,-61.8,0,-72.2,-72.2,0,-134,-2.4,0,-2.4,-333.5,-333.5,-0.3,-336.2,519.9,118.6
2021-09-30,851.9,31.7,135,166.7,-185.3,-18.3,2.3,-36.8,-91.4,927.2,-52.4,0,-0.5,-0.5,0,-52.9,-11.1,0,-11.1,-618.5,-618.5,-27.1,-656.7,209.1,103
2021-06-30,67,31.3,-133.4,-102.1,52.5,-24.7,-13.7,-133.2,-164.6,-199.7,-49.9,0,-29.8,-29.8,0,-79.7,-2.3,0,-2.3,37.9,37.9,-2,33.6,-241.8,104.6
2021-03-31,653.10000,28.80000,222.90000,251.70000,-98.40000,-22.80000,-10.60000,-5.00000,16.20000,921.00000,-70.90000,,-3.40000,-3.40000,,-74.30000,-8.60000,,-8.60000,-409.30000,-409.30000,-100.80000,-518.70000,324.00000,115.20000
2020-12-31,604.243,29.34,165.051,194.391,-72.209,-37.093,35.147,95.932,-307.107,491.527,-47.691,0,291.45,291.45,0,243.759,-6.264,0,-6.264,-101.021,-101.021,-17.926,-125.211,627.896,97.066
2020-09-30,667.434,26.642,117.8,144.442,12.948,-30.521,1.456,30.756,95.872,907.748,-174.795,0,-73.142,-73.142,0,-247.937,-7.839,0,-7.839,-86.211,-86.211,-46.634,-140.684,525.285,99.539
2020-06-30,837.27,26.697,-4.7,21.997,59.533,-36.936,0.412,-59.786,179.26,1038.527,-17.864,0,89.776,89.776,0,71.912,-10.443,0,-10.443,133.461,133.461,-2.993,120.025,1233.736,117.189
2020-03-31,602.75300,26.82100,208.54900,235.37000,-223.67200,-27.45000,14.28500,60.59800,-22.42500,815.69800,-19.45000,,51.11600,51.11600,,31.66600,-4.45400,,-4.45400,-220.42900,-220.42900,-134.54700,-359.43000,481.28300,115.70600
2019-12-31,583.224,26.215,58.554,84.769,-184.156,-18.72,-10.59,74.25,-222.015,445.978,-16.71,-908.376,67.413,67.413,-39.3,-896.973,2.993,0,2.993,162.587,162.587,-4.132,161.448,-283.938,91.602
2019-09-30,57.518,25.847,116.382,142.229,14.426,-20.106,15.864,-16.873,135.042,334.789,-24.291,-245.824,21.116,21.116,0,-248.999,-14.269,0,-14.269,30.538,30.538,4.087,20.356,102.945,85.42
2019-06-30,267.427,27.698,85.53,113.228,-25.734,-12.035,-3.929,-16.455,83.094,463.749,-16.358,0,-33.832,-33.832,0,-50.19,-17.924,0,-17.924,-5.538,-5.538,10.447,-13.015,400.114,89.687
2019-03-31,268.63100,27.14000,91.23400,118.37400,-30.13600,-13.13900,-24.14500,32.47800,-62.22100,324.78400,-18.04100,,-21.09700,-21.09700,,-39.13800,,,,-30.38700,-30.38700,-11.60200,-41.98900,243.27900,93.79100
2018-12-31,1525.096,18.826,-1312.529,-1293.703,-32.985,-7.504,13.531,-24.965,83.185,314.578,-15.646,0,-2.362,-2.362,-22.896,-40.904,2.841,0,2.841,-99.466,-99.466,-4.421,-101.046,171.202,78.943
2018-09-30,128.456,19.192,153.618,172.81,12.999,-15.095,10.794,4.811,80.082,381.348,-20.912,0,-28.977,-28.977,0,-49.889,-10.894,0,-10.894,8.912,8.912,4.061,2.079,332.983,85.532
