,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,305,154,978,1132,27,-136,-417,1020,-74,0,0,2740,2740,-2120,546,1997,13,2010,9,9,-40,-3710,-1731,-165,0
2022-09-30,418,128,84,212,-11,-623,-197,433,-76,0,0,672,672,-1152,-556,1,9899,9900,-2,-2,-40,-11132,-1274,-1397,0
2022-06-30,353,163,219,382,-48,251,317,1052,-33,0,0,1870,1870,-2265,-428,797,3604,4401,-2,-2,-40,-10191,-5832,-5208,-51
2022-03-31,533.00000,89.00000,-4.00000,85.00000,-13.00000,224.00000,-259.00000,359.00000,-32.00000,,,-826.00000,-826.00000,-2342.00000,-3200.00000,,-22.00000,-22.00000,-27.00000,-27.00000,-43.00000,8920.00000,8828.00000,5987.00000,51.00000
2021-12-31,408,169,-93,76,-68,48,242,726,-36,0,-35,-20465,-20465,-4720,-25256,646,8,654,12,1594,-23,18012,20237,-4293,0
2021-09-30,475,133,-28,105,-31,-236,-133,447,-36,0,1116,-20686,-20686,-3433,-23039,0,0,0,1247,1247,-23,16341,17565,-5027,0
2021-06-30,628,140,-270,-130,-45,28,-17,481,-27,0,0,-17969,-17969,-3035,-21031,496,-5,491,141,1126,-12,21649,23254,2704,-27
2021-03-31,562.00000,27.00000,-81.00000,-54.00000,-41.00000,-67.00000,-294.00000,214.00000,-14.00000,,,-18458.00000,-18458.00000,-2538.00000,-21010.00000,494.00000,18.00000,512.00000,974.00000,1713.00000,-5.00000,22156.00000,24376.00000,3580.00000,27.00000
2020-12-31,439,19,-127,-108,-41,-238,28,359,-22,0,-27,-8835,-8835,-6734,-15618,0,5,5,13,13,-5,17202,17215,1956,0
2020-09-30,474,26,-183,-157,-1,26,-9,308,-14,0,0,-7378,-7378,-1663,-9055,0,-33,-33,5,5,-4,10265,10233,1486,0
2020-06-30,247.351,35.627,39.185,74.812,-7.982,76.441,254.712,576.875,-25.912,0,0,-5174.456,-5174.456,-733.591,-5933.959,495,-3086.732,-2591.732,13.604,13.604,-4.631,12580.178,9997.419,4640.335,-19.171
2020-03-31,133.64900,5.37300,184.81500,190.18800,23.98200,-9.44100,-155.71200,168.12500,-25.08800,,,2222.45600,2222.45600,-2796.40900,-599.04100,,3120.73200,3120.73200,-60.60400,-60.60400,-3.36900,153.82200,3210.58100,2779.66500,19.17100
2019-12-31,275.099,2.779,6.623,9.402,-13.571,40.962,169.755,454.256,-31.129,0,0.328,-686.574,-686.574,-2089.849,-2807.224,-359,-1.486,-360.486,12.769,352.769,0,2196.03,2188.311,-164.657,0
2019-09-30,281.718,39.116,27.117,66.233,-6.579,-175.401,-88.778,259.173,-15.239,0,0,-4392.195,-4392.195,-1840.321,-6247.755,0,-5.354,-5.354,-4.347,-4.347,0,3923.552,3913.853,-2074.729,-31.768
2019-06-30,336.571,-18.055,27.83,9.775,-0.489,-132.687,-236.525,109.821,-13.128,0,-2.291,-866.715,-866.715,-339.314,-1221.448,0,9.797,9.797,-219.969,-219.969,0,3275.841,3065.669,1954.042,16.646
2019-03-31,291.61200,-12.84000,8.43000,-4.41000,-3.36100,216.12600,53.54800,340.75000,-5.50400,,-100.03700,1515.48400,1515.48400,-505.51600,904.42700,,-616.95700,-616.95700,-115.45300,-115.45300,,2982.57700,2250.16700,3495.34400,15.12200
2018-12-31,274.931,-6.858,15.556,8.698,-4.313,-108.169,-53.971,229.658,-17.147,0,0,1771.4969,1771.4969,-818.429,935.921,0,-1999.84,-1999.84,-140.421,-140.421,0,727.08,-1413.181,-247.602,0
2018-09-30,281.365,19.516,-10.694,8.822,-23.308,20.212,66.337,356.524,-13.867,0,0,349.121,349.121,-1501.443,-1166.189,0,2214.006,2214.006,1.943,1.943,0,-299.244,1916.705,1107.04,-22.467
2018-06-30,247.026,-21.301,-1.197,-22.498,-9.848,-175.301,-225.552,-1.024,-7.134,0,0,-774.781,-774.781,-1391.539,-2173.454,0,-684.894,-684.894,7.644,7.644,0,2944.445,2267.195,92.717,11.944
2018-03-31,208.02600,-15.88100,11.93700,-3.94400,-18.36500,199.17400,144.32200,348.40400,-7.71700,,,-924.93800,-924.93800,-1463.99800,-2396.65300,,68.41000,68.41000,2.09800,2.09800,,1674.05000,1744.55800,-303.69100,10.52300
2017-12-31,124.664,23.001,26.783,49.784,-5.28,-98.775,-48.656,125.792,-15.414,0,0,-261.159,-261.159,-906.499,-1183.072,-51.546,1028.89,977.344,10.717,10.717,0,-563.277,424.784,-632.496,-27.739
2017-09-30,154.118,-15.332,21.102,5.77,-17.24,-91.55,-35.536,124.352,-13.974,0,0,-1559.376,-1559.376,-1194.544,-2767.894,0,4.37,4.37,2.37,2.37,0,2338.129,2344.869,-298.673,8.644
2017-06-30,132.516,-12.995,20.563,7.568,-2.102,173.469,144.7,284.784,-10.897,0,0,-1000.6139,-1000.6139,-546.602,-1558.113,-46.235,-4.693,-50.928,5.079,5.079,0,1377.743,1331.894,58.565,9.892
2017-03-31,107.88000,-10.85900,16.17900,5.32000,-6.75000,29.61600,-1.26300,111.93700,-10.59900,,,68.63590,68.63590,-519.45400,-461.41700,,-507.50500,-507.50500,8.83700,8.83700,,2098.07700,1599.40900,1249.92900,9.20300
2016-12-31,103.642,-16.678,67.271,50.593,-4.832,25.414,44.521,198.756,-16.127,0,0,-683.115,-683.115,-791.641,-1490.883,0,510.247,510.247,13.158,13.158,0,793.153,1316.558,24.431,13.152
2016-09-30,115.647,-27.291,0.001,-27.29,0.937,-35.571,42.58,130.937,-13.127,0,0,737.231,737.231,-279.811,444.293,0,-500.798,-500.798,1.809,1.809,0,590.621,91.632,666.862,22.342
2016-06-30,94.38,-0.082,13.598,13.516,4.86,14.045,-21.89,86.006,-10.377,0,0,1658.34,1658.34,-1093.89,554.073,0,503.219,503.219,7.102,7.102,0,-1164.455,-654.134,-14.055,0
2016-03-31,76.59700,-0.69800,29.86000,29.16200,-4.62800,26.90800,-49.69800,56.06100,-13.68000,,,2479.69700,2479.69700,-991.93900,1474.07800,,-774.90000,-774.90000,4.07800,4.07800,,-394.06200,-1164.88400,365.25500,
2015-12-31,90.009,-9.993,-42.001,-51.994,-2.085,-8.476,46.975,84.99,-16.453,0,0,-1684.805,-1684.805,-1422.369,-3123.627,0,771.144,771.144,4.186,4.186,0,2092.419,2867.749,-170.888,8.065
2015-09-30,87.962,-7.333,21.671,14.338,-8.399,-39.171,-58.972,43.328,-12.926,0,0,-1344.128,-1344.128,-1057.869,-2414.923,0,1.219,1.219,1.133,1.133,0,1417.838,1420.19,-951.405,8.188
2015-06-30,94.459,-8.92,12.325,3.405,1.315,9.72,59.809,157.673,-12.501,0,0,-649.388,-649.388,242.913,-418.976,0,-75.229,-75.229,6.984,6.984,0,1691.252,1623.007,1361.704,8.215
2015-03-31,102.39000,-4.85900,-18.61600,-23.47500,0.77200,47.99100,-25.70900,53.20600,-12.03800,,,-489.83200,-489.83200,-36.34000,-538.21000,,416.41600,416.41600,10.10700,10.10700,,-488.68700,-62.16400,-547.16800,7.77100
2014-12-31,129.795,-6.491,-57.352,-63.843,-9.154,-75.282,-47.058,18.894,-13.099,0,0,-867.644,-867.644,-2375.993,-3256.735,0,1.151,1.151,4.378,4.378,0,3170.794,3176.321,-61.523,7.26
2014-09-30,64.154,-6.106,-5.603,-11.709,-6.162,-33.195,-34.16,18.285,-10.588,0,0,-2860.168,-2860.168,-660.287,-3531.043,0,1.72,1.72,5.75,5.75,0,2727.995,2735.464,-777.294,7.52
2014-06-30,10.356,-9.353,63.377,54.024,-4.722,102.585,103.719,168.099,-12.77,0,0,-4211.268,-4211.268,-505.245,-4729.283,0,0.1,0.1,438.74,438.74,0,2909.711,3348.551,-1212.633,14.765
2014-03-31,274.35500,3.88200,-207.59000,-203.70800,-6.60400,35.47500,-20.65700,49.99000,-5.97400,,,-778.04300,-778.04300,67.39800,-716.61900,,-0.27000,-0.27000,8.14400,8.14400,,2982.44000,2990.31400,2323.68500,
2013-12-31,191.57,-2.547,-108.518,-111.065,1.942,-22.093,-6.769,73.736,-9.167,0,0,-1881.1234,-1881.1234,-1073.577,-2963.867,0,-0.5,-0.5,8.161,8.161,0,2478.505,2486.166,-403.965,-18.945
2013-09-30,216.18,-4.526,-174.317,-178.843,-0.871,-6.777,28.333,65.67,-7.291,0,0,-116.421,-116.421,-193.343,-317.055,0,0.18,0.18,6.122,6.122,0,1314.576,1320.878,1069.493,6.723
2013-06-30,76.488,-1.688,-15.715,-17.403,0.423,-30.982,-25.669,33.416,-6.94,0,0,692.455,692.455,-775.907,-90.392,0,-2.06,-2.06,14.225,14.225,0,-601.187,-589.022,-645.998,6.396
2013-03-31,60.54500,1.78700,-16.70200,-14.91500,-4.73500,14.20000,-46.67400,-1.04400,-6.60600,,,428.59400,428.59400,110.33800,532.32600,,-158.65000,-158.65000,18.06100,18.06100,,119.57300,-21.01600,510.26600,5.82600
2012-12-31,99.662,2.331,-46.157,-43.826,2.83,-18.254,12.666,68.502,-0.771,0,0,-328.092,-328.092,-744.209,-1073.072,0,-342.06,-342.06,1.932,1.932,0,1447.001,1106.873,102.303,5.267
2012-09-30,53.14,16.868,-12.653,4.215,-4.64,39.463,76.353,133.708,-13.473,0,0,-418.8062,-418.8062,-399.558,-831.837,0,502.29,502.29,3.047,3.047,0,-312.253,193.084,-505.045,5.617
2012-06-30,57.078,5.151,-8.426,-3.275,1.955,-27.308,-49.033,4.77,-11.962,0,0,845.0821,845.0821,-666.399,166.721,-142.651,-843.5,-986.151,6.403,6.403,0,1369.358,389.61,561.101,5.828
2012-03-31,39.93300,0.83500,11.05900,11.89400,-6.39900,-4.07300,-62.69900,-10.87200,-8.05400,,,-998.60500,-998.60500,-141.52100,-1148.18000,,849.38000,849.38000,17.90000,17.90000,,27.44800,894.72800,-264.32400,5.14900
2011-12-31,43.89,-0.182,-2.514,-2.696,1.549,17.009,35.01,76.204,-9.256,0,0,-949.772,-949.772,-634.036,-1593.064,-4.179,0,-4.179,6.602,6.602,0,587.413,589.836,-927.024,4.72
2011-09-30,76.076,0.083,-46.134,-46.051,-5.571,-132.895,-111.643,-81.618,-8.757,0,0,-4.733,-4.733,-332.485,-345.975,0,0,0,4.141,4.141,0,-99.795,-95.654,-523.247,4.552
2011-06-30,89.732,-0.563,-71.4,-71.963,0.248,126.477,147.914,165.683,-7.232,0,0,-11.725,-11.725,-320.876,-339.833,-559.484,-35.415,-594.899,11.696,11.696,0,972.512,389.309,215.159,4.706
2011-03-31,73.09500,-5.15700,-45.52200,-50.67900,-8.59600,22.17300,-16.29300,6.12300,-5.61100,,,-1637.29100,-1637.29100,-117.18200,-1760.08400,,-1.83000,-1.83000,14.43400,14.43400,,1014.98500,1027.58900,-726.37200,4.24300
2010-12-31,33.982,0.312,-9.714,-9.402,-4.257,-13.346,-6.214,18.366,-6.025,0,-1.3,-1992.657,-1992.657,-656.963,-2656.945,-1.779,-22.49,-24.269,8.809,8.809,0,1952.102,1936.642,-701.937,3.857
2010-09-30,52.439,-0.938,-32.946,-33.884,7.166,-16.063,31.315,49.87,-7.811,0,0,-704.664,-704.664,-408.804,-1121.279,344.294,15,359.294,2.006,2.006,0,298.135,659.435,-411.974,3.608
2010-06-30,21.186,-2.541,7.087,4.546,-5.463,20.655,21.407,47.139,-6.457,-0.36,0.36,-952.8391,-952.8391,-238.27,-1197.566,0,4.84,4.84,8.139,8.139,0,636.088,649.067,-501.36,3.005
2010-03-31,29.21000,-0.02600,-1.02100,-1.04700,4.11400,15.50300,19.69000,47.85300,-6.76300,,-0.36000,-407.73790,-407.73790,337.94400,-76.91700,,1.14000,1.14000,5.06500,5.06500,,1201.70900,1207.91400,1178.85000,3.29100
2009-12-31,24.082,-36.75,17.213,-19.537,-7.753,-26.688,-20.383,-15.838,-4.418,0,0,-1032.481,-1032.481,121.452,-915.447,-1.306,-13.53,-14.836,293.864,58.864,-4.178,293.46,333.31,-597.975,3.607
2009-09-30,26.409,8.676,12.866,21.542,1.786,-42.088,-31.752,16.199,-4.734,0,0,-804.902,-804.902,147.33,-662.306,-50.387,20.945,-29.442,1.462,1.462,-2.938,1078.483,1047.565,401.458,3.434
2009-06-30,2.377,5.882,36.372,42.254,-9.524,44.709,28.713,73.344,-4.336,0,0,-596.044,-596.044,138.341,-462.039,-50.38,-25.11,-75.49,2.569,2.569,-2.938,526.938,451.079,62.384,3.856
2009-03-31,-42.22800,9.20500,80.79400,89.99900,5.50300,-11.02700,-34.51300,13.25800,-2.47500,,,-276.98900,-276.98900,461.79000,182.32600,-0.50500,-5.67000,-6.17500,0.08500,0.08500,-2.05600,1022.82300,1014.67700,1210.26100,3.88700
