,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,403,100,321,421,-528,0,83,835,299,1123,-24,0,0,-1778,-1778,1,-1801,0,0,6,6,0,-67,-61,-683,161,0
2022-09-30,435,37,-49,-12,-97,0,41,-184,-166,257,-15,0,0,-2924,-2924,-1,-2940,0,0,4,4,0,-10,-6,-2741,102,0
2022-06-30,280,83,42,125,-46,0,-11,-240,-207,198,-37,-135,0,-89,-89,1,-260,0,0,21,21,-367,-24,-370,-470,101,-367
2022-03-31,395.00000,99.00000,30.00000,129.00000,440.00000,,-76.00000,-257.00000,118.00000,642.00000,-15.00000,,,22.00000,22.00000,,7.00000,,,16.00000,16.00000,,-113.00000,-97.00000,542.00000,98.00000,
2021-12-31,564,96,370,466,-391,0,39,132,-369,661,-21,0,0,94,94,-31,42,0,0,12,12,0,0,12,702,249,0
2021-09-30,639,96,72,168,93,0,34,-429,-286,521,-23,0,0,97,97,-1,73,0,0,11,11,0,-73,-62,513,65,0
2021-06-30,877,109,-47,62,93,0,-10,-490,-551,388,-14,0,0,-95,-95,21,-88,0,0,38,38,-365,-49,-376,-64,43,-365
2021-03-31,619.00000,139.00000,159.00000,298.00000,276.00000,,-70.00000,-290.00000,-73.00000,844.00000,-22.00000,,,-64.00000,-64.00000,,-86.00000,,,29.00000,29.00000,,-124.00000,-95.00000,635.00000,151.00000,
2020-12-31,509,153,32,185,-419,0,61,551,446,1140,-22,0,0,22,22,0,0,0,0,56,56,0,2,58,1235,80,0
2020-09-30,604,82,82,164,-5,0,42,-336,-572,196,-24,0,0,-66,-66,0,-90,944,944,45,45,0,-55,934,1077,53,0
