,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,-205.031,15.476,272.482,287.958,-107.805,18.587,156.816,67.598,150.525,-4.04,0,0,48.321,-30.308,18.013,0,13.973,0,0,0,0,0,0,0,168.02,265.785
2022-09-30,-13.74100,14.62000,140.06700,154.68700,61.31400,31.14700,-140.96500,-48.50400,92.44200,-16.49600,,-0.60000,-10.00000,20.85800,10.85800,,-6.23800,,,,,,1.39600,1.39600,83.26300,173.63100
2022-06-30,-68.859,24.61,166.159,190.769,-51.581,72.45,95.016,108.487,230.397,-24.648,0,0,0,4.1,4.1,-3.333,-23.881,0,-11.052,-11.0519,0.017,0.017,-0.104,-11.139,190.462,163.891
2022-03-31,-62.181,43.746,244.594,288.3399,-14.98,47.989,181.725,155.484,381.643,-26.473,-4.018,-8.538,-226.746,221.428,-5.318,6.635,-37.712,0,-38.09,-38.0901,0.015,0.015,0.666,-37.409,306.53,296.469
2021-12-31,-22.328,12.298,179.542,191.8401,-54.992,10.284,81.651,36.943,206.455,-12.581,0,-2.701,61.487,-95.887,-34.4,0,-49.682,-884.376,0,-884.376,0,0,104.523,-779.853,-619.144,145.82
2021-09-30,-411.20400,13.30400,558.02500,571.32900,-13.21100,10.22300,-92.13600,-95.12400,65.00100,-6.88100,,-1.13800,165.25900,0.88700,166.14600,,158.12700,335.69000,,335.69000,,,30.97900,366.66900,588.19000,100.90700
2021-06-30,-214.018,23.714,306.567,330.281,19.687,31.676,23.597,68.104,184.367,-8.79,-1.8,-7.96,0,98.535,98.535,-0.456,79.529,-540.197,-11.336,-551.533,0.005,0.005,64.73,-486.798,-232.223,94.045
2021-03-31,211.05,23.324,-41.454,-18.13,-35.42,47.784,186.207,184.116,377.036,-5.365,0,-41.46,-195.304,307.387,112.083,0,65.258,-591.55,-11.303,-602.853,0.011,0.011,62.383,-540.459,-100.265,98.264
2020-12-31,-607.372,23.185,741.805,764.99,-37.145,32.823,68.652,42.844,200.462,-9.548,0,-9.7,120.627,4.594,125.221,-2.162,103.811,-671.489,-11.139,-682.628,0.225,0.225,65.037,-617.366,-308.547,107.692
2020-09-30,-24.32400,22.62500,129.02700,151.65200,-8.37800,-47.38400,15.37400,-47.86300,79.46500,-7.81700,,-32.46400,74.67700,-26.16500,48.51200,-0.18500,8.04600,-0.00800,-11.09600,-11.10400,0.92200,0.92200,,-10.18200,80.29300,85.73100
2020-06-30,-395.608,22.078,471.461,493.539,-18.229,26.08,19.585,25.41,123.341,-15.844,0,-15.229,-425.257,486.675,61.418,-2.845,27.5,0,-11.79,-11.79,0.317,0.317,-3.125,-14.598,141.776,78.139
2020-03-31,-166.857,23.683,229.832,253.515,29.902,30.961,11.88,69.655,156.313,-6.742,0,0,425.257,-461.941,-36.684,0,-43.426,-0.002,-9.308,-9.31,0.499,0.499,0,-8.811,98.468,87.522
2019-12-31,141.791,26.622,-28.754,-2.132,-24.276,26.32,87.041,78.706,218.365,-7.01,0,-37.168,-122.449,12.838,-109.611,0,-153.789,0,-9.357,-9.357,0.331,0.331,-3.125,-12.151,52.534,70.438
2019-09-30,74.46500,25.01500,-3.87800,21.13700,-16.83700,-31.82900,31.63800,-19.41100,76.19100,-6.11300,,-0.81500,122.44900,-264.73700,-142.28800,,-149.21600,,-7.67000,-7.67000,0.65500,0.65500,,-7.01500,-81.25000,77.29600
2019-06-30,-190.862,15.845,233.2961,249.141,-14.584,19.419,56.174,59.447,117.726,-19.563,-1.26,-155.041,0,-116.148,-116.148,0,-292.012,0,0,0,0.713,0.713,-3.125,-2.412,-176.843,76.132
2019-03-31,-201.681,16.303,245.275,261.578,7.513,38.231,28.482,73.354,133.251,-6.106,0,0,0,-23.519,-23.519,0,-29.625,0,0,0,1.125,1.125,0,1.125,104.695,72.746
2018-12-31,27.063,20.685,29.755,50.44,-17.769,32.252,39.193,52.933,130.436,-4.807,0,-263.554,0,-36.216,-36.216,-0.552,-305.129,-0.41,0,-0.41,0.707,0.707,-2.784,-2.487,-177.191,60.504
2018-09-30,-240.07600,17.41500,286.95800,304.37300,-5.37100,-14.27800,30.06600,20.63200,84.92900,-9.99500,-0.85000,,,33.41300,33.41300,,22.56800,,,,0.99700,0.99700,-0.41000,0.58700,107.44100,48.38000
2018-06-30,-18.935,17.754,54.397,72.151,-7.748,9.908,27.369,28.987,82.203,-16.027,0,0,0,48.114,48.114,0.106,32.193,990.494,0,990.494,0.908,0.908,-87.7,903.702,1016.826,38.476
2018-03-31,-7.543,20.111,31.794,51.905,-3.5,27.311,25.18,47.314,91.676,-4.293,0,0,0,-2.772,-2.772,-3.386,-10.451,0,0,0,0.932,0.932,0,0.932,82.608,34.921
2017-12-31,-11.945,20.99,43.625,64.615,-4.668,5.105,19.991,19.658,72.328,-4.55,0,0,51.573,-112.567,-60.994,-3.009,-68.553,0,0,0,1.278,1.278,0,1.278,5.034,45.351
2017-09-30,-19.70800,20.58000,42.83400,63.41400,-3.71900,1.15300,25.36600,21.54300,65.24900,-2.56400,,,-51.57300,49.38400,-2.18900,-0.13200,-4.88500,,,,0.87700,0.87700,,0.87700,61.45100,44.12500
2017-06-30,-31.768,23.766,40.406,64.172,-0.295,1.639,21.857,18.193,50.597,-5.208,-0.925,0,-53.94,54.911,0.971,-0.002,-5.164,0,0,0,2.035,2.035,0,2.035,47.538,41.337
2017-03-31,-22.521,18.485,36.936,55.421,2.155,12.707,26.416,40.023,72.923,-4.623,0,-362.795,-81.933,235.173,153.24,0,-214.178,0,0,0,1.535,1.535,0,1.535,-139.28,37.782
2016-12-31,-1.487,11.253,26.185,37.438,-12.695,5.135,20.426,11.448,47.399,-2.907,0,0,-59.378,86.706,27.328,-4.119,20.302,0,0,0,2.151,2.151,0,2.151,69.417,27.806
2016-09-30,-3.87600,8.04200,28.76600,36.80800,0.62700,-8.53400,4.79800,-4.47000,28.46200,-2.04900,,-18.29500,-116.88600,111.88200,-5.00400,-0.18500,-25.53300,,,,3.71700,3.71700,,3.71700,7.03600,30.52300
2016-06-30,-10.497,6.342,23.969,30.311,-0.176,5.647,12.981,15.181,34.995,-17.394,0,0,-116.169,43.14,-73.029,0,-90.423,0,0,0,2.466,2.466,0,2.466,-53.185,25.086
2016-03-31,-4.183,5.678,20.162,25.84,-1.723,10.717,18.554,26.587,48.244,-7.531,0,0,-305.583,6.361,-299.222,0,-306.753,0,0,0,0.764,0.764,0,0.764,-257.374,21.246
