,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,175,293,-228,65,-90,173,-279,-422,-182,-177,4,0,5,5,102,-66,0,0,-235,-235,0,-144,-379,-515,0
2022-09-30,476,377,330,707,173,-12,-2236,-2180,-997,-170,0,0,0,0,-96,-266,-417,-417,-286,-286,0,145,-558,-1958,0
2022-06-30,-185,290,569,859,-445,255,860,954,1628,-159,0,-60,0,-60,-42,-261,-1000,-1000,-9,-9,0,-15,-1024,189,0
2022-03-31,-123.00000,287.00000,-82.00000,205.00000,-476.00000,-41.00000,3172.00000,2909.00000,2991.00000,-156.00000,,,200.00000,200.00000,-31.00000,13.00000,-724.00000,-724.00000,54.00000,54.00000,,7.00000,-663.00000,2330.00000,
2021-12-31,395,318,-332,-14,60,114,-173,-96,285,-143,-60,-200,0,-200,-22,-425,0,0,446,-172,-17,-433,-622,-813,-67
2021-09-30,378,317,120,437,-52,107,-1981,-2036,-1221,-179,0,0,11,11,75,-93,0,0,-402,-402,0,429,27,-1387,0
2021-06-30,-177,325,-81,244,-429,430,2123,2447,2514,-183,0,-1,12,11,-61,-233,-3,-3,80,-538,-50,3,-588,1740,0
2021-03-31,-581.00000,292.00000,154.00000,446.00000,-300.00000,126.00000,2447.00000,2305.00000,2170.00000,-168.00000,,,,,-12.00000,-180.00000,261.00000,261.00000,214.00000,214.00000,,-265.00000,210.00000,2127.00000,
2020-12-31,-391,264,-192,72,145,20,-108,-66,-385,-128,-21,-685,685,0,-7,-156,-651,-651,313,313,-58,-98,-494,-943,-75
2020-09-30,-200,322,-105,217,157,49,-1034,-836,-819,-176,0,0,400,400,10,234,-768,-768,-101,-101,0,107,-762,-1285,0
2020-06-30,-740,316,-243,73,393,-307,-1100,-1179,-1846,-206,0,285,-509,-224,57,-373,2714,2714,6,1138,-17,-19,3816,1645,0
2020-03-31,-1397.00000,1170.00000,264.00000,1434.00000,1086.00000,-1082.00000,-664.00000,-821.00000,-784.00000,-287.00000,,-285.00000,585.00000,300.00000,19.00000,32.00000,1900.00000,1900.00000,-324.00000,-324.00000,-48.00000,-11.00000,1517.00000,624.00000,-48.00000
2019-12-31,78,292,-122,170,175,105,-217,93,341,-296,-80,-63,217,154,98,-124,-4,-4,-367,-367,-50,-11,-432,-150,-50
2019-09-30,407,288,44,332,199,-152,-1555,-1600,-861,-291,80,-647,608,-39,-13,-263,1235,1235,-202,-202,-50,-410,573,-633,-50
2019-06-30,187,287,-55,232,-274,232,445,719,1138,-299,0,-198,27,-171,10,-460,0,0,61,61,-48,0,13,722,-48
