,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,397,58,-4,54,51,-159,-36,-145,-106,360,-27,0,0,0,-24,-51,0,0,0,-215,-215,-85,-4,-304,10,10,-85
2022-09-30,442,52,20,72,-89,-104,-2,11,-127,380,-40,0,0,0,0,-40,0,1,1,-178,-178,-102,-1,-280,53,11,-102
2022-06-30,389,55,32,87,-135,-84,35,-97,-226,250,-104,0,0,0,-11,-115,0,0,0,-111,-111,-99,-19,-229,-102,18,-99
2022-03-31,385.00000,52.00000,20.00000,72.00000,-263.00000,-65.00000,228.00000,47.00000,-106.00000,343.00000,-57.00000,,,,,-57.00000,,,,-73.00000,-73.00000,-84.00000,-2.00000,-159.00000,123.00000,9.00000,-84.00000
2021-12-31,301,48,46,94,-26,-88,-113,-63,-192,213,-46,0,0,0,0,-46,0,0,0,-153,-153,-96,0,-249,-87,9,-96
2021-09-30,315,45,14,59,-118,-86,-11,7,-206,161,-50,0,0,0,0,-50,0,0,0,-241,-241,-85,-1,-327,-219,8,-85
2021-06-30,243,49,25,74,-59,-30,93,-58,-50,269,-72,0,0,0,0,-72,-8,0,-8,-86,-86,-95,-24,-213,-15,17,-95
2021-03-31,255.00000,43.00000,-4.00000,39.00000,-121.00000,52.00000,85.00000,50.00000,5.00000,294.00000,-58.00000,,,,,-58.00000,,,,-167.00000,-167.00000,-81.00000,-2.00000,-250.00000,-23.00000,8.00000,-81.00000
2020-12-31,185,55,2,57,24,64,-65,43,94,336,-47,0,0,0,0,-47,-8,0,-8,-477,-477,-92,-2,-579,-274,10,-92
2020-09-30,256,42,17,59,-32,-78,66,21,-4,311,-50,0,0,0,0,-50,-931,-15,-946,19,19,-82,-2,-1011,-744,10,-82
2020-06-30,129,50,139,189,104,-163,-76,45,-86,232,-30,0,0,0,0,-30,-2,-2,-4,8,8,-86,-9,-91,111,17,-86
2020-03-31,185.00000,222.00000,11.00000,233.00000,-217.00000,19.00000,155.00000,-95.00000,-174.00000,244.00000,-50.00000,,,,-2.00000,-52.00000,1155.00000,-36.00000,1119.00000,-81.00000,-81.00000,-78.00000,-5.00000,955.00000,1132.00000,9.00000,-78.00000
2019-12-31,117,58,120,178,77,-124,-18,-8,-23,272,-57,0,0,0,0,-57,6,1,7,-70,-70,-86,1,-148,74,8,-86
2019-09-30,244,58,17,75,-1,6,-50,-15,-10,320,-54,0,0,0,0,-54,-14,1,-13,-197,-197,-79,0,-289,-29,9,-79
2019-06-30,272,56,33,89,-16,-8,36,-59,-27,323,-39,0,0,0,0,-39,-20,0,-20,-252,-252,-87,-6,-365,-77,18,-87
2019-03-31,262.00000,57.00000,3.00000,60.00000,-102.00000,20.00000,64.00000,30.00000,-195.00000,127.00000,-54.00000,,,,2.00000,-52.00000,-14.00000,3.00000,-11.00000,-132.00000,-132.00000,-76.00000,-2.00000,-221.00000,-146.00000,5.00000,-76.00000
2018-12-31,219,65,20,85,93,-76,-55,8,24,314,-146,86,12,12,-13,-61,-7,-1,-8,-140,-140,-84,-1,-233,21,11,-84
2018-09-30,115,64,155,219,-24,-8,-1,51,14,348,-33,0,2,2,0,-31,-53,-4,-57,10,10,-77,18,-106,204,8,-77
2018-06-30,248,64,17,81,-54,-48,-8,111,-68,248,-37,0,-6,-6,0,-43,-11,-80,-91,0,0,-83,-11,-185,11,16,-83
2018-03-31,241.00000,64.00000,19.00000,83.00000,-94.00000,3.00000,13.00000,-136.00000,-177.00000,147.00000,-23.00000,,-8.00000,-8.00000,,-31.00000,-25.00000,80.00000,55.00000,-114.00000,-114.00000,-72.00000,-15.00000,-146.00000,-25.00000,12.00000,-72.00000
2017-12-31,162.372,69.662,36.496,106.158,42.631,-39.851,15.283,-26.437,82.305,336.122,-36.238,0,-12.57,-12.57,2.446,-46.362,-46.208,36.522,-9.686,-149.272,-149.272,-78.496,-10.454,-247.908,42.571,5.848,-78.496
2017-09-30,170.816,66.143,11.012,77.155,-8.787,4.915,19.9,68.658,96.992,348.7,-19.373,0,-9.13,-9.13,3.7,-24.803,0.335,-118.019,-117.684,-122.23,-122.23,-73.867,-0.827,-314.608,9.51,7.122,-73.867
