,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-164.7,58.4,317.9,376.3,-3.6,59.9,-8.9,141.2,351.1,-80.7,-546.8,0,0,0,-0.4,-627.9,99,70.6,169.6,3.8,3.8,-63.8,-4.5,105.1,-167.3,10.3,-63.8
2022-09-30,187.1,53.3,-10.7,42.6,5.8,-19.7,-14.5,-7.8,223.7,-59.3,0,0,0,0,-1.6,-60.9,-300,0,-300,5.5,5.5,-63.8,0.1,-358.2,-202.1,4.1,-63.8
2022-06-30,187.1,53.6,16.9,70.5,-5.7,-69.3,-0.7,-98.2,157.6,-23.2,0,0,0,0,-0.9,-24.1,499.8,-99.6,400.2,5.9,5.9,-63.7,-7.6,334.8,465.3,15,-63.7
2022-03-31,204.40000,53.70000,0.30000,54.00000,-1.80000,-63.70000,-1.00000,-104.10000,152.80000,-15.60000,,,,,-0.10000,-15.70000,,-149.90000,-149.90000,11.00000,11.00000,-63.70000,,-202.60000,-66.20000,2.90000,-63.70000
2021-12-31,158.1,54.2,5.7,59.9,14.4,30.8,-13.4,124.4,340.2,-54.7,-556,0,0,0,-1.6,-612.3,799.2,-26.9,772.3,-373.3,-373.3,-61.7,-4,333.3,60.6,3.4,-61.7
2021-09-30,230.4,54.6,16.4,71,-24.5,0.4,-43.3,5.9,309.3,-20.8,0,0,0,0,-1.3,-22.1,-200,46.8,-153.2,-40.5,-40.5,-62,0.1,-255.6,30.2,3.5,-62
2021-06-30,218.3,55.4,26.5,81.9,20.8,-14,-43.7,-58.2,244.1,-17,0,0,0,0,-0.6,-17.6,-100,-49.4,-149.4,6.6,6.6,-61.9,-0.1,-204.8,22.3,13.7,-61.9
2021-03-31,220.70000,54.90000,10.30000,65.20000,-8.30000,-46.30000,-19.70000,-187.40000,100.20000,-26.30000,,,,,-3.70000,-30.00000,,-69.00000,-69.00000,5.90000,5.90000,-61.90000,,-125.00000,-55.60000,3.10000,-61.90000
2020-12-31,150.2,50.8,2.8,53.6,4.7,20.4,-64.7,-12.6,192.1,-44.3,-512.7,0,0,0,0.1,-556.9,0,349.4,349.4,-296.1,-296.1,-59.6,-0.1,-6.4,-366,2.8,-59.6
2020-09-30,216.2,46.5,20.7,67.2,-24,-39.6,-50.3,-83.6,199.6,-23.7,0,0,0,0,-1.1,-24.8,0,-64.2,-64.2,44.2,44.2,-59.6,-0.1,-79.7,97.4,2.9,-59.6
2020-06-30,189.7,46.2,15.8,62,14.2,-57.9,11.7,110.9,362.1,-14.1,0,0,0,0,-0.9,-15,0,-906.1,-906.1,35.6,35.6,-59.1,-14.5,-944.1,-594.9,13.1,-59.1
2020-03-31,229.80000,46.20000,7.50000,53.70000,-8.30000,15.20000,-36.00000,-49.10000,236.50000,-9.80000,,,,,-1.60000,-11.40000,,719.90000,719.90000,9.30000,9.30000,-59.00000,-0.10000,670.10000,890.90000,2.70000,-59.00000
2019-12-31,144.4,46.5,16.8,63.3,32.6,-26.7,-19.5,45.9,247,-34,0,0,0,0,-0.5,-34.5,-300,178.6,-121.4,3,3,-55.9,0,-174.3,41,3.1,-55.9
2019-09-30,157.3,47,2.9,49.9,-4.5,10.8,28,55.9,266.3,-16.1,0,0,0,0,-0.5,-16.6,0,-37.4,-37.4,-137.2,-137.2,-56.2,-0.1,-230.9,16.8,2.7,-56.2
2019-06-30,138.5,44.3,15,59.3,-1.3,-2,-5.4,11.3,213.3,-11.9,-475,0,0,0,-3.1,-490,300,11.8,311.8,21.9,21.9,-56.1,-1,276.6,0,12.6,-56.1
2019-03-31,175.70000,38.60000,4.20000,42.80000,-36.00000,-15.90000,-3.10000,-79.90000,137.90000,-11.70000,,,,,-0.70000,-12.40000,-300.00000,98.00000,-202.00000,-84.90000,-84.90000,-55.90000,-1.50000,-344.30000,-218.80000,2.40000,-55.90000
2018-12-31,142.8,35.7,14,49.7,13.8,5.4,-6.6,2.4,195.6,-30,0,0,0,0,0.2,-29.8,0,0.7,0.7,18.6,18.6,-53.7,-0.5,-34.9,128.4,3.5,-53.7
2018-09-30,146.3,35.5,9.2,44.7,-12.4,-21.4,34.6,54,245.3,-10.8,0,0,0,0,-0.3,-11.1,0,-109.7,-109.7,29.1,29.1,-53.4,-0.6,-134.6,99,3.9,-53.4
