,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2023-01-31,293.677,38.767,10.612,49.379,-132.722,3.981,-5.839,-154.782,188.274,-87.906,0,0,-1.993,-1.993,0,-89.899,-0.013,0,-0.013,15.117,15.117,0,-0.529,14.575,121.561,10.131,0
2022-10-31,245.84800,39.32700,11.81700,51.14400,-53.83700,4.02000,-40.48200,14.56700,311.55900,-152.47000,,,,,,-152.47000,,,,1.06100,1.06100,,-0.30200,0.75900,155.15500,10.19200,
2022-07-31,263.735,36.272,28.951,65.223,11.886,2.516,33.69,-16.129,312.829,-100.927,0,0,-152.568,-152.568,268.262,15.26,-416.287,0,-416.287,16.599,16.599,0,-1.583,-401.271,-70.582,10.033,0
2022-04-30,278.62,36.706,17.742,54.448,43.127,-4.778,-7.83,84.238,417.306,-76.771,0,0,149.977,149.977,0,72.713,-0.158,0,-0.158,4.127,4.127,0,-1.485,2.484,483.167,9.818,0
2022-01-31,287.412,33.578,8.948,42.526,-70.087,-5.126,-29.994,-195.93,134.008,-91.534,0,-374.866,0,-374.866,0,-466.4,-0.314,0,-0.314,11.435,11.435,0,-0.193,10.928,-326.722,9.662,0
2021-10-31,260.36300,32.04900,17.79400,49.84300,-82.67600,-3.46300,-19.22300,2.33400,312.54000,-63.88300,,,,,,-63.88300,,,,5.57200,5.57200,,-0.40600,5.16600,250.11300,9.45200,
2021-07-31,255.974,29.943,18.922,48.865,-45.92,-5.814,-7.058,-76.153,228.686,-96.67,0,0,0,0,-5,-101.67,0.962,0,0.962,14.476,14.476,0,-6.325,9.113,136.37,13.777,0
2021-04-30,286.796,32.243,-16.737,15.506,29.555,-9.016,9.687,66.862,369.164,-80.711,0,0,0,0,0,-80.711,-0.34,0,-0.34,5.717,5.717,0,-0.151,5.226,295.487,9.367,0
2021-01-31,193.44,31.671,12.921,44.592,-53.288,-1.513,-12.769,-103.524,134.508,-136.263,0,0,0,0,0,-136.263,-0.622,0,-0.622,7.978,7.978,0,0.029,7.385,10.671,8.865,0
2020-10-31,200.28500,29.22700,12.02400,41.25100,-57.86000,-8.25900,6.04000,16.99700,258.53300,-146.82200,,,,,,-146.82200,,,,20.01400,20.01400,,-0.81600,19.19800,128.01400,8.91300,
2020-07-31,165.533,27.501,19.563,47.064,-3.109,0.139,-5.8,54.32,266.917,-103.929,0,0,0,0,-11.702,-112.363,0,0,0,20.305,20.305,0,-5.139,15.166,171.331,6.093,0
2020-04-30,147.487,28.659,6.496,35.155,97.612,-1.556,15.828,111.406,294.048,-86.864,0,0,0,0,0,-90.132,0,-13.6,-13.6,23.062,23.062,0,-0.769,8.693,212.876,5.555,0
2020-01-31,168.707,24.393,10.166,34.559,-53.102,1.055,0.856,-58.804,144.462,-267.203,0,0,0,0,0,-267.203,0,13.6,13.6,23.929,23.929,0,-0.068,37.461,-87.591,6.141,0
2019-10-31,218.18000,23.70400,11.33700,35.04100,-25.40800,1.71000,-6.61200,-40.76300,212.45800,-131.51000,,,,,,-131.51000,,,,12.62000,12.62000,,-101.35400,-88.73400,-5.21700,5.53300,
2019-07-31,153.496,21.625,16.61,38.235,9.112,1.002,-4.802,1.419,193.15,-114.114,0,0,0,0,0,-114.114,0,-7,-7,20.819,20.819,0,-1.294,12.525,83.493,5.845,0
2019-04-30,192.741,21.222,12.645,33.867,16.205,5.919,-2.399,11.684,238.292,-122.914,0,0,0,0,0,-122.914,0,-86.3,-86.3,12.041,12.041,0,-45.567,-119.826,-5.348,5.65,0
2019-01-31,131.373,20.509,9.299,29.808,-56.855,-8.372,-9.095,-53.66,107.521,-57.713,0,0,0,0,0,-57.713,0,93.3,93.3,-357.505,-357.505,0,-0.025,-264.23,-212.135,5.929,0
2018-10-31,114.08300,21.97800,4.97500,26.95300,-29.27000,-3.26800,-9.66700,-33.35300,107.68300,-61.52600,,,,,,-61.52600,,,,1.22900,1.22900,,-0.00200,1.22700,45.78900,6.02100,
2018-07-31,109.741,28.362,23.186,51.548,3.026,2.741,-3.39,-3.417,157.872,-105.158,1.796,0,0,0,0,-103.362,0,0,0,23.773,23.773,-0.18,-1.112,22.481,70.245,5.982,-0.18
2018-04-30,127.405,16.684,3.174,19.858,42.786,-4.175,8.74,43.541,190.804,-77.144,0,0,0,0,0,-77.144,0,-110.7,-110.7,7.213,7.213,0,0,-103.487,8.975,5.941,0
2018-01-31,103.301,17.982,6.904,24.886,-30.243,-2.561,-1.264,-35.154,93.033,-68.505,0,0,0,0,0,-68.628,0,-71.3,-71.3,10.073,10.073,-0.055,0,-61.282,-28.946,5.992,-0.055
2017-10-31,77.56000,16.01200,12.96300,28.97500,-55.90400,0.03600,-9.25200,-13.17500,93.36000,-39.46500,,,,,,-39.34200,,-49.00000,-49.00000,9.25300,9.25300,,-0.00300,-39.75000,14.14600,5.30600,
2017-07-31,70.369,13.49,23.827,37.317,-2.874,0.267,2.723,36.545,144.231,-208.069,0,0,0,0,10,-198.069,0,66,66,3.379,3.379,0,-0.795,68.584,20.479,5.227,0
2017-04-30,90.546,13.805,2.895,16.7,39.121,-0.006,2.666,85.053,192.299,-32.13,0,0,-2.516,-2.516,-10,-44.646,0,-145,-145,9.79,9.79,0,0,-135.21,14.669,5.008,0
2017-01-31,66.066,15.326,6.844,22.17,-45.317,-0.119,-2.528,-7.001,81.235,-54.007,0,0,0,0,0,-54.007,0,-31.9,-31.9,8.312,8.312,0,-0.023,-23.611,6.531,5.52,0
2016-10-31,167.28000,14.82000,27.58200,42.40200,-29.47200,1.15200,-2.68400,-135.38900,74.29300,-38.01900,,,-1.05000,-1.05000,,-39.06900,,103.90000,103.90000,13.97700,13.97700,,-134.61500,-16.73800,12.57200,5.08500,
2016-07-31,84.122,13.743,11.304,25.047,-4.619,0.611,2.713,14.983,124.152,-29.907,0,0,0,0,0,-29.907,-300,238,-62,9.98,9.98,0,-16.053,-68.073,18.196,5.03,0
2016-04-30,74.624,12.606,4.975,17.581,19.089,-1.81,3.284,32.82,125.025,-65.881,0,21.498,0,21.498,-0.1,-44.483,25.468,0,25.468,-113.81,-113.81,0,-0.165,-88.507,-3.763,5.034,0
2016-01-31,59.004,11.732,6.667,18.399,-51.773,-0.799,0.444,-70.873,6.53,-57.643,0,0,0,0,0,-57.643,49.25,0,49.25,-322.784,-322.784,0,0,-273.534,-331.5,5.386,0
2015-10-31,52.61000,11.56200,5.67400,17.23600,-16.91000,-0.51100,-4.33000,6.94500,76.79100,-19.82400,,-21.11900,,-21.11900,0.10000,-40.84300,-18.75000,,-18.75000,0.36800,0.36800,,,-18.38200,16.90400,5.41400,
2015-07-31,57.412,11.314,3.588,14.902,1.346,-0.482,-0.428,-10.607,61.707,-29.423,0,0,-4.5,-4.5,0,-33.923,-18.75,0,-18.75,-229.901,-229.901,0,-2.13,-250.781,-222.73,4.864,0
2015-04-30,57.563,12.212,9.144,21.356,19.145,-0.023,3.097,35.567,114.486,-9.275,0,0,0,0,0,-9.275,-18.75,0,-18.75,0.453,0.453,0,0.745,-17.552,88.376,4.42,0
2015-01-31,52.193,11.4,2.758,14.158,-31.904,-0.673,1.342,-60.834,5.517,-16.018,0,0,0,0,0,-16.018,405.189,0,405.189,1.867,1.867,0,-0.782,406.274,391.882,4.504,0
2014-10-31,52.61500,13.96700,2.56200,16.52900,-9.00400,-0.55300,3.18800,14.22200,83.36600,-22.91600,,,,,0.21700,-22.69900,-18.75000,,-18.75000,0.81000,0.81000,,0.36100,-17.57900,39.81600,4.36600,
2014-07-31,51.043,13.377,5.924,19.301,-3.709,2.573,-0.953,-15.384,54.96,-17.296,0,0,0,0,0,-17.296,-18.75,0,-18.75,5.464,5.464,0,1.07,-12.216,25.836,4.837,0
2014-04-30,40.877,12.769,29.151,41.92,29.767,0.123,2.37,49.046,131.843,-11.751,0,0,0,0,0.364,-11.387,-18.75,-17.034,-35.784,1.13,1.13,0,0.048,-34.606,86.633,6.623,0
2014-01-31,45.345,13.076,1.152,14.228,-34.222,-0.443,0.176,-51.497,8.076,-43.465,0,0,0,0,0.494,-42.678,-37.5,35.784,-1.716,5.583,5.583,0,1.113,4.98,-30.853,5.772,0
2013-10-31,41.42200,14.50400,1.47500,15.97900,-4.70600,1.75900,-17.76400,10.31400,67.71500,-20.44900,,,,,,-20.74200,,-35.04100,-35.04100,0.00200,0.00200,,0.05800,-34.98100,13.42100,4.86700,
2013-07-31,41.304,14.48,4.09,18.57,-6.757,0.33,-17.856,-43.551,16.323,-67.983,0,0,0,0,0,-67.983,-40.405,16.291,-24.114,2.363,2.363,0,-0.067,-21.818,-75.7,4.886,0
2013-04-30,53.236,14.797,6.805,21.602,33.901,0.428,3.859,55.075,129.913,-58.535,0,0,0,0,2.328,-24.964,-18.75,0,-18.75,3.221,3.221,0,0.871,-14.658,89.821,4.751,0
2013-01-31,39.64,14.612,-1.628,12.984,-48.719,-3.546,-7.879,-74.849,-22.225,-36.656,0,0,0,0,11.167,-56.732,-18.75,0,-18.75,12.534,12.534,0,3.371,-2.845,-81.92,4.746,0
2012-10-31,45.84500,12.83900,-0.73000,12.10900,-9.59600,1.01100,-6.74600,17.36100,75.31500,-48.03600,,,,,-10.30600,-58.34200,-18.75500,,-18.75500,-9.73700,-9.73700,,1.92200,-26.57000,-8.68200,5.17400,
2012-07-31,44.896,11.851,-0.879,10.972,-9.602,-0.668,-3.11,-23.146,32.722,-28.994,0,0,0,0,8.041,-20.953,-18.75,0,-18.75,-60.368,-60.368,0,1.671,-77.447,-67.022,5.449,0
2012-04-30,55.471,12.069,0.595,12.664,23.147,-0.048,2.709,38.468,106.603,-12.84,0,0,0,0,0,-12.84,-18.75,0,-18.75,0.732,0.732,0,1.592,-16.426,79.494,5.314,0
2012-01-31,40.603,12.22,8.139,20.359,-16.405,-0.949,8.221,-34.801,26.161,-7.202,0,0,0,0,0,-7.202,-18.75,0,-18.75,-85.417,-85.417,0,0.902,-103.265,-85.037,5.983,0
2011-10-31,41.14900,12.02700,0.42600,12.45300,-13.14400,1.44700,-1.22400,10.58500,64.18700,-7.09200,,,,,,-7.09200,125.00000,,125.00000,-42.62400,-42.62400,,-0.11100,82.26500,138.66800,5.04500,
2011-07-31,40.521,11.331,5.334,16.665,-5.42,-1.747,1.94,-14.904,42.282,-13.779,0,0,0,0,0,-13.779,-12.5,0,-12.5,-134.112,-134.112,0,0.622,-145.99,-118.139,4.814,0
2011-04-30,50.135,11.274,3.004,14.278,21.139,-0.102,10.758,42.914,107.327,-48.566,0,0,0,0,0,-48.566,-12.5,0,-12.5,-61.428,-61.428,0,1.882,-72.046,-11.806,5.077,0
2011-01-31,37.896,11.367,1.812,13.179,-20.24,-1.556,-6.326,-35.29,15.785,-11.062,0,0,0,0,0,-11.062,400,0,400,-460.023,-460.023,0,-1.09,-61.113,-56.516,4.48,0
