,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-238.765,-408.477,-98.237,-506.714,-24.308,-63.256,-808.735,219.592,0,-17.265,-17.265,-132.945,69.382,145.88,145.88,138.855,138.855,446.049,13.638,744.422,5.069,-6.589,446.049
2022-09-30,98.7,137.095,6.716,143.811,6.844,56.679,299.19,-96.257,0,-0.592,-0.592,-74.184,-171.033,134.022,134.022,-97.073,-97.073,-151.044,-8.956,-123.051,5.106,1.801,-151.044
2022-06-30,61.69,136.184,47.012,183.196,0.703,-50.484,194.402,-73.471,0,0.772,0.772,68.632,-4.067,-35.741,-35.741,-60.724,-60.724,-151.395,-2.565,-250.425,-60.09,2.492,-151.395
2022-03-31,78.37500,135.19800,44.50900,179.70700,16.76100,57.06100,315.14300,-49.86400,,17.08500,17.08500,138.49700,105.71800,-244.16100,-244.16100,18.94200,18.94200,-143.61000,-2.11700,-370.94600,49.91500,2.29600,-143.61000
2021-12-31,144.125,133.73,-35.504,98.226,3.432,-36.969,205.382,-115.126,0,1.517,1.517,-188.581,-302.19,197.702,197.702,40.397,40.397,-143.442,-0.163,94.494,-2.314,1.909,-143.442
2021-09-30,125.002,132.24,-53.619,78.621,8.693,68.183,271.806,-94.833,0,-0.167,-0.167,5.428,-89.572,-43.219,-43.219,15.454,15.454,-143.073,-8.62,-179.458,2.776,1.623,-143.073
2021-06-30,69.615,132.915,-7.42,125.495,39.462,37.695,232.805,-75.257,0,-0.054,-0.054,-77.193,-152.504,32.232,32.232,0.49,0.49,-143.199,-25.008,-135.485,-55.184,2.39,-143.199
2021-03-31,176.94900,130.71900,-76.81200,53.90700,-40.56600,-35.59000,195.26600,196.53900,,-8.52400,-8.52400,-41.14600,146.86900,-153.45400,-153.45400,-7.47100,-7.47100,-142.52500,-9.36600,-312.81600,29.31900,1.38600,-142.52500
2020-12-31,101.649,119.147,-19.145,100.002,1.497,-51.98,149.671,6.141,0,12.105,12.105,-133.158,-114.912,-329.152,-329.152,-46.393,-46.393,-143.223,-1.025,-519.793,-485.034,3.234,-143.223
2020-09-30,78.842,129.67,-22.828,106.842,1.113,41.643,227.327,-20.103,0,24.669,24.669,-18.751,-14.185,295.1951,295.1951,-26.681,-26.681,-143.415,-25.641,99.458,312.6,0.88,-143.415
