,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2020-06-30,90.076,132.817,-26.561,106.256,-6.905,-37.148,159.184,164.29,0,3.878,3.878,-10.334,157.834,-175.021,-175.021,-19.62,-19.62,-144.093,-4.156,-342.89,-25.872,2.638,-144.093
2020-03-31,328.76500,131.46200,-227.42300,-95.96100,1.31400,34.12200,266.92600,-519.43000,,-10.56600,-10.56600,84.35900,-445.63700,690.57700,690.57700,-162.05200,-162.05200,-136.35700,-12.20400,379.96400,201.25300,1.40500,-136.35700
2019-12-31,135.182,113.325,-13.036,100.289,11.411,-23.319,212.152,-92.472,0,86.561,86.561,182.473,176.562,-238.3423,-238.3423,1.035,1.035,-136.62,-25.419,-399.346,-10.632,0.262,-136.62
2019-09-30,105.7,116.733,-1.741,114.992,4.607,56.402,277.094,-141.933,0,4.384,4.384,-235.237,-372.786,170.3102,170.3102,100.31,100.31,-134.599,-3.574,132.447,36.755,1.427,-134.599
2019-06-30,98.061,115.104,4.885,119.989,-2.567,-43.976,174.074,-90.902,0,1.694,1.694,-23.011,-112.219,4.4469,4.4469,1.982,1.982,-135.025,-2.414,-131.01,-69.155,3.253,-135.025
2019-03-31,125.50500,115.78600,-35.15100,80.63500,-4.27600,49.61900,255.75900,-115.52200,,8.43400,8.43400,-112.16000,-219.24800,137.25900,137.25900,-50.31000,-50.31000,-129.50300,-21.22600,-63.78000,-27.26900,2.06800,-129.50300
2018-12-31,124.44,115.28,-42.354,72.926,3.665,-51.949,145.417,113.31,0,0.198,0.198,-37.577,75.931,-68.081,-68.081,-44.433,-44.433,-129.785,-2.28,-244.579,-23.231,-0.074,-129.785
2018-09-30,86.11,115.766,0.957,116.723,2.153,54.783,257.616,-101,0,2.391,2.391,21.793,-76.816,-54.1581,-54.1581,0.757,0.757,-129.927,-0.422,-183.75,-2.95,1.303,-129.927
2018-06-30,106.41,114.33,-14.137,100.193,-2.128,-51.44,155.163,54.426,0,-5.162,-5.162,-9.283,39.981,-24.4109,-24.4109,0.356,0.356,-131.991,-0.6,-156.646,38.498,3.816,-131.991
2018-03-31,96.63900,114.28400,8.65500,122.93900,-3.37100,48.78000,268.35800,-71.91600,,-3.85800,-3.85800,-23.21500,-98.98900,36.02500,36.02500,-2.61900,-2.61900,-121.52900,-3.29400,-91.41700,77.95200,2.09000,-121.52900
2017-12-31,109.662,113.181,-11.812,101.369,-0.729,-64.991,146.04,-94.326,0,-0.121,-0.121,11.799,-82.648,75.271,75.271,11.234,11.234,-121.662,-30.382,-65.539,-2.147,4.392,-121.662
2017-09-30,85.035,112.778,0.613,113.391,-1.34,52.617,251.043,-90.285,0,-27.442,-27.442,-103.926,-221.653,-44.778,-44.778,1.85,1.85,-121.526,-1.539,-165.993,-136.603,1.533,-121.526
2017-06-30,75.795,113.234,3.793,117.027,2.047,-43.604,149.218,-59.748,0,-8.813,-8.813,-15.179,-83.74,67.1149,67.1149,96.877,96.877,-123.707,-6.139,34.146,99.624,2.108,-123.707
2017-03-31,187.55100,108.62100,-112.19600,-3.57500,-3.15200,39.33000,223.30600,-110.26900,,3.96400,3.96400,-73.59400,-179.89900,-6.78700,-6.78700,5.72900,5.72900,-110.28200,-2.11700,-113.45700,-70.05000,1.25300,-110.28200
2016-12-31,204.517,104.593,-126.314,-21.721,1.158,-46.501,136.295,-62.299,0,15.75,15.75,-101.707,-148.256,7.1211,7.1211,0.024,0.024,-110.34,-3.081,-106.276,-118.237,5.375,-110.34
2016-09-30,70.162,103.319,12.205,115.524,4.269,44.458,230.144,-66.139,0,1.102,1.102,-18.646,-83.683,-27.302,-27.302,6.015,6.015,-111.76,-0.762,-133.809,12.652,1.238,-111.76
2016-06-30,76.824,102.169,0.541,102.71,-4.363,-29.791,149.743,-57.172,0,-8.874,-8.874,-34.327,-100.373,271.451,271.451,6.383,-67.367,-114.034,-5.069,84.981,134.351,1.708,-114.034
2016-03-31,86.90700,102.15600,-24.82300,77.33300,1.17000,36.37000,200.61000,-114.79600,,3.70100,3.70100,30.33600,-80.75900,-4.00800,-4.00800,5.09800,5.09800,-100.33400,-2.12600,-101.37000,18.48100,1.49000,-100.33400
2015-12-31,85.762,108.803,-21.48,87.323,2.53,-42.825,130.26,-10.234,0,1.341,1.341,-56.342,-65.235,5.316,5.316,28.669,28.669,-100.523,-4.472,-71.01,-5.985,0.55,-100.523
2015-09-30,47.182,109.134,8.105,117.239,4.883,36.439,200.86,-71.756,0,-1.452,-1.452,-11.959,-85.167,-49.5311,-49.5311,38.998,38.998,-99.737,0.003,-110.267,5.426,2.054,-99.737
2015-06-30,50.542,106.215,-6.288,99.927,-9.153,-25.97,124.499,-178.285,0,1.251,-9.821,-100.192,-288.298,-27.0129,-27.0129,100.805,100.805,-100.815,-0.334,-27.357,-188.958,2.087,-100.815
2015-03-31,64.75300,97.52100,-25.36000,72.16100,3.89400,25.63500,162.54900,-250.96600,,-6.53300,4.53900,-40.42900,-286.85600,219.73200,219.73200,190.20500,190.20500,-87.23700,-6.61000,316.09000,193.59000,1.37000,-87.23700
2014-12-31,44.805,94.247,8.825,103.072,7.029,-12.726,135.151,2.994,0,-2.522,-16.422,18.607,5.179,-130.0961,-130.0961,86.428,86.428,-87.422,-1.507,-132.597,7.733,3.744,-87.422
2014-09-30,58.581,95.555,-26.88,68.675,7.226,41.915,169.171,-363.635,0,-0.092,-0.092,-52.471,-416.198,165.6481,165.6481,172.153,172.153,-88.146,-2.697,246.958,-0.069,1.371,-88.146
2014-06-30,4.646,95.433,2.638,98.071,0.211,-5.621,97.096,-146.177,0,-2.825,11.075,-540.445,-675.547,322.639,322.639,125.065,125.065,-2.114,-9.464,436.126,-1.972,2.392,-2.114
2014-03-31,26.40600,51.36000,-3.88200,47.47800,2.87900,18.01000,91.89400,-52.59900,,-6.32400,-6.32400,-1.66700,-60.59000,-78.80500,-78.80500,158.77200,158.77200,-100.35700,-9.48700,-29.87700,1.42700,1.23300,-100.35700
2013-12-31,36.902,51.225,-7.132,44.093,17.924,-1.095,79.9,-144.175,0,1.342,1.342,-1.876,-144.709,113.1949,113.1949,15.046,15.046,-50.902,-3.548,73.791,8.982,1.371,-50.902
2013-09-30,75.875,49.622,-51.967,-2.345,-20.558,0.966,74.496,-44.327,0,0.055,0.055,16.966,-27.306,-4.434,-4.434,0.566,0.566,-50.845,-3.185,-57.898,-10.708,1.011,-50.845
2013-06-30,29.575,49.634,-2.285,47.349,-1.154,-12.03,64.894,-32.245,0,-7.461,-7.461,-136.238,-175.944,153.972,153.972,2.823,2.823,-52.262,-4.11,100.423,-10.627,0.994,-52.262
2013-03-31,29.70300,47.85300,-2.52900,45.32400,2.22200,10.66500,85.69200,-184.49600,,13.79400,13.79400,64.96500,-105.73700,-44.57200,-44.57200,124.27200,124.27200,-45.14700,-2.27000,32.28300,12.23800,1.13200,-45.14700
2012-12-31,49.64,46.202,-29.316,16.886,-4.555,-18.362,48.164,-277.346,0,55.381,55.381,-72.107,-294.072,223.54,223.54,89.336,89.336,-44.622,-5.683,262.571,16.663,1.261,-44.622
2012-09-30,20.221,44.221,3.537,47.758,0.93,21.964,89.943,-110.498,0,-38.12,-38.12,-53.27,-201.888,59.569,59.569,98.683,98.683,-43.754,-4.742,109.756,-2.189,0.955,-43.754
2012-06-30,42.488,42.971,-17.171,25.8,-1.579,-11.056,57.232,-58.35,0,-25.203,-25.203,-188.574,-272.127,110.017,110.017,139.821,139.821,-44.256,-0.299,205.283,-9.612,0.939,-44.256
2012-03-31,27.24100,41.97700,-9.02200,32.95500,-2.64600,11.96400,72.16000,-40.98800,,-4.09000,-4.09000,1.02700,-44.05100,-18.59000,-18.59000,32.52300,32.52300,-40.30900,-0.87800,-27.25400,0.85500,0.98600,-40.30900
2011-12-31,17.868,40.877,0.775,41.652,0.942,-13.643,45.877,-48.43,0,5.001,5.001,-123.842,-167.271,99.242,99.242,67.195,67.195,-39.5,-1.674,125.263,3.869,1.309,-39.5
2011-09-30,11.088,39.632,3.774,43.406,-1.057,11.849,66.343,-34.809,0,-1.243,-1.243,-72.341,-108.393,-3.919,-3.919,89.147,88.929,-38.927,-3.822,42.261,0.211,0.562,-38.927
2011-06-30,16.053,38.503,-4.296,34.207,0.766,-3.216,47.044,-46.98,0,1.199,1.199,-20.152,-65.933,-128.419,-128.419,134.778,102.405,-39.135,-4.836,-69.985,-88.874,0.629,-39.135
2011-03-31,12.50700,38.45300,-2.67100,35.78200,-0.26300,9.01800,57.30700,-78.73200,,19.99300,19.99300,-25.44700,-84.18600,112.64500,112.64500,39.79700,39.79700,-38.02300,-3.61000,110.80900,83.93000,0.42700,-38.02300
2010-12-31,8.628,36.427,0.43,36.857,-3.523,-18.239,27.246,-344.059,96.596,4.47,4.47,-16.357,-259.35,198.783,198.783,136.471,136.471,-36.78,-67.285,231.189,-0.915,0.891,-36.78
2010-09-30,10.426,28.357,1.247,29.604,2.795,18.84,58.87,-69.751,-89.839,-0.048,-0.048,31.276,-128.362,80.286,80.286,54.534,54.534,-38.471,-20.556,75.793,6.301,0.621,-38.471
2010-06-30,31.728,61.235,-6.891,54.344,0.369,3.342,36.439,-38.056,-6.757,23.658,23.658,-24.506,-45.661,6.93,6.93,46.812,46.812,-37.809,-20.656,-4.723,-13.945,1.739,-37.809
2010-03-31,0.00000,,,,,,52.97500,-34.35400,,23.98500,23.98500,-67.12600,-77.49500,40.17500,40.17500,18.40300,18.40300,-35.36400,2.95800,26.17200,1.65200,,-35.36400
2009-12-31,53.739,119.737,4.61,124.347,-2.135,-4.499,25.925,-79.416,0,-2.194,-2.194,6.157,-75.453,-10.653,-10.653,38.763,37.674,-35.163,-3.612,-11.754,-61.282,3.412,-35.163
2009-09-30,0,0,0,0,0,0,58.428,-27.865,0,-17.946,-17.946,-3.053,-48.864,26.874,26.874,84.317,26.275,-35.614,-10.592,6.943,16.507,0,-35.614
2009-06-30,0,0,0,0,0,0,34.171,-22.137,0,-68.372,-68.372,-0.535,-91.044,17.117,17.117,75.931,75.931,-33.844,-2.108,57.096,0.223,0,-33.844
2009-03-31,0.00000,,,,,,55.06300,-24.84700,,-4.92600,-4.92600,26.17600,-3.59700,59.16900,59.16900,-19.82800,-52.40000,-34.58900,-0.34300,-28.16300,23.30300,,-34.58900
