,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,127.658,105.84,-143.766,-37.926,-54.045,-4.159,-15.836,0,49.426,139.158,-17.289,0,0.25,-2.171,-2.171,-6.474,-25.684,-57.876,6.667,-51.209,-16.641,-16.641,-8.842,-0.005,-76.697,54.434,11.742,-8.842
2022-09-30,85.347,96.238,-29.497,66.741,72.653,25.822,-20.586,0,7.864,159.952,-2.307,0,-1.883,-17.765,-17.765,-0.551,-22.506,0,-57.129,-57.129,0.324,0.324,-8.835,0,-65.64,54.379,8.484,-8.835
2022-06-30,179.212,138.701,25.758,164.459,-21.58,-23.329,-33.734,0,-246.186,97.485,-22.1,0,-2.005,-4.25,-4.25,0,-28.355,0,-349.766,-349.766,3.988,3.988,-8.83,0,-354.608,-308.819,16.03,-8.83
2022-03-31,176.96200,138.82000,41.50500,180.32500,69.06500,-46.96800,26.35200,,-74.07200,283.21500,-29.43100,,-3.88000,-22.99500,-22.99500,,-56.30600,,-101.06400,-101.06400,-54.19500,-54.19500,-8.83700,-0.76200,-164.85800,51.41500,15.26200,-8.83700
2021-12-31,190.184,136.268,-72.181,64.087,-66.334,13.099,32.407,0,81.321,335.592,-26.954,0,-14.538,-4,-4,-14.459,-59.951,-451.613,338.666,-112.947,2.301,2.301,-8.834,-19.545,-139.025,130.274,12.957,-8.834
2021-09-30,127.738,62.489,59.388,121.877,76.654,11.942,-13.189,0,64.181,313.796,-22.931,0,-3264.981,-4.623,-4.623,-8.393,-3300.928,2613.546,159.49,2773.036,8.486,8.486,-7.842,-18.265,2755.415,-237.642,4.357,-7.842
2021-06-30,245.93,78.786,3.909,82.695,-9.92,22.247,-21.747,0,-40.763,287.862,-20.364,0,-259.154,-10.507,-10.507,0,-290.025,585.251,-801.883,-216.632,-20.947,-20.947,-7.845,-12.3,-257.724,-263.697,7.204,-7.845
2021-03-31,379.30500,74.06300,-8.11900,65.94400,165.19000,-15.00800,-5.04800,,28.25100,473.50000,-14.31100,,-443.54300,-4.00000,-4.00000,,-461.85400,-159.54500,790.05700,630.51200,-37.79200,-37.79200,-7.85200,-1.87700,582.99100,587.78800,5.15700,-7.85200
2020-12-31,380.361,20.033,85.678,105.711,-331.158,-6.423,46.84,0,-3.975,482.097,-4.386,0,-407.793,-10.5,-10.5,-13.721,-436.4,75.234,3.63,78.864,10.028,10.028,-7.831,-7.628,73.433,144.211,7.134,-7.831
2020-09-30,176.699,63.663,14.252,77.915,-72.007,5.773,-4.516,0,-43.18,211.434,-19.645,0,-0.712,-2.166,-2.166,0,-22.523,-156.21,-2.088,-158.298,17.294,17.294,-7.809,-7.126,-155.939,38.462,7.116,-7.809
2020-06-30,137.162,60.621,12.177,72.798,-76.288,-71.949,17.743,0,-71.364,138.596,-14.835,0,-3.05,-5.755,-5.755,0.079,-23.561,-86,-1.753,-87.753,8.641,8.641,-7.791,-8.871,-95.774,24.772,9.604,-7.791
2020-03-31,33.66500,62.55300,-3.36700,59.18600,80.60000,-54.75800,3.16400,,-32.80100,60.05000,-20.48800,,0.06000,-1.63800,-1.63800,0.05200,-22.01400,-16.00000,-4.28300,-20.28300,-5.23600,-5.23600,-7.78100,8.70800,-24.59200,3.27500,3.05000,-7.78100
2019-12-31,64.501,66.308,-25.457,40.851,-78.498,38.76,41.394,0,83.752,215.211,-22.699,0,-148.335,-1,-1,0,-172.034,-238.2759,-3.809,-242.0849,2.057,2.057,-7.777,-3.392,-251.197,-204.083,6.409,-7.777
2019-09-30,58.558,62.005,28.133,90.138,-12.528,2.083,5.908,0,-41.981,106.715,-17.171,0,-7.332,-4.519,-4.519,0,-29.022,190.572,-1.36,189.212,0.865,0.865,-7.775,-12.169,170.133,242.757,12.304,-7.775
2019-06-30,69.087,59.535,13.314,72.849,-17.468,-12.009,-38.5,0,-95.077,46.859,-16.586,0,-240.354,-0.349,-0.349,0,-257.289,244.55,-6.33,238.22,7.18,7.18,-7.764,-11.677,225.959,15.764,6.704,-7.764
2019-03-31,35.41200,51.61300,19.01200,70.62500,7.86400,-38.44100,-1.45100,,-111.35300,-5.31600,-19.32500,-5.00000,-4.38400,-0.51900,-0.51900,,-29.22800,27.00000,-3.47600,23.52400,3.31700,3.31700,-7.74300,-13.86300,5.23500,-28.85900,6.09700,-7.74300
2018-12-31,71.292,49.201,-44.172,5.029,-81.842,11.13,45.487,0,71.183,159.419,-32.81,0,-53.629,-1.519,-1.519,0,-87.958,7,-5.512,1.488,-47.122,-47.122,-7.787,-3.847,-57.268,13.599,5.492,-7.787
2018-09-30,76.548,46.096,6.483,52.579,6.098,1.68,-12.203,0,-35.935,93.192,17.192,0,-3.673,-5.5,-5.5,0,8.019,-89,-12.717,-101.717,10.811,10.811,-7.751,-10.374,-109.031,-10.879,11.127,-7.751
2018-06-30,64.063,53.628,14.374,68.002,-8.488,-17.965,-14.358,0,-59.08,72.985,-16.956,0,-39.297,0,0,0,-56.253,-12.66,-7.146,-19.806,0.786,0.786,-7.744,0.824,-25.94,-17.409,6.816,-7.744
2018-03-31,26.02400,54.27600,12.03800,66.31400,-10.28000,-25.02800,-10.02600,,-106.89600,-14.55800,-22.65200,0.00000,-1.08700,,,0.07200,-23.66700,57.00000,-3.00800,53.99200,2.91300,2.91300,-7.72700,-36.16900,13.00900,-21.36600,5.33200,-7.72700
2017-12-31,-41.117,32.097,42.402,74.499,-47.604,7.285,46.79,0,105.153,128.096,-15.627,0,-1403.605,-10.783,-10.783,-23.879,-1453.894,825.0001,-1.959,823.0411,3.646,3.646,-7.716,-2.285,816.686,-507.354,9.242,-7.716
2017-09-30,91.078,26.707,2.787,29.494,5.756,-15.295,8.396,0,-62.068,58.504,-10.889,0,0,0,0,56.217,45.328,-1.015,-0.295,-1.31,0.566,0.566,-7.714,-7.225,-15.683,93.166,4.412,-7.714
2017-06-30,204.069,27.468,-140.43,-112.962,-19.878,-3.076,-6.972,0,-42.99,48.117,-5.492,0,0,0,0,277.307,271.815,0,-0.29,-0.29,8.458,8.458,-7.69,-3.064,-2.586,325.929,6.841,-7.69
2017-03-31,38.60300,27.50800,25.38100,52.88900,25.09300,-6.83700,-13.88300,,-37.75600,53.73600,-5.98100,,-123.57800,,,-0.28000,-129.83900,1.00200,-0.28700,0.71500,1.50000,1.50000,-7.67300,-10.72300,-16.18100,-85.93900,4.92600,-7.67300
2016-12-31,64.849,26.095,6.974,33.069,-24.041,20.774,24.853,0,36.294,148.723,13.709,0,-21,0,0,1.598,-5.693,-53,-0.261,-53.261,1.983,1.983,-7.668,-3.423,-62.369,64.567,3.709,-7.668
2016-09-30,58.127,25.022,4.13,29.152,-2.283,-3.414,5.146,0,-13.665,73.614,-29.541,0,-40.44,0,0,-0.45,-70.431,72.19,-0.282,71.908,3.032,3.032,-7.657,-7.486,59.797,63.58,3.774,-7.657
2016-06-30,63.857,25.506,18.029,43.535,-9.383,6.351,-0.896,0,-11.154,96.238,11.789,0,0,0,0,-2.257,9.532,-63,-0.278,-63.278,7.523,7.523,-7.631,-1.358,-64.744,37.352,5.829,-7.631
2016-03-31,47.46600,25.88200,5.19900,31.08100,16.74700,-16.95900,1.61300,,-46.50700,32.04000,-6.65900,,-10.48400,,,-0.14900,-17.29200,108.00000,-0.27500,107.72500,-149.92100,-149.92100,-7.84300,2.34400,-47.69500,-27.20100,3.84600,-7.84300
2015-12-31,68.254,21.991,1.252,23.243,-32.3,22.893,9.019,-2.435,24.361,125.239,-10.404,0,-53.305,-0.757,-0.757,-0.657,-65.123,-34,23.728,-10.272,1.543,1.543,-7.834,1.854,-14.709,42.866,4.795,-7.834
2015-09-30,54.863,28.407,4.163,32.57,5.518,-17.497,-18.375,0,-26.708,60.725,-7.715,0,0,0.757,0.757,0,-6.958,65,-25.144,39.856,-71.651,-71.651,-7.938,-4.284,-44.017,2.896,4.29,-7.938
2015-06-30,48.974,30.241,9.142,39.383,-6.739,-10.829,10.794,0,-24.886,63.471,-5.62,0,-14.116,0,0,0,-19.736,-28,0.607,-27.393,3.688,3.688,-7.923,7.905,-23.723,23.246,4.206,-7.923
