,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,318.663,9.826,232.257,242.083,-19.219,-90.773,-98.048,462.698,-8.394,0,-135.1039,-135.1039,0.227,-143.271,0,0,-451.452,-451.452,-312.978,-764.43,-156.093,253.608
2022-09-30,1214.288,13.856,297.72,311.576,15.953,-766.073,-560.301,965.563,-5.599,0,-50.781,-50.781,0.62,-55.76,0,0,-997.351,-997.351,-2576.705,-3574.056,-2982.278,234.364
2022-06-30,378.841,27.045,370.102,397.147,12.996,61.448,23.759,799.747,-5.048,0,373.0489,373.0489,0,368.001,0,0,25.151,25.151,1420.816,1445.967,2302.432,247.105
2022-03-31,-18.79200,30.27300,236.92100,267.19400,10.27000,821.39800,953.59000,1201.99200,-5.95900,,-188.16400,-188.16400,-2.84700,-196.97000,,,11.65200,11.65200,2191.86700,2203.51900,3211.93900,194.92300
2021-12-31,54.535,23.123,282.539,305.662,21.966,11.534,22.039,382.236,-4.136,0,-325.345,-325.345,0,-329.481,-100.283,-100.283,58.948,58.948,-106.392,-147.727,-145.966,225.874
2021-09-30,833.893,34.727,248.247,282.974,-0.075,-599.912,-582.133,534.734,-5.506,0,-170.243,-170.243,0,-175.749,100.2,100.2,20.733,20.733,-2448.438,-2327.505,-2071.772,210.789
2021-06-30,-68.217,36.493,229.283,265.776,-19.217,484.93,592.095,789.654,-7.652,0,333.168,333.168,0,325.516,0,0,61.526,61.526,2266.18,2327.706,3459.409,232.863
2021-03-31,-1172.21100,43.65700,1005.93100,1049.58800,37.32600,536.44800,728.99900,606.37600,-7.70600,,-1164.58000,-1164.58000,,-1172.28600,-328.91700,-328.91700,47.79300,47.79300,1736.65000,1455.52600,817.32900,229.47400
2020-12-31,-3887.851,39.055,3807.231,-267.714,33.139,-53.261,-78.94,-139.11,-7.882,0,912.1151,912.6761,-9.1,895.694,-2.38,-2.5,3660.589,3660.533,-1891.426,1766.607,2622.118,2894.224
2020-09-30,219.328,41.344,87.157,128.501,-20.205,-177.731,-12.159,335.67,-7.636,0,-229.6571,-229.6571,0,-237.293,-2.5,-2.5,2.743,2.743,-1030.224,-1029.981,-826.831,29.36
2020-06-30,-575.588,29.928,125.261,155.189,-106.444,140.333,163.937,-256.462,-6.186,0,-574.884,-574.884,0,-581.07,1928.88,1928.88,2.427,2.427,612.083,2543.39,1733.412,37.79
2020-03-31,-340.60500,33.87200,94.35100,128.22300,20.51000,-152.34100,-357.44800,-569.83000,-15.66700,,17.42600,17.42600,0.50000,2.25900,,,0.24100,0.24100,-339.44300,-339.20200,-1003.89000,41.62600
2019-12-31,-657.479,29.718,0,29.718,0,0,199.353,-372.83,-34.828,-160.816,0,479.705,36.955,321.016,0,0,0,-10.17,724.233,714.063,795.884,0
2018-12-31,53.186,4.07,0,4.07,0,0,237.827,344.332,9.58,141.349,0,-26.866,-3.29,120.773,0,0,0,-34.829,-497.609,-532.438,-453.424,0
2017-12-31,-70.046,78.331,0,78.331,0,0,183.202,251.225,-100.204,-172.649,0,-516.091,0,-788.944,0,0,0,50.872,622.082,672.954,362.407,0
