,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,228.336,428.538,184.259,612.797,-237.362,-210.643,630.49,-3914.317,0,0,0,56.38,-3857.937,1355.283,1355.283,2154.882,2154.882,-472.013,65.76,3103.914,-62.032,-472.013
2022-09-30,220.287,409.061,-29.274,379.7871,73.819,76.731,676.805,-1708.046,0,0,0,99.402,-1608.644,769.4862,769.4862,694.373,694.373,-459.468,-0.246,1004.144,15.248,-459.468
2022-06-30,223.822,400.501,-43.528,356.9729,151.717,162.287,743.082,-1506.4,0,0,0,3.913,-1502.487,206.4758,206.4758,1059.534,1059.534,-446.723,-10.175,809.112,30.815,-446.723
2022-03-31,199.97100,392.90800,-16.21100,376.69700,-17.69800,-63.18900,513.47900,-1417.07200,,,,-0.93600,-1418.00800,615.86400,615.86400,658.89300,658.89300,-439.16200,-14.52200,821.07300,-89.51900,-439.16200
2021-12-31,4.467,353.55,49.69,403.24,8.378,-55.584,352.123,-2484.1,0,0,0,-350.643,-2834.743,388.7866,388.7866,1710.919,1710.919,-371.688,517.086,2245.104,-213.729,-371.688
2021-09-30,135.276,205.734,1.517,207.251,21.3,46.405,388.932,-1583.097,0,0,0,5.721,-1577.376,138.6987,138.6987,1618.462,1618.462,-274.198,-12.727,1470.236,279.113,-274.198
2021-06-30,124.768,194.754,-4.4,190.354,-46.603,-0.441,314.681,-1020.697,0,0,0,-11.153,-1031.85,603.1052,603.1052,452.332,452.332,-263.748,0.215,791.904,73.655,-263.748
2021-03-31,96.23600,184.05600,39.54700,223.60300,-21.36700,-53.38600,266.45300,-993.72600,,,,,-993.72600,-289.90500,-289.90500,672.24400,672.24400,-261.09900,-51.36400,69.87600,-657.34900,-261.09900
2020-12-31,118.15,180.247,-8.893,171.3539,-19.493,16.234,305.738,-917.679,0,0,0,-2.874,-920.553,334.8205,334.8205,654.968,654.968,-248.033,-18.438,723.317,111.668,-248.033
2020-09-30,23.143,173.766,86.109,259.8751,1.344,12.143,295.161,-611.459,0,0,300,2.766,-308.693,520.4239,520.4239,350.188,350.188,-242.642,-9.185,618.785,608.693,-242.642
2020-06-30,108.07,175.189,13.195,188.384,-64.096,-47.026,249.428,-152.571,0,0,-300,0.849,-451.722,344.7419,344.7419,96.525,96.525,-240.87,-5.696,194.701,-6.839,-240.87
2020-03-31,147.14300,172.33000,-23.31100,149.01900,3.00500,-30.94600,265.21600,-350.67000,,,,-0.74100,-351.41100,-327.00000,-327.00000,731.24900,731.24900,-234.21800,-14.75500,155.27600,66.15200,-234.21800
2019-12-31,129.553,161.846,-9.146,152.7,-1.068,8.978,291.231,-1524.307,0,0,0,-7.43,-1531.737,703.9261,703.9261,577.055,577.055,-222.791,3.221,1061.411,-188.284,-222.791
2019-09-30,101.275,154.676,10.039,164.715,3.364,22.053,288.043,-397.609,0,0,0,2.446,-395.163,-25.0031,-25.0031,568.749,568.749,-216.64,-0.715,326.391,219.397,-216.64
2019-06-30,95.42,156.602,4.485,161.087,-5.065,21.129,277.636,-1066.776,0,0,0,-9.619,-1076.395,64.517,64.517,969.15,969.15,-209.178,-7.439,817.05,17.558,-209.178
2019-03-31,111.23000,141.88400,-4.02900,137.85500,-6.18500,-37.05800,212.02700,-498.51400,,,,,-498.51400,514.76500,514.76500,-18.06100,-18.06100,-204.86700,-4.08700,287.75000,1.26300,-204.86700
2018-12-31,85.303,154.5261,-6.313,148.213,-5.361,17.384,250.9,-275.614,0,0,0,3.602,-272.012,-279.297,-279.297,535.9,535.9,-197.374,-32.774,26.455,5.343,-197.374
2018-09-30,99.283,142.351,-2.968,139.383,-4.325,-26.093,212.573,-577.476,0,0,0,0.01,-577.466,238.839,238.839,293.037,293.037,-192.336,-3.719,335.821,-29.072,-192.336
2018-06-30,96.697,140.457,-7.113,133.344,5.258,33.699,263.74,-291.921,-13.779,0,0,8.329,-297.371,-51.624,-51.624,300.443,300.443,-187.933,-9.037,51.849,18.218,-187.933
2018-03-31,83.31500,135.95800,7.45200,143.41000,-2.47300,-13.19600,213.52900,-507.38800,13.77900,,,0.77400,-492.83500,483.81100,483.81100,2.34600,2.34600,-185.86900,-6.54200,293.74600,14.44000,-185.86900
2017-12-31,60.952,133.791,22.73,156.521,0.8,16.829,234.302,-354.474,0,0,0,-5.804,-360.278,207.0278,207.0278,135.817,135.817,-179.6981,-55.391,107.756,-18.22,-179.698
2017-09-30,88.072,132.79,-5.54,127.25,-4.06,-35.613,179.709,-201.719,-44.005,0,0,12.777,-232.947,-202.0089,-202.0089,443.72,443.72,-175.372,-5.15,61.189,7.951,-175.372
2017-06-30,81.259,129.235,-0.316,128.919,0.141,35.642,245.82,-358.258,44.005,0,0,0.031,-314.222,563.605,563.605,55.0259,-353.7241,-173.13,-0.937,35.814,-32.588,-173.13
2017-03-31,89.03500,125.61000,-7.77200,117.83800,3.02700,9.14600,216.01900,-347.09000,,,,0.03000,-347.06000,-410.30800,-410.30800,762.00310,762.00310,-169.30500,-12.03100,170.35900,39.31800,-163.13700
2016-12-31,92.724,122.203,-13.032,109.171,-8.378,18.758,220.653,-680.01,0,-55.114,-55.114,7.786,-727.338,581.9804,581.9804,83.079,83.079,-175.219,-7.314,482.526,-24.159,-168.449
2016-09-30,77.202,117.881,0.073,117.954,-3.982,22.627,217.783,-411.938,0,20.094,20.094,9.563,-382.281,302.5989,302.5989,34.604,34.604,-162.234,-1.113,173.856,9.358,-155.464
2016-06-30,76.067,115.719,-2.462,113.257,1.865,35.813,225.137,-307.203,0,23.982,23.982,-13.174,-296.395,-157.994,-157.994,399.837,399.837,-158.371,-0.466,83.006,11.748,-151.601
2016-03-31,70.48400,111.63700,2.31300,113.95000,5.08100,-48.14400,136.29000,-314.07100,,11.03800,11.03800,8.34000,-294.69300,250.66100,250.66100,34.05900,34.05900,-154.49700,-3.41900,126.80400,-31.59900,-147.72700
2015-12-31,83.111,108.896,-9.988,98.908,-3.728,38.6,220.619,-144.877,0,-51.958,-51.958,-20.517,-217.352,-408.528,-408.528,555.565,555.565,-147.653,-1.721,-2.337,0.93,-140.883
