,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,-1090.356,-1304.355,490.999,-813.356,294.383,0,-11.821,92.506,214.808,-1688.904,2352.743,0,590.642,590.642,-15.245,2928.14,-3270,1103.95,-2166.05,-197.108,-197.108,649.2729,93.401,-1620.484,-381.248,643.634
2022-09-30,351.288,413.43,21.7289,435.1589,-118.251,0,95.371,8.329,60.638,847.085,-803.662,0,-329.897,-329.897,4.474,-1129.085,711.605,214,925.605,70.826,70.826,-217.5829,-51.268,727.58,445.58,-215.703
2022-06-30,293.742,364.647,-281.4299,83.2172,115.591,19.495,-14.641,-56.077,92.92,469.879,-784.487,0,-161.116,-161.116,4.795,-940.808,2050,-1481.3,568.7,126.282,126.282,-215.92,-16.046,463.016,-7.913,-214.041
2022-03-31,445.32600,526.27800,-231.29800,294.97990,-291.72300,-19.49500,-68.90900,-44.75800,-368.36600,371.94000,-764.59400,,-99.62900,-99.62900,5.97600,-858.24700,508.39500,163.35000,671.74500,,,-215.77000,-26.08700,429.88800,-56.41900,-213.89000
2021-12-31,308.578,353.916,-370.116,-16.2,22.7,0,229.308,52.565,149.949,442.327,-963.944,0,-69.885,-69.885,4.742,-1029.087,80,714.45,794.45,0,0,-203.708,-1.103,589.639,2.879,-201.828
2021-09-30,285.046,322.081,79.262,401.343,-72.944,0,27.161,19.106,26.439,712.828,-787.913,0,-137.173,-137.173,4.775,-920.311,1526.105,-1211.5,314.605,0,0,-203.28,-53.724,57.601,-149.882,-201.4
2021-06-30,266.399,280.259,-29.497,250.762,39.083,42.494,-103.945,-25.575,-121.132,396.029,-734.24,0,-64.745,-64.745,5.526,-793.459,725,83.256,808.256,0,0,-203.077,-15.342,589.837,192.407,-201.198
2021-03-31,368.02300,378.71700,-8.45100,370.26600,-124.34400,-42.49400,-181.72500,-42.38600,-326.87300,411.41600,-688.98300,,-22.66900,-22.66900,7.13500,-704.51700,-243.60500,669.91900,426.31400,,,-202.89300,-19.66600,203.75500,-89.34600,-201.01300
2020-12-31,273.803,307.193,-469.2819,-162.089,-157.948,-21.102,243.601,56.038,74.649,186.363,-841.432,-1113.252,-171.039,-171.039,6.162,-2119.561,418.21,1188.825,1607.035,-0.033,-0.033,-190.89,-46.967,1369.145,-564.053,-189.01
2020-09-30,348.14,301.967,-62.185,239.782,-127.435,-38.23,48.217,51.318,-97.088,490.834,-701.366,0,-34.9,-34.9,117.054,-619.212,1345.01,-433,912.01,0,0,-190.718,59.169,780.461,652.083,-188.838
2020-06-30,254.11,263.912,51.567,315.479,-11.17,110.359,-41.885,-70.401,15.48,585.069,-674.678,0,-3.224,-3.224,5.01,-672.892,139.797,-332.92,-193.123,509.239,509.239,-187.088,2.026,131.054,43.231,-185.209
2020-03-31,336.63300,285.98700,1.17900,287.16600,-55.29000,-51.02700,-127.36600,-61.95000,-203.49300,420.30600,-725.52000,,1.79100,1.79100,6.11900,-717.61000,529.74700,-408.95000,120.79700,419.78600,419.78600,-183.48800,-43.16500,313.93000,16.62600,-181.60800
2019-12-31,251.917,240.266,63.895,304.161,-41.705,-42.104,172.221,-59.947,-41.351,514.727,-782.452,0,-65.317,-65.317,25.33,-822.439,-505.223,522.87,17.647,425.352,425.352,-169.548,-0.556,272.895,-34.817,-167.668
2019-09-30,320.764,296.454,-47.961,248.4931,-63.368,-29.888,-1.278,34.97,1.006,570.263,-751.284,0,-101.685,-101.685,-5.181,-858.15,422.25,-16.5,405.75,0,0,-174.105,40.959,272.604,-15.283,-172.225
2019-06-30,33.333,258.029,285.71,543.7389,162.18,102.981,-95.956,-69.861,-33.92,543.152,-749.624,0,32.434,32.434,-0.838,-718.028,1030.505,-1010.43,20.075,426.902,426.902,-155.468,-57.842,233.667,58.791,-153.589
2019-03-31,310.55800,285.90900,-16.16400,269.74500,-155.82300,-39.06300,-60.12100,-70.24200,-198.86800,381.43500,-628.12900,,-252.43500,-252.43500,4.89300,-875.67100,-280.94200,829.43000,548.48800,,,-171.63700,16.43300,393.28400,-100.95200,-169.75700
2018-12-31,233.187,285.7709,-172.938,112.833,70.893,-45.533,97.072,93.084,76.861,422.881,-684.855,0,-49.445,-49.445,2.817,-731.483,710.525,-157.2,553.325,0,0,-161.908,-8.096,383.321,74.719,-160.028
2018-09-30,291.26,301.3821,49.472,350.8541,-159.403,-20.907,7.468,36.371,67.413,709.527,-633.403,0,-6.969,-6.969,81.954,-558.418,149.5661,-123.61,25.9561,0,0,-161.907,-2.403,-138.354,12.755,-160.027
2018-06-30,244.646,235.343,18.101,253.444,103.965,92.565,-18.488,-27.773,22.331,520.421,-644.344,0,-6.208,-6.208,-16.874,-667.426,-74.5401,141.505,66.9649,0,0,-161.907,1.182,-93.76,-240.765,-160.028
2018-03-31,271.42600,249.46000,-69.24000,180.22000,-156.88800,-26.95600,-61.57100,-23.45600,-273.93200,177.71400,-607.33400,,-5.16600,-5.16600,132.78100,-479.71900,999.78200,-240.00500,759.77700,,,-161.90700,-19.14000,578.73000,276.72500,-160.02700
2017-12-31,239.299,234.578,-148.66,85.9179,-9.682,-32.909,152.618,121.683,195.138,520.355,-705.825,-877.652,-24.6,-24.6,29.652,-1578.425,825,304.31,1129.31,0,0,-152.401,-4.925,971.984,-86.086,-150.521
2017-09-30,262.25,236.314,47.257,283.571,-99.813,-18.739,71.67,17.082,35.076,580.897,-495.328,0,34.888,34.888,-3.734,-464.174,130,-20.5,109.5,0,0,-152.4,19.425,-23.475,93.248,-150.52
2017-06-30,232.628,182.074,42.7,224.774,42.591,75.483,-110.52,-7.022,-7.801,449.601,-623.392,0,-25.61,-25.61,-4.334,-653.336,350,-38,312,0,0,-152.4,-3.422,156.178,-47.557,-150.521
2017-03-31,261.33800,210.82200,122.08400,332.90600,-50.25100,-33.05800,-57.70100,-40.19800,-148.89500,445.34900,-523.56000,,5.08400,5.08400,-16.10500,-534.58100,450.00000,-173.00000,277.00000,,,-152.40100,-15.83200,108.76700,19.53500,-150.52100
2016-12-31,231.059,199.158,35.726,234.884,48.755,-17.67,107.387,66.814,91.931,557.874,-617.696,-188.958,-28.946,-28.946,45.674,-789.926,0,414,414,0,0,-142.895,-16.408,254.697,22.645,-141.015
2016-09-30,267.2,225.231,145.318,370.549,-114.703,-18.505,30.483,19.083,34.181,671.93,-490.003,0,1.675,1.675,-6.472,-494.8,0,-32.5,-32.5,0,0,-143.037,-0.263,-175.8,1.33,-141.157
2016-06-30,205.529,167.79,167.977,335.767,57.214,66.678,-75.679,-62.004,-62.822,478.474,-437.696,0,3.959,3.959,-8.485,-442.222,100,-2.5,97.5,0,0,-143.036,-2.956,-48.492,-12.24,-141.157
