,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,-2017,-1935,-280,-2215,0,-6945,-7912,-12144,944,-51,3140,-3047,93,4264,5250,-3087,1237,-1850,103,103,1037,8214,7504,283,860
2022-09-30,388,1076,79,1155,0,215,2182,3725,-118,51,18627,2585,21212,-1800,19345,600,-2047,-1447,3,3,-372,-21245,-23061,-26,-303
2022-06-30,864,422,160,582,0,4479,3544,4990,-600,0,12533,-1299,11234,-1328,9306,2883,-2460,423,-127,-127,-313,-14521,-14538,82,-279
2022-03-31,765.00000,437.00000,41.00000,478.00000,,2251.00000,2186.00000,3429.00000,-226.00000,,-34300.00000,1761.00000,-32539.00000,-1136.00000,-33901.00000,-396.00000,3270.00000,2874.00000,21.00000,21.00000,-352.00000,27552.00000,30095.00000,-339.00000,-278.00000
2021-12-31,869,461,-23,438,0,1568,1822,3129,-374,-170,25743,-2583,23160,-2685,19931,1062,-1214,-152,-1241,-954,-311,-22710,-24127,-1070,-280
2021-09-30,943,468,-51,417,0,-3642,-1306,54,-369,0,174,-2737,-2563,-1226,-4158,-177,1906,1729,-1984,-1984,-362,6243,5626,1482,-296
2021-06-30,1027,472,-103,369,0,3250,1433,2829,-218,0,1429,1078,2507,-3068,-779,347,-2853,-2506,-609,-609,-304,1478,-1941,101,-273
2021-03-31,932.00000,466.00000,180.00000,646.00000,,-3074.00000,-4752.00000,-3174.00000,-220.00000,8.00000,10185.00000,-1995.00000,8190.00000,-3300.00000,4678.00000,-299.00000,2707.00000,2408.00000,-670.00000,-670.00000,-346.00000,-2912.00000,-1520.00000,-49.00000,-277.00000
2020-12-31,755,455,155,610,0,-2232,-2230,-865,-266,0,-31900,-949,-32849,-1040,-34155,-139,-3981,-4120,12,6,-312,41799,37373,2424,-279
2020-09-30,944,431,-1,430,0,1565,-596,778,-333,0,15285,-445,14840,-61,14446,-2620,-483,-3103,6,6,-339,-11819,-15255,9,-278
2020-06-30,965,390,50,440,0,-2248,5405,6810,-359,0,27354,-14231,13123,7091,19855,73,1855,1928,3,993,-327,-32084,-29490,-2819,-278
2020-03-31,962.00000,354.00000,-128.00000,226.00000,,2419.00000,-2873.00000,-1685.00000,-264.00000,,-55697.00000,-14666.00000,-70363.00000,-7974.00000,-78601.00000,209.00000,4266.00000,4475.00000,-952.00000,-952.00000,-318.00000,79675.00000,82880.00000,2538.00000,-282.00000
2019-12-31,1449,344,109,453,0,-3287,-4373,-2471,-98,0,-5515,199,-5316,96,-5318,-482,397,-85,-1025,-1025,-335,7450,6005,-1725,-286
2019-09-30,1041,336,-101,235,0,-574,3805,5081,-395,0,12130,-2684,9446,-2895,6156,-1596,-5871,-7467,-962,-962,-330,-1032,-9791,1400,-294
2019-06-30,1021,333,-106,227,0,-1249,-2813,-1565,-453,0,-31882,-1479,-33361,1618,-32196,-2025,5753,3728,-743,-743,-318,30415,33082,-701,-270
2019-03-31,956.00000,302.00000,-49.00000,253.00000,,-57.00000,-2158.00000,-949.00000,-264.00000,,14149.00000,3435.00000,17584.00000,3490.00000,20810.00000,-805.00000,-2062.00000,-2867.00000,-511.00000,-511.00000,-306.00000,-16153.00000,-19837.00000,35.00000,-270.00000
2018-12-31,870,328,-121,207,0,708,2107,3184,-289,0,-10330,-1508,-11838,-2591,-14718,1046,6343,7389,-1356,-1356,-327,7752,13458,1909,-278
2018-09-30,1114,334,-205,129,0,-820,1,1244,-291,0,-1018,137,-881,3975,2803,-175,-5251,-5426,-588,-588,-319,1612,-4721,-671,-283
2018-06-30,1108,342,-271,71,0,1752,1241,2420,-332,0,15489,-1607,13882,3094,16644,1965,-10867,-8902,-629,-629,-293,-7982,-17806,1148,-245
