,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,549.5,119.8,143.2,262.9999,-93.9,18.1,-279.4,-987.4999,-175,-86.4,-1,0,0,-76.3,-76.3,22.6,-141.1,0,0,0,3.9,3.9,-11.3,-7.4,-256.3,67.2
2022-09-30,1134.9,120.7,-591.9,-471.2,-42.2,-95,136.2,-2.7,661,523.5,0,990.3,0,158.6,158.6,-0.2,1672.2,-1002.2,0,-1002.2,-244.3,-244.3,-5.4,-1251.9,1029,63.6
2022-06-30,1058.7,134.8,-1337.4,-1202.6,20.2,-100.7,-134.7,880.4,736.5,-36.9,-1.9,0,0,730.1,730.1,2.2,693.5,0,0,0,-490.7,-490.7,19.2,-471.5,897.3,55.7
2022-03-31,218.50000,143.10000,580.70000,723.80000,-87.50000,-142.60000,-88.80000,-780.50000,161.80000,-57.90000,,,,-589.90000,-589.90000,-0.20000,-648.00000,,,,-20.80000,-20.80000,4.30000,-16.50000,-512.10000,67.60000
2021-12-31,-20.5,-494.6,1277.2,782.6,167,-139.8,-194.3,76.2,838.3,-51.6,-16.9,0,0,-56.5,-56.5,12.3,-112.7,0,0,0,7.6,7.6,2.2,9.8,719.6,58.8
2021-09-30,318,176.6,427.2,603.8,-53.7,-128.8,120.9,-116.5,805.3,-42,-1.9,0,0,-170.2999,-170.2999,-19.4,-233.6,0,0,0,-744.1,-744.1,-2.4,-746.5,-200.2,55.7
2021-06-30,1025.5,658.8,-683,-24.2,174.3,-81.3,37.8,226,1227.3,-71.9,0,0,0,-80.1001,-80.1001,-0.7,-152.7,-0.7,0,-0.7,-437.1,-437.1,-126.7,-564.5,524.5,54.1
2021-03-31,404.60000,146.90000,548.70000,695.60000,37.20000,-112.50000,27.70000,-331.20000,769.00000,-92.60000,,28.10000,,-2.90000,-2.90000,2.70000,-64.70000,-169.30000,,-169.30000,-627.10000,-627.10000,11.40000,-785.00000,-113.70000,70.00000
2020-12-31,357.6,90.4,-680,-589.6,138.5,-45.7,145,-135.1,-367.1,-86,-15,-441,0,384.4995,384.4995,-8.9,-166.4,0.1,0,0.1,-404.6,-404.6,3.4,-401.1,-893.6,49
2020-09-30,703.9,134,160.5,294.5,133.1,-82.4,-682.3,182.7,1181.1,-84.1,0,-423.7,0,465.6001,465.6001,-10.2,-52.4,0,0,0,-1230.8,-1230.8,-82.1,-1312.9,-160.1,33.5
