,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,-161.603,-380.324,-211.161,-591.485,10.95,69.916,47.332,-705.756,143.545,0,2.548,32.181,34.729,41.328,219.602,345.2321,-128,217.2321,-1.377,2.064,396.182,81.808,697.286,211.132,396.182
2022-09-30,56.371,125.419,73.363,198.782,-9.746,-28.154,8.27,263.423,-76.529,0,-0.879,-8.203,-9.082,21.145,-64.466,-297.1761,128,-169.1761,0.06,0.06,-142.373,-60.735,-372.224,-173.267,-142.373
2022-06-30,-130.727,124.611,251.815,376.426,-2.194,2.016,2.083,247.782,-27.32,0,-0.3,-35.384,-35.684,-56.516,-119.52,-578.773,0,-578.773,12.177,8.736,-130.051,498.306,-201.782,-73.52,-130.051
2022-03-31,235.95900,130.29400,-114.01700,16.27700,0.99000,-43.77800,-57.68500,194.55100,-39.69600,,-1.36900,11.40600,10.03700,-5.95700,-35.61600,530.71700,,530.71700,-10.86000,-10.86000,-123.75800,-519.37900,-123.28000,35.65500,-123.75800
2021-12-31,81.949,133.633,-7.9169,125.716,8.192,34.891,-6.06,201.605,-155.354,0,0.038,-22.282,-22.244,59.102,-118.496,-96.207,0,-96.207,3.501,3.501,-111.176,-28.035,-231.917,-148.808,-111.176
2021-09-30,509.204,114.238,-457.0091,-342.771,-22.771,41.093,-42.834,123.599,-40.941,-263.973,0.138,-39.967,-39.829,32.862,-311.881,497.53,0,497.53,65.901,65.901,-110.864,-10.876,441.691,253.409,-110.864
2021-06-30,117.118,72.573,-40.715,31.858,0.534,5.59,-3.676,145.3,62.184,0,0.151,31.364,31.515,-55.657,38.042,-126.3,0,-126.3,1.667,1.667,-80.053,-2.446,-207.132,-23.79,-80.053
2021-03-31,141.42500,74.87600,-66.97400,7.90200,18.59300,-34.93600,-0.95600,148.37100,-82.70000,,0.05000,-0.91400,-0.86400,-0.36000,-83.92400,-14.93300,,-14.93300,-8.92200,-8.92200,-80.03900,0.11100,-103.78300,-39.33600,-80.03900
2020-12-31,201.799,74.295,-153.402,-79.107,14.702,23.065,1.279,123.971,-53.656,0,0,-11.44,-11.44,-11.557,-76.653,-2.6572,0,-2.6571,-0.066,-0.066,-75.554,-0.83,-79.107,-31.789,-75.554
2020-09-30,-37.429,71.704,149.162,220.866,10.286,-8.269,45.058,228.495,-45.269,0,0.025,-9.092,-9.067,1.119,-53.217,17.3691,0,17.3691,0,0,-49.604,-19.753,-51.988,123.29,-49.604
2020-06-30,748.118,73.559,-708.217,-634.658,-29.935,5.106,-31.262,82.198,-61.45,0,0.743,-2.423,-1.68,226.28,163.15,309.557,-675,-365.443,-0.164,-0.164,-127.461,-2.389,-495.457,-250.109,-127.461
2020-03-31,90.38900,69.39700,20.98700,90.38400,-1.52600,-29.45400,-25.52400,155.24900,-65.36000,,0.16300,-3.84600,-3.68300,2.49000,-66.55300,-78.42300,475.00000,396.57700,-4.16800,-4.16800,-127.25500,-26.00100,239.15300,327.84900,-127.25500
2019-12-31,110.043,68.439,-20.19,48.249,-27.252,3.255,-57.123,101.169,29.1,0,0.103,3.136,3.239,8.547,40.886,3.988,0,3.988,196.69,-28.31,-130.285,-4.811,-159.418,-17.363,-130.285
2019-09-30,85.453,68.874,12.668,81.542,-9.067,-26.895,1.935,168.93,-59.86,0,1.682,-1.161,0.521,-1.449,-60.788,348.517,65,413.517,1.54,-348.46,-136.054,-9.826,-80.823,27.319,-136.054
2019-06-30,101.387,69.005,2.454,71.459,1.281,-4.637,-14.575,158.271,-85.017,0,0.112,-13.034,-12.922,12.962,-84.977,-2.167,35,32.833,1.13,1.13,-132.705,-4.234,-102.976,-29.682,-132.705
