,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,644,240,123,363,-364,30,185,5,-190,817,-463,-183,26,94,120,-150,-676,-453,160,-293,-40,-40,-222,113,-442,-398,-24,-222
2022-09-30,409,216,-146,70,-81,-99,-73,-1,-97,382,-202,-2710,56,-70,-14,6,-2920,1021,1733,2754,-6,-6,-222,-24,2502,37,10,-222
2022-06-30,707,167,-29,138,165,-209,-58,-114,-246,599,-147,-381,-59,19,-40,2,-566,9,341,350,-26,-26,-204,-14,106,186,9,-204
2022-03-31,423.00000,161.00000,53.00000,214.00000,-417.00000,-289.00000,484.00000,0.00000,-473.00000,164.00000,-104.00000,83.00000,55.00000,-43.00000,12.00000,-1.00000,-10.00000,-24.00000,27.00000,3.00000,-302.00000,-302.00000,-207.00000,9.00000,-497.00000,-316.00000,5.00000,-207.00000
2021-12-31,400,165,-138,27,179,-26,-199,245,305,732,-392,0,-185,33,-152,-51,-595,28,206,234,-201,-201,-208,27,-148,4,-25,-208
2021-09-30,541,160,17,177,-22,-291,39,-141,-149,569,-150,-10,21,-11,10,18,-132,-9,9,0,-137,-137,-207,-13,-357,107,7,-207
2021-06-30,612,167,34,201,43,-292,-88,-53,-197,616,-105,10,-47,13,-34,8,-121,3,-117,-114,-664,-664,-197,-2,-977,-477,10,-197
2021-03-31,611.00000,170.00000,-118.00000,52.00000,-374.00000,-336.00000,465.00000,-55.00000,-324.00000,339.00000,-87.00000,,78.00000,-35.00000,43.00000,19.00000,-25.00000,-16.00000,-108.00000,-124.00000,-400.00000,-400.00000,-197.00000,-24.00000,-745.00000,-443.00000,8.00000,-197.00000
2020-12-31,510,174,-17,157,-98,96,179,-59,475,1142,-260,0,-95,63,-32,-90,-382,-17,1,-16,-169,-169,-200,101,-284,434,-22,-200
2020-09-30,504,166,-27,139,-123,174,329,14,580,1223,-116,17,24,-42,-18,14,-103,1983,-1709,274,46,46,-194,-22,104,1216,10,-194
2020-06-30,269,165,-92,73,63,-53,-391,118,-364,-22,-77,-17,-38,-6,-44,3,-135,-15,389,374,19,19,-193,26,226,60,8,-193
2020-03-31,528.00000,168.00000,-180.00000,-12.00000,107.00000,-171.00000,171.00000,77.00000,-137.00000,379.00000,-75.00000,,-15.00000,-15.00000,-30.00000,6.00000,-99.00000,-10.00000,982.00000,972.00000,-537.00000,-537.00000,-195.00000,-6.00000,234.00000,562.00000,4.00000,-195.00000
2019-12-31,298,179,1,180,296,353,-307,56,360,838,-305,0,7,-29,-22,6,-321,-48,-242,-290,-389,-389,-199,-19,-897,-431,12,-199
2019-09-30,616,178,5,183,211,63,-151,81,324,1123,-153,-237,-25,-14,-39,11,-418,-20,464,444,-706,-706,-204,-21,-487,163,9,-204
2019-06-30,685,158,75,233,-177,-18,-18,4,-110,808,-133,0,-169,-22,-191,-16,-340,-7,-233,-240,0,0,-179,55,-364,69,19,-179
2019-03-31,669.00000,157.00000,-176.00000,-19.00000,-135.00000,-107.00000,166.00000,131.00000,-238.00000,412.00000,-109.00000,,37.00000,-30.00000,7.00000,31.00000,-71.00000,-10.00000,-56.00000,-66.00000,-100.00000,-100.00000,-179.00000,-2.00000,-347.00000,25.00000,9.00000,-179.00000
2018-12-31,610,155,191,346,66,78,-165,-47,34,990,-348,0,-65,-48,-113,6,-455,28,-28,0,-248,-248,-181,-11,-440,81,15,-181
