,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,-219,375,442,817,-353,-1556,-2174,-1576,-233,1112,-658,-658,0,221,-285,-285,-1363,-1363,-84,-1732,-2885,54
2022-09-30,740,391,-436,-45,14,1978,2637,3332,-247,1417,-1167,-1167,0,3,-276,-276,-1243,-1243,38,-1481,1634,51
2022-06-30,-171,397,1205,1602,1811,1028,1923,3354,-282,-8,-456,-456,2,-744,-143,-143,-349,-349,6,-486,2082,59
2022-03-31,852.00000,390.00000,101.00000,491.00000,-3099.00000,1950.00000,-192.00000,1151.00000,-242.00000,-1504.00000,-653.00000,-653.00000,-2.00000,-2401.00000,-426.00000,-426.00000,-71.00000,-71.00000,-1.00000,-498.00000,-1715.00000,70.00000
2021-12-31,593,378,-68,310,-730,354,-228,675,-248,130,-758,-758,19,-857,-3,-3,-213,-213,-19,-235,-420,76
2021-09-30,581,381,-48,333,-209,1389,888,1802,-225,-394,-403,-403,0,-1022,1791,1791,-16,-16,-132,1643,2439,40
2021-06-30,-535,356,-122,234,377,356,1986,1685,-250,-44,-519,-519,0,-813,23,23,-4,-4,8,27,891,36
2021-03-31,697.00000,361.00000,255.00000,616.00000,-1891.00000,589.00000,-1270.00000,43.00000,-187.00000,-158.00000,-262.00000,-262.00000,,-607.00000,22.00000,22.00000,-29.00000,-29.00000,-66.00000,-73.00000,-653.00000,51.00000
2020-12-31,-19,343,179,522,1588,-556,2478,2981,-206,-1049,-2978,-2978,-22,-4255,7,7,-28,-28,-102,-123,-1387,63
2020-09-30,565,298,-119,179,-481,955,-1696,-952,-251,0,578,578,5,332,1,1,-9,-9,12,4,-611,54
2020-06-30,1202,330,-81,249,1023,635,2263,3714,-235,58,417,417,0,240,-471,-471,-3,-3,14,-460,3498,47
2020-03-31,46.00000,288.00000,276.00000,564.00000,-2182.00000,628.00000,-850.00000,-240.00000,-177.00000,-2592.00000,-498.00000,-498.00000,-5.00000,-3272.00000,1503.00000,1503.00000,-558.00000,-558.00000,-106.00000,839.00000,-2674.00000,117.00000
2019-12-31,202,168,231,399,-757,-626,-1252,-651,-200,-5,61,61,0,-144,6755,6755,-34,-34,-17,6704,5903,71
2019-09-30,96,162,240,402,-553,-108,-597,-99,-194,1,-266,-266,0,-459,-101,-101,-4,-4,-3,-108,-664,34
2019-06-30,492,158,12,170,896,332,255,917,-160,-32,-364,-364,0,-556,173,173,-2,-2,7,178,541,34
