,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,149,60,-71,-11,-47,67,70,3,219,362,-63,0,1,1,-6,-68,-527,0,-527,2,2,-54,-1,-580,-242,9,-54
2022-09-30,12,58,163,221,-26,-25,7,40,-16,202,-53,0,-1,-1,15,-39,0,0,0,3,3,-53,-2,-52,73,10,-53
2022-06-30,112,60,14,74,-55,-83,20,42,-76,113,-44,0,-1,-1,4,-41,0,0,0,1,1,-55,2,-52,-4,9,-55
2022-03-31,82.00000,58.00000,5.00000,63.00000,-64.00000,-106.00000,20.00000,-79.00000,-229.00000,-81.00000,-48.00000,1.00000,-2.00000,-2.00000,6.00000,-43.00000,,,,-50.00000,-50.00000,-55.00000,-1.00000,-106.00000,-232.00000,9.00000,-55.00000
2021-12-31,113,59,-15,44,8,-32,62,22,58,220,-82,8,3,3,1,-70,0,0,0,4,4,-51,-2,-49,94,8,-51
2021-09-30,114,62,3,65,-12,-46,-17,11,-64,112,-46,0,0,0,2,-44,-600,0,-600,6,6,-50,0,-644,-585,8,-50
2021-06-30,113,62,3,65,-24,-43,65,52,50,232,-42,2,0,0,2,-38,0,0,0,5,5,-51,-1,-47,152,8,-51
2021-03-31,87.00000,62.00000,3.00000,65.00000,-42.00000,-46.00000,-29.00000,-63.00000,-180.00000,-26.00000,-38.00000,,,,7.00000,-31.00000,,,,-64.00000,-64.00000,-51.00000,,-115.00000,-187.00000,9.00000,-51.00000
2020-12-31,148,62,-56,6,66,43,52,-84,203,370,-48,0,200,200,5,157,0,-40,-40,10,10,-46,-1,-77,473,7,-46
2020-09-30,37,121,9,130,-5,15,-5,93,93,275,-40,0,-200,-200,2,-238,-2,-178,-180,4,4,-47,-1,-224,-175,3,-47
2020-06-30,31,62,52,114,25,-9,-18,24,22,181,-44,0,0,0,4,-40,987,-253,734,0,0,-47,0,687,838,8,-47
2020-03-31,38.00000,64.00000,2.00000,66.00000,23.00000,-54.00000,-68.00000,-11.00000,-110.00000,-2.00000,-51.00000,,,,3.00000,-48.00000,,190.00000,190.00000,-55.00000,-55.00000,-48.00000,,87.00000,15.00000,8.00000,-48.00000
2019-12-31,118,65,-94,-29,50,49,59,-3,297,388,-51,2,1,1,2,-46,0,-36,-36,2,2,-43,-1,-78,271,6,-43
2019-09-30,65,213,31,244,-5,8,-7,77,-67,245,-46,0,3,3,4,-39,0,-81,-81,2,2,-44,-1,-124,70,7,-44
2019-06-30,139,63,13,76,-75,15,-6,-29,-95,123,-60,-15,0,0,6,-69,0,94,94,4,4,-43,-1,54,108,7,-43
2019-03-31,79.00000,64.00000,15.00000,79.00000,7.00000,-25.00000,-17.00000,-41.00000,-76.00000,83.00000,-69.00000,-5.00000,,,-3.00000,-77.00000,,50.00000,50.00000,-35.00000,-35.00000,-44.00000,,-29.00000,-21.00000,9.00000,-44.00000
2018-12-31,225,66,-81,-15,-27,18,0,16,-19,198,-66,0,0,0,2,-64,-119,-77,-196,-1,-1,-38,0,-235,-108,7,-38
2018-09-30,130,63,3,66,-8,-28,-3,1,-18,187,-60,19,0,0,-1,-42,0,-23,-23,3,3,-38,1,-57,83,7,-38
2018-06-30,115,65,7,72,-59,-47,48,12,-46,138,-50,0,0,0,4,-46,0,12,12,-24,-24,-38,0,-50,24,7,-38
2018-03-31,79.00000,67.00000,14.00000,81.00000,-9.00000,-40.00000,6.00000,-50.00000,-93.00000,63.00000,-61.00000,-430.00000,,,,-491.00000,,371.00000,371.00000,-30.00000,-30.00000,-38.00000,-1.00000,302.00000,-117.00000,9.00000,-38.00000
2017-12-31,70,60,-47,13,35,41,47,-7,248,307,-61,-1,0,0,3,-59,0,-98,-98,8,8,-33,1,-122,131,5,-33
2017-09-30,104,58,2,60,-44,-1,22,48,25,228,-31,-21,-1,-1,0,-53,0,-152,-152,1,1,-32,-1,-184,-5,5,-32
2017-06-30,100,57,2,59,-58,-3,13,-18,-66,99,-34,11,-11,-11,3,-31,0,-27,-27,-14,-14,-32,-1,-74,1,5,-32
2017-03-31,56.00000,59.00000,5.00000,64.00000,-12.00000,-10.00000,-32.00000,-12.00000,-66.00000,52.00000,-43.00000,-6.00000,11.00000,11.00000,,-38.00000,,-5.00000,-5.00000,-4.00000,-4.00000,-33.00000,1.00000,-41.00000,-21.00000,6.00000,-33.00000
2016-12-31,50,54,-3,51,21,27,47,29,124,223,-33,-1712,0,0,14,-1731,1000,212,1212,1,1,-28,-1,1184,-351,3,-28
2016-09-30,73,32,6,38,-8,-3,5,44,38,149,-28,0,0,0,0,-28,0,-30,-30,6,6,-28,0,-52,73,5,-28
2016-06-30,71,33,7,40,-41,-8,10,4,-35,84,-25,0,0,0,3,-22,-608,-28,-636,8,8,-28,-1,-657,-607,5,-28
2016-03-31,66.00000,32.00000,9.00000,41.00000,22.00000,-31.00000,-1.00000,-56.00000,-66.00000,41.00000,-37.00000,-70.00000,,,2.00000,-105.00000,540.00000,40.00000,580.00000,5.00000,5.00000,-28.00000,2.00000,559.00000,513.00000,5.00000,-28.00000
2015-12-31,114,31,-32,-1,8,38,14,43,89,204,-40,-18,0,0,0,-58,0,0,0,-44,-44,-25,1,-68,69,4,-25
2015-09-30,88,33,2,35,-4,12,3,-4,7,137,-20,0,0,0,-1,-21,0,-1,-1,-70,-70,-26,-1,-98,11,3,-26
2015-06-30,74,34,2,36,-32,6,-1,-1,-28,84,-20,0,0,0,3,-17,0,-2,-2,3,3,-25,-1,-25,46,4,-25
2015-03-31,64.00000,35.00000,-8.00000,27.00000,4.00000,-33.00000,4.00000,-28.00000,-53.00000,39.00000,-37.00000,1.00000,,,,-36.00000,,,,-47.00000,-47.00000,-26.00000,2.00000,-71.00000,-109.00000,4.00000,-26.00000
2014-12-31,96,35,-58,-23,3,13,19,37,100,163,-42,0,0,0,1,-41,0,50,50,7,7,-23,1,35,134,4,-23
2014-09-30,106,35,-9,26,-8,-9,-4,33,12,155,-28,30,0,0,0,2,0,1,1,-30,-30,-24,1,-52,79,5,-24
2014-06-30,86,36,0,36,-27,-11,4,-7,-41,76,-23,0,0,0,0,-23,0,-1,-1,-45,-45,-23,1,-68,-16,5,-23
