,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,907,99,-249,-150,-44,22,-49,-47,54,811,-149,0,0,0,276,127,136,-282,-146,-488,-488,-403,2,-1035,-66,15,-403
2022-09-30,727,102,0,102,-21,-103,-40,28,-116,713,-98,0,5,5,2,-91,-247,443,196,-500,-500,-377,0,-681,-105,15,-377
2022-06-30,738,103,-8,95,-95,-167,8,45,-332,501,-78,0,5,5,0,-73,-110,71,-39,-374,-374,-380,-2,-795,-417,17,-380
2022-03-31,662.00000,106.00000,-21.00000,85.00000,-301.00000,-207.00000,116.00000,-47.00000,-424.00000,323.00000,-72.00000,-2.00000,2.00000,2.00000,-1.00000,-73.00000,-299.00000,564.00000,265.00000,-359.00000,-359.00000,-382.00000,-13.00000,-489.00000,-231.00000,16.00000,-382.00000
2021-12-31,609,104,-50,54,30,-85,-7,25,111,774,-77,-731,1,1,-1,-808,89,119,208,-242,-242,-383,0,-417,-460,12,-383
2021-09-30,639,104,18,122,30,-143,-36,-42,-142,619,-68,0,7,7,-1,-62,0,1,1,-250,-250,-359,0,-608,-71,14,-359
2021-06-30,775,102,-110,-8,-108,-100,15,2,-212,555,-77,0,29,29,-1,-49,-350,0,-350,-234,-234,-360,-1,-945,-426,16,-360
2021-03-31,671.00000,100.00000,34.00000,134.00000,-192.00000,-122.00000,65.00000,-22.00000,-196.00000,609.00000,-66.00000,,1.00000,1.00000,,-65.00000,,,,-224.00000,-224.00000,-361.00000,-9.00000,-594.00000,-80.00000,11.00000,-361.00000
2020-12-31,642,105,-34,71,53,-7,-4,-10,60,773,-66,0,4,4,-1,-63,-4,0,-4,6,6,-360,-10,-368,395,11,-360
2020-09-30,582,118,14,132,-260,64,99,27,-31,683,-49,0,0,0,1,-48,0,0,0,32,32,-339,1,-306,357,14,-339
2020-06-30,319,100,15,115,292,34,-93,39,303,737,-54,0,3,3,1,-50,0,0,0,11,11,-338,-1,-328,382,8,-338
2020-03-31,566.00000,104.00000,26.00000,130.00000,10.00000,-48.00000,17.00000,-14.00000,-82.00000,614.00000,-57.00000,,7.00000,7.00000,-3.00000,-53.00000,,,,-689.00000,-689.00000,-342.00000,-16.00000,-1047.00000,-551.00000,9.00000,-342.00000
2019-12-31,641,105,-55,50,78,67,-31,-18,83,774,-79,0,4,4,112,37,-1,0,-1,-340,-340,-344,0,-685,156,9,-344
2019-09-30,660,104,9,113,78,20,-5,12,147,920,-74,0,1,1,4,-69,0,1,1,-349,-349,-323,0,-671,148,10,-323
2019-06-30,623,107,33,140,-10,43,-28,36,-78,685,-73,0,8,8,-14,-79,1074,-1060,14,-362,-362,-326,-1,-675,-78,12,-326
2019-03-31,597.00000,110.00000,33.00000,143.00000,-106.00000,-32.00000,48.00000,-22.00000,-124.00000,616.00000,-75.00000,-4.00000,7.00000,7.00000,,-72.00000,-650.00000,1058.00000,408.00000,-364.00000,-364.00000,-328.00000,-11.00000,-295.00000,251.00000,10.00000,-328.00000
2018-12-31,607,115,63,178,142,14,-49,-7,24,809,-70,0,3,3,0,-67,0,0,0,-489,-489,-332,0,-821,-85,9,-332
2018-09-30,638,115,-20,95,86,-27,-44,13,111,844,-95,0,3,3,-1,-93,-1,0,-1,-499,-499,-262,1,-761,-39,11,-262
2018-06-30,666,116,27,143,-96,-27,-8,26,-189,620,-81,0,5,5,0,-76,0,-10,-10,-500,-500,-264,0,-774,-312,11,-264
2018-03-31,652.00000,115.00000,5.00000,120.00000,-192.00000,-68.00000,55.00000,-29.00000,-234.00000,538.00000,-92.00000,,5.00000,5.00000,-2.00000,-89.00000,,-840.00000,-840.00000,-490.00000,-490.00000,-266.00000,-12.00000,-1608.00000,-1154.00000,9.00000,-266.00000
2017-12-31,-76,118,17,135,59,12,-2,-24,636,695,-72,0,18,18,-3,-57,0,152,152,-224,-224,-267,-1,-340,309,9,-267
2017-09-30,640,116,40,156,-11,-11,-6,15,-16,780,-73,0,7,7,-6,-72,-691,697,6,-237,-237,-224,0,-455,289,8,-224
2017-06-30,587,114,9,123,-38,-15,-9,-91,-246,464,-77,0,11,11,1,-65,691,-671,20,-223,-223,-224,-2,-429,3,10,-224
