,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-11-30,-195.00000,1921.00000,146.00000,2067.00000,1842.00000,-1697.00000,,-911.00000,943.00000,-2449.00000,,272.00000,,272.00000,-89.00000,-2266.00000,3329.00000,3329.00000,-425.00000,-425.00000,-126.00000,-146.00000,2632.00000,1303.00000,146.00000,-126.00000
2022-08-31,1492,1882,137,2019,1096,-1033,0,425,3777,-3613,0,-18,0,-18,-193,-3824,-24,-24,-793,-793,-126,103,-840,-922,136,-126
2022-05-31,2626,1821,174,1995,-862,-246,0,-833,3838,-2583,0,-18,0,-18,16,-2585,-27,-27,-985,-985,-111,-38,-1161,37,131,-111
2022-02-28,2263,1742,129,1871,-111,-556,0,-518,3628,-2611,0,-28,0,-28,-52,-2691,-32,-32,-520,-520,-112,198,-466,461,129,-112
2021-11-30,2306.00000,1671.00000,201.00000,1872.00000,67.00000,-344.00000,,-319.00000,3938.00000,-2372.00000,,-91.00000,,-91.00000,-22.00000,-2485.00000,51.00000,51.00000,-259.00000,-259.00000,-112.00000,-193.00000,-513.00000,934.00000,118.00000,-112.00000
2021-08-31,2720,1621,101,1722,-1106,52,0,-535,3884,-2015,0,-635,0,-635,116,-2534,-176,-176,-1060,-1060,0,-108,-1344,3,93,0
2021-05-31,1735,1557,543,2100,-873,185,0,-220,3560,-2259,0,3,0,3,175,-2081,-53,-53,-156,-156,0,-19,-228,1252,96,0
2021-02-28,603,1549,121,1670,282,499,0,757,3057,-3018,0,316,0,316,146,-2556,-19,-19,-21,-21,0,45,5,522,97,0
2020-11-30,803.00000,1487.00000,68.00000,1555.00000,251.00000,130.00000,,-372.00000,1967.00000,-2738.00000,,-741.00000,,-741.00000,61.00000,-3418.00000,-84.00000,-84.00000,-57.00000,-57.00000,,-73.00000,-214.00000,-1638.00000,92.00000,0.00000
2020-08-31,990,1547,110,1657,-262,-187,0,-424,2271,-2280,0,-585,0,-585,127,-2738,-80,-80,-251,-251,0,149,-182,-630,89,0
2020-05-31,805,1426,103,1529,-565,-179,0,-339,2023,-1944,0,-16,0,-16,8,-1952,1140,1140,0,0,0,-68,1072,1149,82,0
2020-02-29,407,1371,66,1437,312,-244,0,185,2001,-2056,0,272,0,272,74,-1710,-261,-261,0,0,0,46,-215,76,85,0
2019-11-30,508.00000,1306.00000,49.00000,1355.00000,-208.00000,175.00000,,145.00000,2011.00000,-1943.00000,,744.00000,,744.00000,10.00000,-1189.00000,-165.00000,-165.00000,,,,-827.00000,-992.00000,-184.00000,72.00000,
2019-08-31,586,1426,-65,1361,58,-174,0,413,2233,-2028,0,744,0,744,184,-1100,786,786,-2,-2,0,108,892,2045,67,0
2019-05-31,851,1370,250,1620,1171,-515,0,279,2711,-2403,0,98,0,98,239,-2066,-1671,-1671,-159,-159,0,-17,-1847,-1195,58,0
2019-02-28,1625,1324,268,1592,1013,-514,0,219,3435,-2649,0,-105,0,-105,262,-2492,1672,1672,-732,-732,0,12,952,1904,57,0
2018-11-30,3296.00000,1353.00000,239.00000,1592.00000,189.00000,-286.00000,,-143.00000,4810.00000,-2700.00000,,-1910.00000,,-1910.00000,183.00000,-4427.00000,-577.00000,-577.00000,-1836.00000,-1836.00000,,-22.00000,-2435.00000,-2062.00000,61.00000,
