,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,769,160,-738,-578,279,68,-181,184,350,541,-143,-10543,0,0,0,-27,-10713,1245,785,2030,0,0,-67,-19,1944,-8163,13,-67
2022-09-30,193,105,-52,53,155,-70,-72,208,221,467,-139,0,0,0,0,-4,-143,9012,-268,8744,0,0,-76,-68,8600,8888,16,-76
2022-06-30,436,107,-9,98,24,-219,120,36,-39,495,-124,2,0,0,0,-14,-136,-7,-55,-62,0,0,-77,-20,-159,178,16,-77
2022-03-31,504.00000,106.00000,-42.00000,64.00000,-240.00000,-32.00000,49.00000,-29.00000,-252.00000,316.00000,-137.00000,,,,,-12.00000,-149.00000,-7.00000,74.00000,67.00000,-17.00000,-17.00000,-77.00000,-68.00000,-95.00000,69.00000,15.00000,-77.00000
2021-12-31,526,100,42,142,6,-160,94,-24,-84,584,-163,-1122,16,0,16,-17,-1286,-9,189,180,-197,-197,-53,-29,-99,-804,19,-53
2021-09-30,507,94,-48,46,35,-57,17,82,77,630,-102,6,0,0,0,-12,-108,628,-395,233,-286,-286,-84,-91,-228,286,22,-84
2021-06-30,540,93,-14,79,-253,-88,86,63,-192,427,-110,1,300,0,300,-14,177,-408,404,-4,-250,-250,-84,-6,-344,263,42,-84
2021-03-31,323.00000,91.00000,-9.00000,82.00000,-184.00000,-62.00000,156.00000,-199.00000,-289.00000,116.00000,-92.00000,,200.00000,,200.00000,-10.00000,98.00000,-7.00000,2.00000,-5.00000,-267.00000,-267.00000,-83.00000,-16.00000,-371.00000,-164.00000,12.00000,-83.00000
2020-12-31,1454,91,-1155,-1064,-55,46,51,-158,-116,274,-85,4,-501,1575,1074,-14,979,-7,-466,-473,-378,-378,-51,-31,-933,340,11,-51
2020-09-30,209,90,-126,-36,29,51,93,85,258,431,-72,2,0,0,0,-8,-78,-7,-96,-103,-105,-105,-94,12,-290,76,-3,-94
2020-06-30,109,89,28,117,178,38,-151,88,153,379,-88,-85,0,0,0,-8,-181,-7,-141,-148,0,0,-69,-15,-232,-31,10,-69
2020-03-31,220.00000,86.00000,-32.00000,54.00000,-11.00000,-11.00000,1.00000,6.00000,-15.00000,259.00000,-119.00000,,,,,-9.00000,-128.00000,-9.00000,261.00000,252.00000,-167.00000,-167.00000,-79.00000,-22.00000,-16.00000,107.00000,10.00000,-79.00000
2019-12-31,45,91,54,145,110,-28,-15,69,136,326,-144,0,-16,0,-16,-8,-168,-6,121,115,-234,-234,-68,-12,-199,-34,10,-68
2019-09-30,265,95,-40,55,3,-5,7,72,77,397,-82,1,0,0,0,-1,-82,-6,59,53,-275,-275,-84,7,-299,6,11,-84
2019-06-30,210,86,66,152,46,-1,30,-13,62,424,-65,0,0,0,0,-1,-66,158,-92,66,-276,-276,-78,-19,-307,50,13,-78
2019-03-31,338.00000,84.00000,9.00000,93.00000,6.00000,40.00000,-81.00000,-89.00000,-124.00000,307.00000,-79.00000,-91.00000,,,,-7.00000,-177.00000,-7.00000,185.00000,178.00000,-212.00000,-212.00000,-70.00000,-26.00000,-130.00000,2.00000,14.00000,-70.00000
2018-12-31,101,91,244,335,66,-16,-29,-94,-73,363,-93,0,0,0,0,-5,-98,81,39,120,-555,-555,-71,-20,-526,-264,18,-71
2018-09-30,402,90,-39,51,61,-125,8,70,14,467,-79,4,0,0,0,-3,-78,-13,-141,-154,-150,-150,-73,-6,-383,-5,14,-73
2018-06-30,345,88,32,120,15,10,36,59,120,585,-79,0,0,0,0,-17,-96,-12,-62,-74,-100,-100,-73,-7,-254,218,17,-73
2018-03-31,365.00000,80.00000,7.00000,87.00000,-190.00000,-27.00000,,-92.00000,-309.00000,143.00000,-86.00000,-135.00000,,,,-14.00000,-235.00000,-31.00000,99.00000,68.00000,,,-63.00000,-7.00000,-2.00000,-86.00000,22.00000,-63.00000
2017-12-31,204,79,-460,-381,12,-83,85,221,235,58,-87,0,0,0,0,-5,-92,339,-114,225,1,1,-63,-17,145,115,15,-63
2017-09-30,228,82,-68,14,11,-25,8,19,13,255,-64,-1,0,0,0,-3,-68,-7,32,25,-201,-201,-62,-10,-247,-50,13,-62
2017-06-30,233,77,1,78,-54,2,27,12,-13,298,-54,-268,0,0,0,-3,-325,-5,267,262,-171,-171,-65,-5,21,10,9,-65
2017-03-31,184.00000,72.00000,-2.00000,70.00000,-79.00000,9.00000,6.00000,2.00000,-62.00000,192.00000,-62.00000,1.00000,,,,-3.00000,-64.00000,-53.00000,-16.00000,-69.00000,-128.00000,-128.00000,-51.00000,-22.00000,-270.00000,-137.00000,10.00000,-51.00000
2016-12-31,161,72,-204,-132,23,-28,-9,-62,-76,-47,-60,-174,0,0,0,-13,-247,-32,-5,-37,-197,-197,-51,-7,-292,-614,8,-51
2016-09-30,263,74,-6,68,2,-15,39,-53,-27,304,-58,6,0,0,0,-2,-54,427,10,437,-100,-100,-52,-20,265,517,7,-52
2016-06-30,223,75,22,97,27,22,-15,-5,29,349,-58,2,0,0,0,-7,-63,-6,5,-1,-198,-198,-54,-6,-259,19,6,-54
2016-03-31,259.00000,74.00000,-17.00000,57.00000,-111.00000,29.00000,-8.00000,61.00000,-29.00000,287.00000,-70.00000,,,,,-5.00000,-75.00000,-7.00000,-399.00000,-406.00000,1.00000,1.00000,-44.00000,-24.00000,-473.00000,-251.00000,10.00000,-44.00000
2015-12-31,-301,106,278,384,77,42,-13,-53,53,136,-89,1,0,0,0,-9,-97,-6,21,15,1,1,-43,25,-2,15,8,-43
2015-09-30,151,82,-68,14,76,21,-119,30,8,173,-104,0,0,0,0,-3,-107,-6,341,335,-420,-420,-47,33,-99,-36,7,-47
2015-06-30,201,107,-3,104,-58,-7,79,-36,-22,283,-165,-3,0,0,0,-13,-181,-6,-6,-12,2,2,-46,74,18,137,13,-46
2015-03-31,234.00000,68.00000,18.00000,86.00000,-34.00000,6.00000,-58.00000,36.00000,-50.00000,270.00000,-162.00000,,,,,-11.00000,-173.00000,-6.00000,-9.00000,-15.00000,,,-38.00000,70.00000,17.00000,71.00000,12.00000,-38.00000
2014-12-31,-85,72,211,283,198,-22,-58,-150,-32,166,-214,-10,0,0,0,-4,-228,-607,-27,-634,-48,-48,-38,68,-652,-730,20,-38
