,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,528.572,101.099,35.332,136.4311,-5.894,-218.055,306.357,46.296,205.914,795.23,-170.548,0,0,0,-185.736,-356.284,-785.8,785.8,0,-397.927,-397.927,-0.149,-398.076,41.523,7.545
2022-09-30,585.438,91.251,20.582,111.833,-9.372,-132.235,315.489,27.621,263.343,961.047,-157.292,0,0,0,-1.544,-158.836,-300,0,-300,-688.852,-688.852,-0.119,-988.971,-186.844,6.211
2022-06-30,576.76,86.262,28.433,114.695,-26.915,-160.369,315.732,-73.917,-71.684,702.087,-119.866,0,0,0,-0.018,-119.884,1633.114,-785.8,847.314,-1360.861,-1360.861,-6.323,-519.87,62.358,6.169
2022-03-31,481.88000,84.02500,12.57100,96.59600,-33.67800,-158.38700,247.28000,,193.44300,689.88600,-100.83300,,,,-4.14800,-104.98100,,,,-755.26900,-755.26900,-0.35000,-755.61900,-170.56700,6.53300
2021-12-31,518.973,91.657,8.442,100.099,9.316,-39.054,86.201,-72.871,22.586,641.983,-99.315,0,0,0,-178.569,-277.884,0,0,0,-451.333,-451.333,-0.008,-451.341,-87.189,6.112
2021-09-30,558.652,79.824,2.1,81.924,-11.384,0.063,25.925,68.029,211.498,852.495,-116.003,0,0,0,-0.841,-116.844,0,0,0,-917.532,-917.532,-0.105,-917.637,-182.316,5.969
2021-06-30,585.451,80.297,16.734,97.031,-7.442,-24.558,264.694,56.578,163.484,822.16,-125.259,0,0,0,-1.876,-127.135,-300,0,-300,-371.277,-371.277,-3.299,-674.576,20.738,6.283
2021-03-31,501.60900,80.82700,17.76300,98.59000,-37.91700,30.91500,134.09100,,265.28500,890.67200,-92.78200,,,,-0.97500,-93.75700,,,,-650.99100,-650.99100,-0.31300,-651.30400,145.24000,6.29200
2020-12-31,392.945,84.405,-14.183,70.222,14.455,-122.625,99.177,-220.359,22.197,487.474,-98.074,0,0,0,-69.482,-167.556,-500,0,-500,-982.084,-982.084,-0.15,-1482.234,-1161.458,5.685
2020-09-30,527.252,80.785,22.844,103.629,-0.004,1.847,146.928,97.003,158.5,790.051,-112.11,0,0,0,-0.001,-112.111,497.72,0,497.7201,-417.392,-417.392,-3.939,76.389,754.675,5.582
