,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,256.814,49.836,13.106,62.942,-499.239,132.296,-116.647,203.109,-37.589,-5.399,0,0,0,-42.988,-1.935,-1.935,-12.077,-12.077,0,-14.012,169.912,13.023
2022-09-30,173.545,48.398,28.355,76.753,99.445,-87.505,64.623,314.921,-32.076,-4.109,0,0,0,-36.185,-1.333,-1.333,-91.549,-91.549,0,-92.882,164.105,20.968
2022-06-30,204.925,48.804,53.599,102.403,128.398,63.771,108.279,415.607,-21.092,0,0,0,0,-21.092,-1.332,-1.332,-473.764,-473.764,0,-475.096,-95.702,24.454
2022-03-31,172.51500,49.48200,36.55200,86.03400,30.70000,199.53700,-90.76400,167.78500,-17.29300,,,,,-17.29300,-1.33100,-1.33100,-444.12100,-444.12100,,-445.45200,-300.31800,32.12100
2021-12-31,209.359,52.782,35.297,88.079,-402.887,97.034,-62.652,234.786,-21.164,0.091,0,0,2.306,-18.767,-1.33,-1.33,-212.093,-212.093,0,-213.423,-9.128,16.868
2021-09-30,148.865,53.602,36.084,89.686,124.891,-108.766,106.488,345.039,-14.191,-0.256,0,0,0,-14.447,-1.329,-1.329,-351.345,-351.345,-1.275,-353.949,-30.727,19.426
2021-06-30,271.236,52.996,47.301,100.297,78.458,65.182,203.814,575.347,-11.958,-22.774,0,0,0,-34.732,499.871,499.871,-680.843,-680.843,-6.045,-187.017,354.462,26.19
2021-03-31,164.10000,57.18700,42.77900,99.96600,54.19200,111.53500,-106.76800,157.29800,-12.52100,,,,,-12.52100,-10.12700,-10.12700,-393.09300,-393.09300,,-403.22000,-266.58800,36.08600
2020-12-31,119.607,57.318,-24.068,33.25,-269.71,220.288,107.591,260.448,-23.043,0,0,0,0,-23.043,-0.127,-0.127,-95.913,-95.913,-2.159,-98.199,158.868,6.232
2020-09-30,16.964,56.066,75.676,131.742,107.995,-61.599,95.207,243.913,-14.98,0,0,0,0,-14.98,-0.248,-0.248,1.839,1.839,-43.863,-42.272,197.082,15.501
2020-06-30,55.077,68.011,8.722,76.733,125.463,-89.687,211.358,343.168,-21.329,0,0,0,0,-21.329,-200.127,-200.127,3.38,3.38,-10.516,-207.263,128.783,15.678
2020-03-31,75.09700,56.33300,73.52800,129.86100,135.66100,-15.40300,-149.20900,55.74900,-24.53600,,,,,-24.53600,-0.96700,-0.96700,-67.52300,-67.52300,,-68.49000,-52.98600,25.12900
2019-12-31,67.701,55.292,28.892,84.184,-281.861,85.13,-69.05,82.835,-53.315,-23.694,14.12,14.12,0,-62.889,0.033,0.033,-53.212,-53.212,0,-53.179,-25.891,11.115
2019-09-30,41.388,11.469,66.15,77.619,74.291,19.333,100.516,219.523,-36.222,0,0,0,0,-36.222,0.035,0.035,-90.72,-90.72,0,-90.685,88.274,12.954
2019-06-30,103.406,75.502,-10.764,64.738,62.451,-32.08,59.338,227.482,-39.419,0,0,0,0,-39.419,-120.965,-120.965,2.275,2.275,0,-118.69,69.183,13.12
2019-03-31,20.79500,76.01300,8.36400,84.37700,78.39000,70.18700,-69.57600,35.59600,-20.06000,-2.29500,,,,-22.35500,16.31800,16.31800,-39.75600,-39.75600,,-23.43800,-9.39300,31.81900
