,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2020-05-31,-4374,604,2073,2677,-223,73,904,-1660,-1023,-2720,-332,237,-95,5600,2554,8154,556,556,-345,-30,8336,5528,18,-345
2020-02-29,-781.00000,576.00000,1003.00000,1579.00000,21.00000,-15.00000,148.00000,-156.00000,118.00000,916.00000,-1100.00000,-61.00000,-1161.00000,691.00000,779.00000,1470.00000,-10.00000,-10.00000,-344.00000,-26.00000,1089.00000,838.00000,20.00000,-344.00000
2019-11-30,423,575,1,576,-13,57,59,-56,64,1061,-1970,10,-1960,773,-5,768,-131,-131,-346,-33,257,-639,8,-346
2019-08-31,1780,548,57,605,-51,17,-93,-1025,-1137,1245,-418,19,-399,-134,-243,-377,-154,-154,-347,-8,-886,-46,11,-347
2019-05-31,451,543,4,547,0,-2,3,1010,1054,2053,-886,27,-859,40,-276,-236,-40,-40,-346,-16,-638,551,7,-346
2019-02-28,336.00000,516.00000,32.00000,548.00000,-50.00000,7.00000,65.00000,204.00000,231.00000,1116.00000,-2129.00000,70.00000,-2059.00000,1344.00000,-81.00000,1263.00000,-274.00000,-274.00000,-348.00000,-29.00000,612.00000,-331.00000,20.00000,-348.00000
2018-11-30,493,507,34,541,3,-48,70,-12,79,1113,-858,-38,-897,639,235,874,-260,-260,-352,-14,247,454,16,-352
2018-08-31,1708,510,3,513,-26,-3,-80,-847,-873,1349,-403,-112,-514,-90,-216,-306,-692,-692,-357,-12,-1368,-526,17,-357
2018-05-31,560,512,-47,465,-5,-17,-33,1103,997,2023,-1525,11,-1515,931,-213,718,-295,-295,-323,-12,89,586,14,-323
2018-02-28,391.00000,488.00000,26.00000,514.00000,-30.00000,1.00000,19.00000,369.00000,161.00000,1064.00000,-574.00000,-15.00000,-588.00000,-494.00000,611.00000,117.00000,-218.00000,-218.00000,-323.00000,-4.00000,-428.00000,60.00000,18.00000,-323.00000
2017-11-30,546,478,-40,438,7,-31,122,-106,40,1024,-648,-55,-703,-215,306,91,-247,-247,-290,-2,-448,-127,15,-290
2017-08-31,1330,472,414,886,7,1,-63,-757,-767,1449,-437,-48,-485,-105,-517,-622,-153,-153,-290,-4,-1069,-108,14,-290
2017-05-31,378,457,84,541,-6,16,9,1002,998,1917,-1447,-13,-1460,-439,471,32,-83,-83,-253,-16,-320,160,14,-253
2017-02-28,352.00000,439.00000,13.00000,452.00000,-2.00000,-35.00000,-47.00000,209.00000,128.00000,932.00000,-412.00000,-62.00000,-474.00000,-1.00000,-289.00000,-290.00000,-69.00000,-69.00000,-254.00000,-2.00000,-615.00000,-166.00000,20.00000,-254.00000
2016-11-30,608,435,-15,420,13,-14,21,-8,-4,1024,-639,-62,-701,191,146,337,-230,-230,-256,-16,-165,141,15,-256
2016-08-31,1424,442,73,515,5,-1,52,-645,-510,1429,-450,1,-449,8,-78,-70,-709,-709,-262,-4,-1045,-57,12,-262
2016-05-31,605,438,-146,292,-22,20,43,954,986,1883,-1617,-97,-1714,138,144,282,-485,-485,-227,-4,-434,-259,12,-227
2016-02-29,142.00000,423.00000,261.00000,684.00000,-18.00000,-4.00000,-7.00000,76.00000,-28.00000,798.00000,-330.00000,-129.00000,-459.00000,-73.00000,235.00000,162.00000,-876.00000,-876.00000,-232.00000,-1.00000,-947.00000,-617.00000,16.00000,-232.00000
2015-11-30,270,420,228,648,27,-30,59,16,60,978,-615,-58,-673,1103,-8,1095,-270,-270,-232,-26,567,856,17,-232
2015-08-31,1216,399,217,616,62,24,-62,-561,-551,1281,-323,-55,-378,-188,-268,-456,1,1,-196,3,-648,241,13,-196
2015-05-31,222,406,34,440,-64,4,33,850,853,1515,-414,-39,-453,-248,-567,-815,0,0,-194,-3,-1012,18,14,-194
2015-02-28,49.00000,401.00000,184.00000,585.00000,-21.00000,7.00000,6.00000,180.00000,137.00000,771.00000,-942.00000,-32.00000,-974.00000,136.00000,210.00000,346.00000,,,-194.00000,-1.00000,151.00000,-51.00000,11.00000,-194.00000
2014-11-30,-103,408,324,732,41,-14,31,-49,8,637,-906,16,-890,-156,522,366,0,0,-194,-12,160,-105,15,-194
2014-08-31,1241,414,10,424,-71,24,-9,-329,-545,1120,-348,-1,-349,-112,-353,-465,0,0,-194,-10,-669,93,11,-194
2014-05-31,98,410,-8,402,-41,0,75,755,696,1196,-934,15,-919,-260,104,-156,0,0,-194,-7,-357,-78,13,-194
2014-02-28,-20.00000,405.00000,34.00000,439.00000,146.00000,-9.00000,-88.00000,137.00000,58.00000,477.00000,-353.00000,4.00000,-349.00000,-312.00000,344.00000,32.00000,,,-194.00000,,-162.00000,-41.00000,13.00000,-194.00000
2013-11-30,43,404,-12,392,44,20,29,148,40,475,-337,88,-249,-420,-138,-558,0,0,-194,1,-751,-519,10,-194
2013-08-31,934,406,145,551,-33,-4,-32,-620,-682,803,-365,-69,-434,-112,183,71,0,0,-193,9,-113,270,8,-193
2013-05-31,41,391,33,424,-5,0,59,754,692,1157,-1206,0,-1206,619,-108,511,-25,-25,-195,-4,287,235,6,-195
2013-02-28,37.00000,389.00000,65.00000,454.00000,-134.00000,5.00000,23.00000,37.00000,-92.00000,399.00000,-171.00000,4.00000,-167.00000,388.00000,67.00000,455.00000,-78.00000,-78.00000,-582.00000,2.00000,-203.00000,11.00000,18.00000,-582.00000
2012-11-30,93,392,39,431,39,-23,-20,92,-1,523,-168,-4,-172,-299,46,-253,-21,-21,-195,16,-453,-103,9,-195
2012-08-31,1330,383,-112,271,-25,14,27,-534,-583,1018,-167,23,-144,-426,-532,-958,-69,-69,-196,3,-1220,-332,8,-196
2012-05-31,14,376,146,522,-7,-3,31,627,600,1136,-1730,522,-1208,731,5,736,0,0,-194,-9,533,429,8,-194
2012-02-29,-139.00000,376.00000,207.00000,583.00000,-22.00000,-4.00000,-62.00000,-44.00000,-122.00000,322.00000,-221.00000,-27.00000,-248.00000,-112.00000,257.00000,145.00000,,,-194.00000,-1.00000,-50.00000,21.00000,14.00000,-194.00000
2011-11-30,217,385,13,398,75,-18,50,1,135,750,-261,25,-236,485,-615,-130,-166,-166,-197,8,-485,20,7,-197
2011-08-31,1337,390,42,432,3,-1,-9,-531,-554,1215,-813,28,-785,-701,636,-65,-288,-288,-197,1,-549,-127,10,-197
2011-05-31,206,380,20,400,-50,-16,25,787,783,1389,-1450,-17,-1467,805,-408,397,0,0,-198,-28,171,92,12,-198
2011-02-28,152.00000,367.00000,19.00000,386.00000,-71.00000,-19.00000,1.00000,52.00000,-126.00000,412.00000,-172.00000,14.00000,-158.00000,-135.00000,-63.00000,-198.00000,,,-79.00000,47.00000,-230.00000,36.00000,17.00000,-79.00000
2010-11-30,248,367,16,383,164,-25,-47,17,103,734,-741,-24,-765,-291,326,35,1,1,-79,-34,-77,-98,10,-79
2010-08-31,1303,355,13,368,64,11,-20,-528,-381,1290,-670,28,-642,-303,-402,-705,8,8,-79,24,-752,-67,10,-79
2010-05-31,252,349,15,364,-66,14,47,768,782,1398,-999,21,-978,-385,-107,-492,9,9,-79,11,-551,-159,8,-79
2010-02-28,175.00000,345.00000,-16.00000,329.00000,-56.00000,-12.00000,-16.00000,0.00000,-108.00000,396.00000,-1169.00000,53.00000,-1116.00000,161.00000,809.00000,970.00000,3.00000,3.00000,,3.00000,976.00000,215.00000,15.00000,0.00000
2009-11-30,193,345,25,370,122,-7,-3,67,149,712,-978,48,-930,-146,-70,-216,7,7,0,-7,-216,-438,9,0
2009-08-31,1073,336,26,362,-53,0,66,-353,-246,1189,-446,-46,-492,-238,37,-201,0,0,0,-10,-211,491,9,0
2009-05-31,264,317,26,343,6,9,24,451,529,1136,-1650,1,-1649,528,-140,388,0,0,0,-34,354,-122,13,0
2009-02-28,260.00000,311.00000,10.00000,321.00000,6.00000,8.00000,-13.00000,-203.00000,-276.00000,305.00000,-306.00000,-7.00000,-313.00000,299.00000,-115.00000,184.00000,1.00000,1.00000,-314.00000,109.00000,-20.00000,-43.00000,19.00000,-314.00000
