,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-11-30,-1598,608,595,1203,-37,-8,107,138,279,-117,-1166,-134,-1300,2873,-2476,397,1,1,0,-38,360,-1070,22,0
2022-08-31,-769,625,82,707,-14,-8,37,-549,-284,-344,-538,27,-360,-389,0,-389,1150,1150,0,-6,754,18,25,0
2022-05-31,-1835,613,54,667,-98,-42,163,1073,1173,3,-454,16,-75,806,-66,740,18,18,0,-25,735,636,28,0
2022-02-28,-1891.00000,600.00000,84.00000,684.00000,-22.00000,-37.00000,-24.00000,143.00000,-5.00000,-1212.00000,-2712.00000,-6.00000,-3032.00000,1844.00000,-48.00000,1796.00000,19.00000,19.00000,,-86.00000,1728.00000,-2524.00000,26.00000,
2021-11-30,-2620,593,795,1388,30,-44,191,545,865,-368,-487,32,-8,2693,-310,2383,13,13,0,-347,2050,1648,26,0
2021-08-31,-2836,610,951,1561,-68,-19,134,127,396,-879,-936,-2,620,778,0,778,18,18,0,-421,376,111,29,0
2021-05-31,-2072,608,140,748,25,1,9,-139,-35,-1359,-68,-134,-566,-697,17,-680,-1,-1,0,-11,-693,-2612,26,0
2021-02-28,-1973.00000,594.00000,143.00000,737.00000,6.00000,-1.00000,-128.00000,-312.00000,-268.00000,-1503.00000,-1765.00000,17.00000,-3589.00000,4312.00000,,4312.00000,997.00000,997.00000,,-93.00000,5216.00000,138.00000,40.00000,
2020-11-30,-2222,584,475,1059,100,6,-68,-382,-486,-1652,-1658,-130,-1788,2827,-289,2538,2459,2459,0,-47,4951,1500,53,0
2020-08-31,-2859,596,1212,1808,227,13,-1149,-714,-1795,-2845,-196,0,-196,4281,-192,4089,232,232,0,-47,4274,1295,14,0
