,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-10-31,13.3,354.7,55.6,410.3,-101.8,-56.3,-37.8,-197.5,-12.6001,411,-42.7,-4.9,-4.4,0,0,0,0.1,-51.9,-91.9,-91.9,-48.9,-48.9,-51.1,-60.9,-252.8,106.3,146.1,-51.1
2022-07-31,4.3,355,175.4,530.4,-100.2,-81.3,-57.5,-42,-203.2,331.5,-72.6,-2.6,-54.6,0,0,0,-0.1,-129.9,59,59,-1.1,-1.1,-51.1,-56.3,-49.5,152.1,144.5,-51.1
2022-04-30,-165.70000,357.50000,302.80000,660.30000,-139.50000,-125.80000,61.40000,-142.90000,-299.80000,194.80000,-36.90000,-1.60000,-44.00000,,,,0.10000,-82.40000,-10.90000,-10.90000,-12.50000,-12.50000,-50.90000,-186.60000,-260.90000,-148.50000,131.10000,-50.90000
2022-01-31,6.166,395.841,99.448,495.289,-67.679,-91.286,-0.643,-96.506,-155.187,346.268,-38.924,-8.497,-15.136,0,0,0,-0.473,-63.03,-10.987,-10.987,41.684,41.684,-50.749,-173.12,-193.172,90.066,134.779,-50.749
2021-10-31,-62.6,372.4,121.4,493.8,-192.2,-118.4,93.2,-19.1,-166.5,264.7,-76.8,-2.7,60.4,0,0,0,-0.1,-19.2,-151.2,-151.2,2.5,2.5,-50.4,-82.5,-281.6,-36.1,119.1,-50.4
2021-07-31,-276.4,498.8,119.8,618.6,-91.2,-69,52.2,-50.6,-120.1,222.1,-32.2,-3.2,0,0,0,0,-2.9,-38.3,-109.8,-109.8,39.8,39.8,-49.3,-27.4,-146.7,37.1,114.1,-49.3
2021-04-30,-88.20000,194.10000,101.50000,295.60000,-58.00000,-13.20000,-51.60000,4.40000,-221.10000,-13.70000,-21.40000,-3.40000,-3600.20000,,,,0.40000,-3624.60000,3460.00000,3460.00000,0.50000,0.50000,-40.60000,-7.60000,3412.30000,-226.00000,92.70000,-40.60000
2021-01-31,16.536,164.481,32.392,196.873,-46.397,0.096,4.895,-32.942,-55.114,158.295,-18.556,-4.232,0,0,0,0,-0.361,-23.149,-150,-150,36.145,36.145,-40.463,-64.402,-218.72,-83.574,59.479,-40.463
2020-10-31,-22.908,160.484,71.197,231.681,-6.729,-5.984,5.121,-5.677,48.761,257.534,-35.359,-1.712,0,0,0,0,-0.476,-37.547,-100,-100,2.256,2.256,-40.229,-81.507,-219.48,0.507,59.787,-40.229
2020-07-31,-157.893,163.184,180.775,343.959,-14.782,-0.033,33.204,3.679,39.764,225.83,-17.54,-3.08,0,0,0,0,0.034,-20.586,0,0,42.776,42.776,-40.119,-43.915,-41.258,163.986,62.586,-40.119
2020-04-30,-113.03300,180.68900,73.51000,254.19900,23.58600,35.83400,-3.55700,-6.69400,34.46200,175.62800,-35.34300,-3.68400,,,,,0.66500,-38.36200,,,-19.74400,-19.74400,-39.76300,-57.81500,-117.32200,19.94400,59.68700,-39.76300
2020-01-31,1772.673,217.884,-1840.734,-1622.85,2.87,43.361,-29.143,-43.099,-93.985,55.838,-18.986,-2.776,1105.283,0,0,0,0.736,1084.257,-600,-600,-255.833,-255.833,-40.077,-34.95,-930.86,209.235,53.171,-40.077
2019-10-31,-82.501,132.158,70.814,202.972,-32.002,-39.276,8.304,-3.046,-54.968,65.503,-20.742,-0.414,-477.579,18.832,0,18.832,-1.404,-481.307,350,350,21.795,21.795,-40.14,-50.978,280.677,-135.127,66.762,-40.14
2019-07-31,-57.331,118.893,73.748,192.641,17.601,-7.174,24.37,-15.997,-62.17,73.14,-23.01,-0.038,0,0,0,0,-0.047,-23.095,0,0,33.98,33.98,-39.889,-42.533,-48.442,1.603,63.676,-39.889
2019-04-30,-48.45000,118.39400,75.53100,193.92500,22.77500,15.84800,-1.87300,8.00400,20.34100,165.81600,-19.18300,-1.48400,,,,,-0.34200,-21.00900,-50.00000,-50.00000,-16.93800,-16.93800,-39.46700,-48.91900,-155.32400,-10.51700,58.59800,-39.46700
2019-01-31,-260.698,215.976,185.165,401.1409,-39.347,2.489,-28.753,0.189,-33.802,106.641,14.639,-0.359,-3.352,0,0,0,4.809,15.737,-75,-75,-9.816,-9.816,-39.489,-25.924,-150.229,-27.851,50.58,-39.489
2018-10-31,-53.767,223.009,55.638,278.647,-10.948,-5.007,22.531,7.63,74.514,299.394,-12.646,-9.918,0,0,0,0,20.993,-1.571,-75,-75,-37.777,-37.777,-39.411,-34.033,-186.221,111.602,50.24,-39.411
2018-07-31,6.759,82.699,41.887,124.586,-1.356,4.186,-15.015,-5.396,-69.41,61.935,-20.801,-0.903,-2649.465,611.289,0,611.289,76.462,-1983.418,1286.477,1286.477,33.525,33.525,-39.383,-27.735,1252.884,-668.599,59.392,-39.383
2018-04-30,128.61200,20.34300,25.56700,45.91000,-47.39300,2.68000,14.74400,-14.10800,-45.74800,128.77400,-13.58800,-0.36000,,185.63600,,185.63600,45.01100,216.69900,,,11.05500,11.05500,-29.79800,-47.95400,-66.69700,278.77600,23.85200,-29.79800
2018-01-31,48.763,20.673,34.964,55.637,85.719,3.879,-36.7,-5.777,15.342,119.742,-2.824,-1.331,0,-25.386,0,-25.386,6.089,-23.452,0,0,42.878,42.878,-29.695,-21.09,-7.907,88.383,21.377,-29.695
