,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,94,174,77,251,-255,50,0,-163,192,-109,-12,-84,-84,-2,-207,-46,-46,-51,-51,-58,-8,-163,-130,-58
2022-09-30,66.00000,179.00000,30.00000,209.00000,-96.00000,-61.00000,,-325.00000,-31.00000,-100.00000,-3.00000,-8.00000,-8.00000,-19.00000,-130.00000,-9.00000,-9.00000,-127.00000,-127.00000,-31.00000,18.00000,-149.00000,-364.00000,-31.00000
2022-06-30,127,183,-161,22,11,-5,0,81,324,-179,-334,-13,-13,4,-522,357,357,-54,-54,-61,-12,230,-43,-61
2022-03-31,104,172,40,212,160,-88,0,284,600,-107,-1146,-53,-53,1,-1305,500,500,-82,-82,-28,-18,372,-319,-28
2021-12-31,262,168,90,258,-231,65,0,-168,362,-107,-21,-30,-30,4,-154,0,0,-43,-43,-59,-11,-113,84,-59
2021-09-30,267.00000,165.00000,59.00000,224.00000,9.00000,-59.00000,,-290.00000,68.00000,-103.00000,,-16.00000,-16.00000,24.00000,-95.00000,-5.00000,-5.00000,,,-27.00000,-53.00000,-85.00000,-136.00000,-27.00000
2021-06-30,-15,176,-45,131,-99,27,0,71,177,-137,-795,-14,-14,0,-946,1119,1119,0,0,-59,-32,1028,262,-59
2021-03-31,96,173,49,222,105,-48,0,313,577,-59,-1,-14,-14,4,-70,-59,-59,0,0,-24,-27,-110,412,-24
2020-12-31,261,167,46,213,-126,25,0,-95,328,-79,-89,-4,-4,-8,-180,-106,-106,0,0,-60,-3,-169,23,-60
2020-09-30,47.00000,164.00000,43.00000,207.00000,-46.00000,2.00000,,-86.00000,155.00000,-91.00000,-1.00000,-7.00000,-7.00000,3.00000,-96.00000,4.00000,4.00000,,,-20.00000,-34.00000,-50.00000,22.00000,-20.00000
2020-06-30,-401,160,375,535,123,56,0,174,318,-70,-30,-1,-1,1,-100,-64,-64,0,0,-58,-9,-131,129,-58
2020-03-31,-1036,160,1123,1283,68,-50,0,34,270,-105,0,12,12,0,-93,8,8,0,0,-19,-2,-13,116,-19
2019-12-31,103,162,75,237,-110,75,0,-176,165,-113,-2,-3,-3,2,-116,-153,-153,0,0,-59,-21,-233,-169,-59
2019-09-30,-211.00000,162.00000,273.00000,435.00000,-1551.00000,-72.00000,,-195.00000,27.00000,-114.00000,,-5.00000,-5.00000,1.00000,-118.00000,-91.00000,-91.00000,,,-22.00000,18.00000,-95.00000,-202.00000,-22.00000
2019-06-30,-42,165,69,234,97,16,0,76,267,-102,-50,-20,-20,18,-154,-84,-84,0,0,-59,34,-109,-5,-59
2019-03-31,23,168,-5,163,177,-31,0,117,303,-135,42,-5,-5,-16,-114,-144,-144,0,0,-21,-3,-168,30,-21
2018-12-31,119,163,15,178,-119,-20,0,-68,245,-99,-186,-3,-3,0,-288,-146,-146,0,0,-58,-5,-209,-268,-58
2018-09-30,128.00000,163.00000,34.00000,197.00000,-21.00000,-23.00000,,-196.00000,113.00000,-133.00000,6.00000,-10.00000,-10.00000,16.00000,-121.00000,-61.00000,-61.00000,,,-23.00000,-40.00000,-124.00000,-148.00000,-23.00000
2018-06-30,-355,175,79,254,-42,0,0,57,292,-163,-15,-9,-9,10,-177,-25,-25,0,0,-59,-80,-164,-78,-59
2018-03-31,-1110,100,1181,1281,-13,-6,0,119,261,50,-9,-9,-9,0,32,0,0,0,0,-19,-13,-32,256,-19
2017-12-31,-66,100,212,312,0,8,0,-69,208,-51,1,-21,-21,16,-55,-93,-93,0,0,-59,-19,-171,-21,-59
2017-09-30,87.00000,97.00000,16.00000,113.00000,-73.00000,-16.00000,,-195.00000,-4.00000,-62.00000,-54.00000,-12.00000,-12.00000,7.00000,-121.00000,,,,,-21.00000,-10.00000,-31.00000,-139.00000,-21.00000
2017-06-30,-424,100,464,564,68,23,-2,140,275,-49,-2,-5,-5,-315,-371,0,0,0,0,-59,-6,-65,-149,-59
2017-03-31,0,109,58,167,5,1,-6,37,218,113,-3,-54,-54,13,69,0,0,0,0,-16,-15,-31,286,-16
2016-12-31,-219,120,481,601,-67,7,0,13,272,-24,-59,-39,-39,15,-107,0,0,0,0,-59,-3,-62,65,-59
2016-09-30,0.00000,120.00000,-23.00000,97.00000,-64.00000,-16.00000,-250.00000,-351.00000,-271.00000,-25.00000,-283.00000,,,297.00000,-11.00000,-23.00000,-23.00000,,,-18.00000,-18.00000,-59.00000,-333.00000,-18.00000
2016-06-30,109,135,62,197,34,72,0,32,355,-39,-33,-64,-64,-287,-423,0,0,0,0,-59,5,-54,-140,-59
2016-03-31,-130,126,-185,-59,85,-109,258,398,177,-58,-385,-10,-10,15,-438,342,342,-23,-23,-14,-2,303,89,-14
2015-12-31,82,123,20,143,-3,42,11,-56,205,-57,-85,-17,-17,-5,-164,0,0,-3,-3,-58,-1,-62,-15,-58
2015-09-30,189.00000,121.00000,-163.00000,-42.00000,-94.00000,30.00000,-11.00000,-1.00000,141.00000,-61.00000,-16.00000,-14.00000,-14.00000,5.00000,-86.00000,,,-15.00000,-15.00000,-16.00000,-6.00000,-37.00000,-53.00000,-16.00000
2015-06-30,-363,123,214,337,-22,61,18,-33,5,-42,-2,-113,-113,-71,-228,0,0,-30,-30,-1,1,-30,-76,-1
2015-03-31,34,124,10,134,107,-108,-6,125,282,-48,-5,-11,-11,16,-48,0,0,0,0,-12,8,-4,109,-12
2014-12-31,163,127,38,165,-73,24,-6,-45,324,-56,-769,-131,-131,0,-956,-129,-129,0,0,0,-1,-130,-817,0
2014-09-30,88.00000,124.00000,27.00000,151.00000,17.00000,41.00000,-6.00000,12.00000,220.00000,20.00000,-414.00000,-115.00000,-115.00000,,-509.00000,,,,,-17.00000,-9.00000,-26.00000,-410.00000,-17.00000
2014-06-30,29,131,131,262,38,56,-68,-151,226,-21,-6,-72,-72,0,-99,0,0,0,0,-1,-1,-2,-62,-1
2014-03-31,61,142,-31,111,104,-83,-14,223,396,-88,-13,-10,-10,0,-111,0,0,0,0,-10,-3,-13,299,-10
2013-12-31,166,138,83,221,-170,19,-15,-79,348,-76,-24,-2,-2,0,-102,0,0,0,0,-1,0,-1,220,-1
2013-09-30,38.00000,141.00000,-8.00000,133.00000,-74.00000,32.00000,-6.00000,-70.00000,59.00000,29.00000,-2.00000,,,,27.00000,,,,,-12.00000,217.00000,205.00000,307.00000,-12.00000
2013-06-30,-1113,150,1063,328,62,64,-93,-96,81,19,1,-2,-2,0,18,0,0,0,0,0,823,823,842,0
2013-03-31,332,144,-42,102,126,-90,-44,294,415,590,-3,-7,-7,0,580,0,0,0,0,-9,-189,-198,798,-9
2012-12-31,1411,129,-53,76,-163,32,3,-245,92,-51,-1926,-1,-1,0,-1978,-235,-235,0,0,0,1852,1617,-269,0
2012-09-30,-83.00000,125.00000,-83.00000,42.00000,-25.00000,-21.00000,-1.00000,-59.00000,-87.00000,-64.00000,-228.00000,-2.00000,-2.00000,,-294.00000,,,,,-11.00000,255.00000,244.00000,-123.00000,-11.00000
2012-06-30,-2744,53,0,53,0,0,0,-34,-480,171,305,0,-254,0,222,0,0,0,0,-3,-1273,-1276,-1831,0
2011-06-30,704,430,0,430,0,0,0,106,1331,-475,-397,0,-9,0,-881,0,0,0,0,-10,280,270,942,0
