,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,1259,1700,513,2213,-2772,1584,-1185,79,-2294,1178,-2065,14,-434,-434,-2487,-4972,4355,3810,8165,-484,-484,-599,-27,7055,3619,59,-599
2022-09-30,-930,1627,1760,3387,-2504,-1653,5273,239,1355,3812,-1732,435,-1099,-1099,-1121,-3517,1289,1055,2344,0,0,-603,-45,1696,1587,107,-603
2022-06-30,638,1619,2309,3928,-3319,248,1466,-14,-1619,2947,-1699,0,396,396,2130,827,-5343,1209,-4134,0,0,-402,-43,-4579,-1149,103,-402
2022-03-31,-3119.00000,1547.00000,4545.00000,6092.00000,-3148.00000,-2755.00000,1714.00000,132.00000,-4057.00000,-1084.00000,-1370.00000,,2796.00000,2796.00000,1889.00000,3315.00000,-486.00000,-614.00000,-1100.00000,,,-405.00000,-156.00000,-1661.00000,546.00000,67.00000,-405.00000
2021-12-31,12273,1516,-11297,-9781,-664,1351,475,-123,1039,3531,-1772,0,542,542,-1033,-2263,-9441,1705,-7736,0,0,-400,58,-8078,-6887,43,-400
2021-09-30,1822,1520,187,1707,-2381,-200,5927,133,3479,7008,-1574,1,-1064,-1064,1467,-1170,-1827,678,-1149,0,0,0,-73,-1222,4462,79,0
2021-06-30,553,1182,-907,275,7449,-753,-6631,-137,-72,756,-1513,144,6154,6154,1884,6669,-7034,617,-6417,0,0,0,12,-6405,1112,142,0
2021-03-31,3262.00000,1742.00000,-533.00000,1209.00000,2111.00000,-2176.00000,193.00000,-107.00000,21.00000,4492.00000,-1368.00000,,106.00000,106.00000,771.00000,-491.00000,-7961.00000,273.00000,-7688.00000,,,-3.00000,-102.00000,-7793.00000,-3885.00000,41.00000,-3.00000
2020-12-31,-2791,1725,1018,2743,961,350,2951,325,4587,4539,-1531,0,-4230,-4230,16,-5745,1702,524,2226,0,0,0,58,2284,1463,29,0
2020-09-30,2390,1520,103,1623,1088,-268,6343,-88,7075,11088,-1256,27113,5821,5821,-30333,1345,-17274,-2026,-19300,0,0,0,-60,-19360,-6709,63,0
2020-06-30,1118,2070,-3712,-1642,11033,1243,-2679,42,9639,9115,-1175,-27113,-5574,-5574,22761,-11101,7215,-167,7048,0,0,0,-111,6937,5021,69,0
2020-03-31,-1993.00000,2142.00000,1609.00000,3751.00000,-1041.00000,-1177.00000,194.00000,-207.00000,-2231.00000,-473.00000,-1780.00000,1340.00000,-3246.00000,-3246.00000,572.00000,-3114.00000,13743.00000,-622.00000,13121.00000,,,-596.00000,-71.00000,12454.00000,8419.00000,38.00000,-596.00000
2019-12-31,-1672,2071,1333,3404,-1031,1996,34,169,1168,2900,-2274,0,-708,-708,-2368,-5350,249,-290,-41,0,0,-595,-53,-689,-2940,-10,-595
2019-09-30,423,2018,818,2836,2016,-610,297,-230,1473,4732,-1805,26202,-705,-705,-28239,-4547,392,-1165,-773,-237,-237,-598,-24,-1632,-1625,69,-598
2019-06-30,150,2259,289,2548,1803,-97,1985,74,3765,6463,-1920,-26202,352,352,25280,-2490,-1668,-349,-2017,0,0,-599,-65,-2681,1287,84,-599
2019-03-31,1183.00000,2142.00000,296.00000,2438.00000,-2050.00000,-1083.00000,2944.00000,112.00000,-77.00000,3544.00000,-1633.00000,,518.00000,518.00000,-219.00000,-1334.00000,2134.00000,420.00000,2554.00000,,,-597.00000,-84.00000,1873.00000,4112.00000,85.00000,-597.00000
2018-12-31,-112,2109,1047,3156,-3267,1532,-5,53,-1687,1357,-2116,0,593,593,-2143,-3666,2682,-1551,1131,0,0,-597,-8,526,-1848,-8,-597
2018-09-30,3807,6304,544,6848,-1380,-2360,6786,-36,3010,5179,-1981,0,1763,1763,-3355,-3573,440,467,907,-75,-75,-597,-91,144,1734,199,-597
2018-06-30,0,0,0,0,0,0,0,0,0,4972,-1909,0,2858,2858,-3427,-2478,-1757,-826,-2583,0,0,-598,-25,-3206,-1116,0,-598
2018-03-31,0.00000,,,,,,,,,3514.00000,-1779.00000,,-1827.00000,-1827.00000,-2938.00000,-6544.00000,4593.00000,-909.00000,3684.00000,-89.00000,-89.00000,-1113.00000,-68.00000,2414.00000,-501.00000,,-1113.00000
2017-12-31,7757,8572,-284,8288,-3133,-970,6089,65,2051,3147,-2113,0,-72,-72,-4650,-6835,5852,-670,5182,0,0,-596,-27,4559,918,246,-596
2017-09-30,0,0,0,0,0,0,0,0,0,4998,-1672,0,2428,2428,-4419,-3663,-1336,1827,491,0,0,-596,-22,-127,1383,0,-596
2017-06-30,0,0,0,0,0,0,0,0,0,5615,-1558,13467,-698,-698,-16421,-5210,-827,-586,-1413,-131,-131,-597,-17,-2158,-1587,0,-597
2017-03-31,0.00000,,,,,,,,,4336.00000,-1706.00000,-13467.00000,673.00000,673.00000,10848.00000,-3652.00000,1342.00000,658.00000,2000.00000,,,-795.00000,-85.00000,1120.00000,1905.00000,,-795.00000
2016-12-31,4600,8717,3539,12256,-2855,-803,6595,57,2994,2798,-2080,0,-2047,-2047,-3117,-7244,5227,2664,7891,0,0,-596,-5,7290,2615,210,-596
2016-09-30,0,0,0,0,0,0,0,0,0,5161,-1706,0,1239,1239,-5482,-5949,-2533,266,-2267,0,0,-596,-15,-2878,-3723,0,-596
2016-06-30,0,0,0,0,0,0,0,0,0,7742,-1695,0,1286,1286,-4725,-5134,-1722,1055,-667,0,0,-596,-28,-1291,1146,0,-596
