,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-663,502,488,990,164,1584,248,629,3130,3457,-310,0,0,-1841,-1841,0,-2151,-272,15,-257,11,11,0,-4,-250,1120,197,0
2022-09-30,-3308,493,623,1116,328,96,195,-108,5382,3190,-281,0,0,584,584,-13,290,-25,4,-21,5,5,0,-2,-18,3404,176,0
2022-06-30,160,498,510,1008,-587,-57,764,-1131,-1087,81,-255,0,0,3520,3520,1,3266,-617,13,-604,4,4,0,-2,-602,2681,149,0
2022-03-31,-1242.00000,486.00000,826.00000,1312.00000,237.00000,-1203.00000,-369.00000,-954.00000,-3286.00000,-3216.00000,-341.00000,,,3305.00000,3305.00000,1.00000,2965.00000,-396.00000,2.00000,-394.00000,30.00000,30.00000,,-32.00000,-396.00000,-695.00000,203.00000,
2021-12-31,-4164,534,4375,4909,-433,-1635,-218,3054,-29,716,-78,0,0,2014,2014,-1,1935,-4322,-27,-4349,6,6,0,-19,-4362,-1712,156,0
2021-09-30,-132,523,289,812,243,95,-1530,-336,-942,-262,89,0,-6,2881,2881,2,2966,-1167,-4,-1171,7,7,0,-7,-1171,1493,184,0
2021-06-30,567,551,367,918,-129,1093,-1216,-622,-1968,-483,-173,0,0,1831,1831,1,1659,-35,12,-23,6,6,0,-2,-19,1212,172,0
2021-03-31,-561.00000,536.00000,676.00000,1212.00000,-394.00000,-680.00000,-819.00000,-496.00000,-4038.00000,-3387.00000,-289.00000,,,3050.00000,3050.00000,3.00000,2764.00000,-9847.00000,9814.00000,-33.00000,23.00000,23.00000,,-38.00000,-48.00000,-776.00000,321.00000,
2020-12-31,-8439,578,7414,7992,784,-1349,-2060,-872,-3562,-4009,-244,0,0,-1267,-1267,-32,-1543,-2206,4886,2680,5,5,0,-4,2681,-2812,85,0
2020-09-30,-466,565,79,644,-18,-2912,-122,-1888,-4997,-4819,-83,0,0,-4060,-4060,6,-4137,-527,60,-467,4,4,0,-5,-468,-9428,50,0
2020-06-30,-2395,547,1003,1550,197,-3768,-2151,1192,-4435,-5280,-310,0,0,-11997,-11997,0,-12307,-2411,24869,22458,6,6,0,-2,22462,4953,60,0
2020-03-31,-641.00000,556.00000,124.00000,680.00000,-54.00000,-2973.00000,-1030.00000,1191.00000,-4341.00000,-4302.00000,-370.00000,,,-17.00000,-17.00000,8.00000,-379.00000,-5854.00000,17433.00000,11579.00000,21.00000,21.00000,-1158.00000,-162.00000,10280.00000,5468.00000,55.00000,-1158.00000
2019-12-31,-1010,628,139,767,288,-2826,-26,-212,-1977,-2220,-447,-107,501,573,573,-3,517,-3193,5768,2575,7,7,-1157,-22,1403,-278,52,-1157
2019-09-30,1167,576,141,717,-273,-4332,-376,205,-4308,-2424,-462,0,0,-734,-734,2,-1194,-2556,7951,5395,4,4,-1156,-3,4240,596,56,-1156
2019-06-30,-2942,546,-28,518,382,-2508,378,-1259,1834,-590,-200,-20,-216,353,353,-3,-86,-2048,6433,4385,-305,-305,-1156,-5,2919,2331,57,-1156
2019-03-31,2149.00000,521.00000,296.00000,817.00000,206.00000,-2725.00000,1624.00000,1520.00000,-178.00000,2788.00000,-391.00000,,-276.00000,-91.00000,-91.00000,-9.00000,-767.00000,-4374.00000,5237.00000,863.00000,-2299.00000,-2299.00000,-1161.00000,-226.00000,-2823.00000,-977.00000,47.00000,-1161.00000
2018-12-31,3424,583,172,755,-805,741,-1179,-288,-1232,2947,-492,-13,-2980,1067,1067,-6,-2424,-3154,3852,698,-574,-574,-970,-10,-856,-397,52,-970
2018-09-30,2363,523,47,570,-52,-581,499,469,1626,4559,-381,0,-250,-267,-267,-4,-902,-1321,1048,-273,-2441,-2441,-979,4,-3689,-87,52,-979
2018-06-30,2196,507,125,632,-30,125,91,1330,1852,4680,-362,-36,0,-1012,-1012,-4,-1414,-1337,961,-376,-2955,-2955,-991,-10,-4332,-1114,53,-991
2018-03-31,2477.00000,501.00000,120.00000,621.00000,92.00000,283.00000,591.00000,61.00000,38.00000,3136.00000,-367.00000,-20.00000,,503.00000,503.00000,3.00000,119.00000,-1371.00000,2687.00000,1316.00000,-2949.00000,-2949.00000,-1006.00000,-206.00000,-2845.00000,348.00000,45.00000,-1006.00000
2017-12-31,3320,577,163,740,-282,-603,-650,792,-1157,2903,-373,0,-324,241,241,-1,-457,-870,1201,331,-1716,-1716,-842,-14,-2241,244,51,-842
2017-09-30,1810,514,142,656,-395,236,361,-473,930,3396,-394,0,0,176,176,0,-218,-27,2,-25,-2449,-2449,-855,-6,-3335,-168,53,-855
2017-06-30,1749,488,148,636,101,455,-197,2271,2564,4949,-423,-131,0,-577,-577,8,-1123,-22,2,-20,-2434,-2434,-852,-5,-3311,547,48,-852
2017-03-31,1579.00000,468.00000,136.00000,604.00000,-264.00000,-1491.00000,616.00000,784.00000,-85.00000,2098.00000,-457.00000,,,198.00000,198.00000,-1.00000,-260.00000,-34.00000,872.00000,838.00000,-2326.00000,-2326.00000,-868.00000,-107.00000,-2463.00000,-679.00000,50.00000,-868.00000
2016-12-31,1770,525,222,747,843,-330,-744,322,312,2829,-575,0,-297,-541,-541,-1,-1414,-523,2,-521,-371,-371,-672,-10,-1574,-254,46,-672
2016-09-30,2279,474,136,610,-14,1330,145,-1268,313,3202,-594,0,0,-20,-20,0,-614,-569,0,-569,-955,-955,-676,-4,-2204,381,47,-676
2016-06-30,-234,447,131,578,499,3060,261,-405,2846,3190,-669,0,0,-241,-241,-2,-912,-139,1208,1069,-1895,-1895,-691,-27,-1544,719,46,-691
