,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2016-03-31,1219.00000,443.00000,162.00000,605.00000,-1002.00000,-56.00000,960.00000,-257.00000,-549.00000,1275.00000,-737.00000,,,289.00000,289.00000,10.00000,-438.00000,-128.00000,115.00000,-13.00000,-3459.00000,-3459.00000,-717.00000,-76.00000,-4265.00000,-3416.00000,51.00000,-717.00000
2015-12-31,1026,484,206,690,133,1076,-1296,1639,1403,3119,-605,0,-8,-274,-274,6,-881,-21,985,964,-682,-682,-608,15,-311,1919,48,-608
2015-09-30,1704,437,175,612,-889,209,170,730,543,2859,-557,0,0,-7,-7,11,-553,-18,0,-18,-1445,-1445,-618,12,-2069,226,47,-618
2015-06-30,1110,453,150,603,76,-573,40,1279,1584,3297,-672,0,-23,483,483,14,-198,-33,0,-33,-1956,-1956,-625,9,-2605,502,44,-625
2015-03-31,1336.00000,459.00000,28.00000,487.00000,-389.00000,-1822.00000,848.00000,85.00000,-1735.00000,88.00000,-574.00000,,,352.00000,352.00000,8.00000,-214.00000,-813.00000,761.00000,-52.00000,-2269.00000,-2269.00000,-639.00000,25.00000,-2935.00000,-3078.00000,50.00000,-639.00000
2014-12-31,1466,528,304,832,57,95,-480,2624,2700,4998,-661,0,0,2065,2065,29,1433,-691,857,166,-951,-951,-519,5,-1299,5078,43,-519
2014-09-30,1362,478,206,684,-99,-1023,36,-373,-1107,939,-612,0,0,361,361,4,-247,-56,20,-36,-970,-970,-525,1,-1530,-878,51,-525
2014-06-30,1653,452,63,515,-494,-1353,433,644,-359,1809,-447,0,-163,1485,1485,0,875,-97,34,-63,-1346,-1346,-531,-156,-2096,591,49,-531
2014-03-31,965.00000,448.00000,36.00000,484.00000,-792.00000,-2049.00000,1350.00000,2084.00000,-337.00000,1112.00000,-482.00000,,,888.00000,888.00000,,406.00000,-757.00000,51.00000,-706.00000,-2391.00000,-2391.00000,-540.00000,-31.00000,-3668.00000,-2146.00000,52.00000,-540.00000
2013-12-31,1233,521,543,1064,127,-1931,-1241,798,-917,1380,-634,-140,0,-298,-298,0,-1072,-37,24,-13,-776,-776,-365,-102,-1256,-953,50,-365
2013-09-30,1158,458,40,498,-456,-1017,95,1458,1152,2808,-481,0,0,-230,-230,0,-711,-36,16,-20,-412,-412,-367,36,-763,1347,49,-367
2013-06-30,1088,436,0,436,-113,386,194,631,1943,3467,-444,0,0,-2113,-2113,0,-2557,-99,516,417,-592,-592,-368,18,-525,359,49,-368
2013-03-31,1106.00000,429.00000,89.00000,518.00000,-437.00000,-3000.00000,654.00000,2602.00000,-1100.00000,524.00000,-488.00000,,-26.00000,-300.00000,-300.00000,,-814.00000,-1262.00000,15.00000,-1247.00000,76.00000,76.00000,-367.00000,-167.00000,-1705.00000,-2006.00000,58.00000,-367.00000
2012-12-31,978,498,190,688,-177,-1093,342,1985,2501,4167,-427,-1,-106,1370,1370,0,836,-803,26,-777,24,24,-332,-158,-1243,3759,45,-332
2012-09-30,1032,465,258,723,460,-1851,115,266,-159,1596,-415,0,0,-590,-590,0,-1005,-40,10,-30,25,25,-332,0,-337,277,49,-332
2012-06-30,967,422,271,693,419,-2240,236,23,-752,908,-344,-6,-18,-217,-217,0,-585,-422,4,-418,43,43,-330,-5,-710,-413,49,-330
2012-03-31,923.00000,426.00000,198.00000,624.00000,-729.00000,-497.00000,506.00000,709.00000,-710.00000,837.00000,-420.00000,,,-2583.00000,-2583.00000,,-3003.00000,-811.00000,20.00000,-791.00000,28.00000,28.00000,-328.00000,-96.00000,-1187.00000,-3331.00000,50.00000,-328.00000
2011-12-31,1393,438,192,630,619,-1767,-283,1705,908,2931,-531,0,0,2044,2044,0,1513,-35,10,-25,8,8,-312,-17,-346,4095,45,-312
2011-09-30,1098,421,51,472,-164,-3356,313,1638,-1121,449,-345,0,-26,469,469,0,98,-44,753,709,26,26,-312,-30,393,904,45,-312
2011-06-30,941,432,82,514,-114,-2267,165,1421,141,1596,-340,0,0,-1609,-1609,0,-1949,-39,22,-17,56,56,-311,-7,-279,-620,45,-311
2011-03-31,586.00000,384.00000,140.00000,524.00000,-633.00000,-2622.00000,969.00000,742.00000,-2063.00000,-953.00000,-403.00000,,-16.00000,3057.00000,3057.00000,69.00000,2707.00000,-812.00000,14.00000,-798.00000,24.00000,24.00000,-309.00000,-385.00000,-1468.00000,311.00000,51.00000,-309.00000
2010-12-31,1164,461,530,991,709,-2701,78,915,-1039,1116,-384,0,-65,1965,1965,133,1649,-34,11,-23,16,16,-308,-2,-317,2495,43,-308
2010-09-30,837,421,210,631,126,-1261,364,654,387,1855,-257,-2,-843,-1544,-1544,58,-2588,-567,4,-563,10,10,-308,-6,-867,-1604,42,-308
2010-06-30,787,454,74,528,-255,-1592,-354,419,-1049,266,-238,0,0,290,290,97,149,-37,7,-30,38,38,-319,-120,-431,-49,64,-319
2010-03-31,519.00000,410.00000,119.00000,529.00000,-572.00000,-1833.00000,225.00000,554.00000,-1333.00000,-285.00000,-183.00000,,-24.00000,-3834.00000,-3834.00000,,-4041.00000,-51.00000,19.00000,-32.00000,23.00000,23.00000,-318.00000,-20.00000,-347.00000,-4698.00000,66.00000,-318.00000
2009-12-31,1268,472,241,713,427,-943,-28,1065,1231,3212,-219,0,0,-1466,-1466,40,-1645,-295,2189,1894,2,2,-305,-42,1549,3120,58,-305
2009-09-30,-1564,437,193,630,397,1011,365,317,2131,1197,-227,0,-592,-36,-36,-448,-1303,-38,1929,1891,1,1,-305,-2,1585,1496,59,-305
2009-06-30,998,383,110,493,-346,-1511,160,389,-490,1001,-296,0,-17,65,65,0,-248,-147,16,-131,7,7,-305,-2,-431,362,61,-305
2009-03-31,610.00000,386.00000,159.00000,545.00000,-869.00000,-82.00000,644.00000,-1020.00000,-962.00000,193.00000,-417.00000,,-30.00000,-151.00000,-151.00000,,-598.00000,-71.00000,1827.00000,1756.00000,-50.00000,-50.00000,-305.00000,-10.00000,1391.00000,969.00000,60.00000,-305.00000
