,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,-650.2,-242.1,-24.8,-266.9,-764,1982.4,126,1576.4,658.8,118.5,20.4,0,-2.6,-2.6,-10.1,126.2,0,27.8,27.8,221.6,221.6,345.1,58.4,652.9,1497.1,345.1
2022-09-30,257.5,80.5,23.8,104.3,-241.8,-144.2,38.3,-277.4,65.6,-46.2,0,0,0,0,9.8,-36.4,0,-15.7,-15.7,-73.7,-73.7,-113,-7.4,-209.8,-211,-113
2022-06-30,231.8,80.6,-24.9,55.7,-156.9,-152.3,-107.9,-384.8999,-90.8,-41.6,-20.4,0,0,0,1,-61,0,-26,-26,-84.8,-84.8,-113.8,-8.4,-233,-418.6,-113.8
2022-03-31,160.90000,81.00000,25.90000,106.90000,1162.70000,-1685.90000,-56.40000,-914.10010,-633.60000,-30.70000,,,2.60000,2.60000,-0.70000,-28.80000,,13.90000,13.90000,-63.10000,-63.10000,-118.30000,-42.60000,-210.10000,-867.50000,-118.30000
2021-12-31,368,88.2,-40.5,47.6999,-1362.8,2160.2,63,1034.5,1467,-71.9,0,0,2.1,2.1,-0.4,-70.2,-504.0999,-1.4,-505.4999,0,0,-106.3,-4.6,-616.4,775.3,-106.3
2021-09-30,244.6,86.1,-10.7,75.4,-335.5,313.3,-22.9,74.2,390.2,-61.3,-16.3,0,3.9,3.9,1.7,-72,0,-25.2,-25.2,0,0,-106.2,-21.9,-153.3,152.5,-106.2
2021-06-30,267.8,93.1,29.1,122.2,-638.1,731.6,-65.7,76.9001,468.2,-33.8,0,0,0,0,-9.5,-43.3,0,18.7,18.7,0,0,-106.1,-14.4,-101.8,325.6,-106.1
2021-03-31,92.40000,92.20000,102.50000,194.70000,1117.80000,-1347.00000,-78.70000,-541.50010,-249.80000,-28.30000,,,28.80000,28.80000,-0.30000,0.20000,-68.70010,-2.90000,-71.60010,8.00000,8.00000,-109.10000,-40.00000,-212.70000,-492.70000,-109.10000
2020-12-31,117,87.1,157.8,244.9,-1169,1987.7,101.6,1160.8999,1522.1,-55.5,-2.4,0,13.5,13.5,-39.3,-83.7,-503.7,-0.4,-504.1,6.5,6.5,-99.5,-11.4,-608.5,881.2,-99.5
2020-09-30,278.5,94.9,58.8,153.7,-447.2,716.7,-69.6,248.0002,689.3,-40.1,0,0,-1.7,-1.7,2.6,-39.2,0,-0.6,-0.6,0,0,-99.4,-15.4,-115.4,543.3,-99.4
2020-06-30,-43.9,88.7,94.4,183.1,987.3,-1264.5,-8.9,-236.7001,-87.1,-27.3,-1.2,0,-0.1,-0.1,-3.9,-32.5,0,-245.3,-245.3,0,0,-99.2,-22.2,-366.7,-468.5,-99.2
2020-03-31,2.60000,98.30000,34.70000,133.00000,1302.80000,-1466.90000,-91.00000,-413.90000,-277.10000,-44.60000,-1.30000,,1.80000,1.80000,-16.70000,-60.80000,646.20000,247.80000,894.00000,,,-100.00000,-49.60000,744.40000,359.80000,-100.00000
2019-12-31,342.2,89.6,37.5,127.1,-1008.1,1498.7,36.4,627.9,1105.6,-64.7,0,0,3.8,3.8,19.9,-41,-103.1,-192.9,-296,0.1,0.1,-90.9,-11.2,-398,671.7,-90.9
2019-09-30,168.4,85.6,10.2,95.8,190.3,-275.8,27.8,-38.9999,224.6,-53.7,0,0,0,0,10.9,-42.8,-200.1,40.8,-159.3,3.6,3.6,-90.8,-6.8,-253.3,-92.9,-90.8
2019-06-30,172.8,91.2,46.2,137.4,-245.3,284.4,-28,-3.6001,292.5,-47.3,-0.6,0,0,0,0.7,-47.2,-100.1,-68.7,-168.8,0,0,-90.8,-18.8,-278.4,-16.4,-90.8
2019-03-31,-9.50000,101.60000,-19.00000,82.60000,913.20000,-961.30000,-54.10000,-179.70000,-93.50000,-32.80000,,,,,2.10000,-30.70000,,201.00000,201.00000,0.60000,0.60000,-90.60000,-24.30000,86.70000,-43.90000,-90.60000
2018-12-31,342.5,93.7,46,139.7,-953.9,1195.6,8.6,412.6001,891.8,-71.4,-2297.8,0,0,0,-5.7,-2374.9,400.1,-12.9,387.2,6.4,6.4,-80.5,-10.5,302.6,-1192.5,-80.5
2018-09-30,163.5,59.2,17.2,76.4,136.3,-187.6,50.7,-11.2001,231,-44.2,-3.5,0,0,0,-11.3,-59,1994,-673.9,1320.1,-0.5,-0.5,-80.4,-29.6,1209.6,1373.8,-80.4
2018-06-30,147.8,61.3,13.6,74.9,-450.2,414.9,1,-45.5999,172.2,-38.7,-8.3,0,0,0,12.5,-34.5,-4.7,-49.5,-54.2,-59.5,-59.5,-80.4,-23.1,-217.2,-104.1,-80.4
2018-03-31,-16.10000,77.40000,5.70000,83.10000,454.50000,-994.20000,-99.40000,-803.70010,-729.90000,-22.80000,-0.20000,,,,-0.10000,-23.10000,,718.80000,718.80000,-48.00000,-48.00000,-80.80000,-31.80000,558.20000,-197.70000,-80.80000
2017-12-31,269.2,56.4,-25.1,31.3,-836.8,1298.1,215.9,723.7,1020.8,-47.2,-8,0,0,0,-0.5,-55.7,-301,-426.9,-727.9,-83.1,-83.1,-69.1,-11.7,-891.8,89.7,-69.1
2017-09-30,172.3,57.4,18.9,76.3,-60.8,-310.4,104.7,-240.4,14.1,-39.8,-10,0,0,0,5.3,-44.5,0,276.4,276.4,-100.7,-100.7,-69.8,-19.6,86.3,48.1,-69.8
2017-06-30,107.6,59,37.3,96.3,-36.9,75.2,22,11.3,218.7,-44.1,-9.3,0,0,0,-9.4,-62.8,-23.6,-71.3,-94.9,-56.4,-56.4,-70.5,-42,-263.8,-119.7,-70.5
2017-03-31,21.30000,72.10000,-7.00000,65.10000,806.60000,-726.50000,-280.10000,-464.90000,-371.80000,-24.80000,-3.30000,,,,-5.10000,-33.20000,,224.80000,224.80000,-46.80000,-46.80000,-70.90000,-42.70000,64.40000,-320.60000,-70.90000
2016-12-31,333.4,70.7,70.4,141.1,-889.2,541,260.9,59.5,539.7,-86.2,-4.1,0,0,0,-6.1,-96.4,-0.7,-22.3,-23,-110,-110,-58.8,-7.7,-199.5,204.7,-58.8
2016-09-30,132.7,60.2,8.9,69.1,238.1,160.3,-118.3,324,526.9,-51.5,-13.6,0,0,0,-0.2,-65.3,-0.1,-88.9,-89,-80.4,-80.4,-59.5,-11,-239.9,219.8,-59.5
2016-06-30,160.2,58,32,90,-258.3,136,21.7,-153.6,99.8,-36,-7.3,0,0,0,0.6,-42.7,-1,74.7,73.7,-52.9,-52.9,-60.2,-33.3,-72.7,0.3,-60.2
2016-03-31,2.70000,62.50000,-8.60000,53.90000,686.50000,-984.70000,-238.70000,-735.70000,-653.60000,-27.00000,-27.00000,,,,-5.50000,-59.50000,,-19.70000,-19.70000,-49.80000,-49.80000,-59.90000,-24.90000,-154.30000,-830.70000,-59.90000
2015-12-31,282.9,62.9,94.4,157.3,-544.1,957.7,-13.2,475.4,926.8,-80.4,-22.7,0,0,0,-6.1,-109.2,-2,22.4,20.4,-111.2,-111.2,-48.3,-22.8,-161.9,628,-48.3
2015-09-30,78,56,9.4,65.4,23.9,220.1,-195.1,136.9,281.8,-30.9,-5.9,0,0,0,-3.8,-40.6,0,-25.5,-25.5,-69.1,-69.1,-48.7,-8.7,-152,25.4,-48.7
2015-06-30,123.8,57.3,36.2,93.5,-176.4,171.1,72.9,42.6,260.6,-29.6,0,0,0,0,-0.3,-29.9,0,20.6,20.6,-49.3,-49.3,-49.2,-31.8,-109.7,114.6,-49.2
