,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,11,120,193,313,-33,-7,-5,-148,167,-518,286,0,0,3,-229,0,0,0,-140,-140,-132,-5,-277,-339,8,-132
2022-09-30,310,119,39,158,121,28,-4,125,562,189,-286,0,0,0,-97,0,0,0,-142,-142,-133,-1,-276,189,8,-133
2022-06-30,788,119,67,186,198,29,-2,189,1146,-364,18,0,0,0,-346,0,0,0,-139,-139,-134,-1,-274,526,9,-134
2022-03-31,771.00000,122.00000,354.00000,476.00000,-238.00000,-87.00000,-1.00000,-278.00000,957.00000,-70.00000,-18.00000,,,1.00000,-87.00000,-322.00000,,-322.00000,-106.00000,-106.00000,-1218.00000,-18.00000,-1664.00000,-794.00000,8.00000,-1218.00000
2021-12-31,416,121,29,150,89,-22,-4,-33,494,-367,149,0,0,1,-217,-150,0,-150,-69,-69,-502,-3,-724,-447,7,-502
2021-09-30,482,118,0,118,205,-4,-20,89,659,51,112,0,0,2,165,0,0,0,-25,-25,-127,-3,-155,669,8,-127
2021-06-30,1028,120,54,174,-113,9,1,138,1308,-221,0,0,0,1,-220,-225,0,-225,28,28,-128,-2,-327,761,8,-128
2021-03-31,681.00000,118.00000,61.00000,179.00000,-139.00000,-60.00000,-2.00000,-141.00000,698.00000,-53.00000,,,,,-53.00000,,,,17.00000,17.00000,-127.00000,-14.00000,-124.00000,521.00000,7.00000,-127.00000
2020-12-31,292,117,106,223,116,-27,-9,-43,444,-507,381,0,0,0,-126,-556,0,-556,24,24,-127,-4,-663,-345,8,-127
2020-09-30,283,115,179,294,-141,0,0,26,608,-65,0,0,0,0,-65,-348,0,-348,3,3,0,-1,-346,197,7,0
2020-06-30,72,117,155,272,31,74,7,63,391,-66,0,0,0,1,-65,-588,-550,-1138,0,0,0,-3,-1141,-815,8,0
2020-03-31,150.00000,123.00000,-9.00000,114.00000,-82.00000,-72.00000,-2.00000,-168.00000,86.00000,-68.00000,145.00000,,,364.00000,441.00000,732.00000,320.00000,1052.00000,6.00000,6.00000,-254.00000,-12.00000,792.00000,1319.00000,7.00000,-254.00000
2019-12-31,-14,128,92,220,93,-21,1,141,292,-143,297,0,0,1,155,0,-210,-210,5,5,-253,-3,-461,-14,7,-253
2019-09-30,99,135,38,173,40,30,2,21,292,-98,0,0,0,1,-97,-302,300,-2,4,4,-253,-3,-254,-59,7,-253
2019-06-30,128,124,6,130,21,28,8,159,396,-84,0,0,0,1,-83,0,-105,-105,2,2,-253,-4,-360,-47,7,-253
2019-03-31,-289.00000,123.00000,421.00000,544.00000,-108.00000,-60.00000,-5.00000,-255.00000,-14.00000,-59.00000,,,,271.00000,212.00000,227.00000,-180.00000,47.00000,-58.00000,-58.00000,-254.00000,-8.00000,-273.00000,-75.00000,9.00000,-254.00000
2018-12-31,-93,125,200,325,123,-5,-11,86,292,-144,0,0,0,-32,-176,-209,425,216,-93,-93,-254,1,-130,-14,11,-254
2018-09-30,255,122,153,275,-78,27,-6,-120,87,-105,0,0,0,-10,-115,0,0,0,-269,-269,-256,0,-525,-553,13,-256
2018-06-30,317,119,48,167,-8,30,4,129,597,-97,0,0,0,24,-73,0,0,0,23,23,-243,-1,-221,303,9,-243
2018-03-31,269.00000,120.00000,85.00000,205.00000,-78.00000,-66.00000,-5.00000,-322.00000,136.00000,-81.00000,,,,5.00000,-76.00000,-62.00000,,-62.00000,25.00000,25.00000,-242.00000,-7.00000,-286.00000,-226.00000,9.00000,-242.00000
2017-12-31,271,127,-45,82,144,-43,-3,20,354,-380,403,0,0,152,175,0,0,0,39,39,-242,1,-202,327,11,-242
2017-09-30,130,132,37,169,-98,11,4,46,323,326,0,0,0,-28,298,-606,0,-606,8,8,-233,6,-825,-204,10,-233
2017-06-30,24,129,167,296,-61,21,-4,184,489,-95,0,0,0,57,-38,0,0,0,26,26,-233,2,-205,246,9,-233
2017-03-31,157.00000,133.00000,47.00000,180.00000,-70.00000,-28.00000,-9.00000,-280.00000,35.00000,-67.00000,,,,-1.00000,-68.00000,,,,55.00000,55.00000,-233.00000,-10.00000,-188.00000,-221.00000,10.00000,-233.00000
2016-12-31,551,137,-899,-762,5,12,3,76,-151,-576,2486,0,0,58,1968,-1700,0,-1700,13,13,-232,-1,-1920,-103,7,-232
2016-09-30,227,139,-16,123,31,32,-2,51,347,165,0,0,0,52,217,300,0,300,-338,-338,-242,3,-277,287,13,-231
2016-06-30,168,147,22,169,-43,60,0,148,492,-90,0,0,0,440,350,297,0,297,-823,-823,-239,0,-765,77,16,-228
2016-03-31,81.00000,142.00000,6.00000,148.00000,-47.00000,-43.00000,4.00000,-146.00000,47.00000,-9.00000,,,,33.00000,24.00000,378.00000,,378.00000,-794.00000,-794.00000,-241.00000,-11.00000,-668.00000,-597.00000,24.00000,-241.00000
2015-12-31,70,120,48,168,53,19,20,93,339,-183,0,0,0,20,-163,0,0,0,0,0,-181,-31,-212,-36,9,-159
2015-09-30,191,118,30,148,-29,6,0,-34,282,-107,-6,0,0,0,-113,0,0,0,-77,-77,-170,5,-242,-73,6,-159
2015-06-30,144,118,17,135,2,42,9,119,367,-110,6,0,0,12,-92,0,0,0,-154,-154,-160,2,-312,-37,8,-149
2015-03-31,101.00000,123.00000,73.00000,196.00000,-14.00000,-57.00000,-11.00000,-173.00000,87.00000,-119.00000,,,,,-119.00000,,,,-253.00000,-253.00000,-152.00000,15.00000,-390.00000,-422.00000,8.00000,-152.00000
2014-12-31,177,125,27,152,57,-20,15,29,325,-120,0,0,0,-4,-124,0,17,17,-45,-45,-174,-39,-241,-40,11,-152
2014-09-30,1164,123,-948,-825,-44,8,-13,49,353,-88,687,0,0,25,624,0,-11,-11,-93,-93,-165,4,-265,712,9,-154
2014-06-30,291,126,24,150,-50,34,-42,-75,322,-113,20,0,0,0,-93,887,0,887,39,39,-139,-888,-101,128,11,-128
2014-03-31,194.00000,126.00000,-13.00000,113.00000,66.00000,-88.00000,-57.00000,-159.00000,109.00000,-46.00000,,,,,-46.00000,,-6.00000,-6.00000,15.00000,15.00000,-129.00000,2.00000,-118.00000,-55.00000,9.00000,-129.00000
2013-12-31,54,129,279,408,21,-13,-4,-98,348,-109,0,0,0,-2,-111,-677,-1,-678,21,21,-151,9,-799,-562,8,-128
2013-09-30,167,120,42,162,20,36,-61,72,343,-61,-1595,0,0,9,-1647,331,1,332,125,125,-128,10,339,-965,12,-128
2013-06-30,198,111,91,202,67,32,-72,61,374,-61,14,0,0,18,-29,-21,4,-17,832,1501,-109,3,1378,1723,10,-109
2013-03-31,144.00000,112.00000,22.00000,134.00000,-135.00000,-68.00000,-73.00000,-342.00000,-61.00000,-42.00000,,,,,-42.00000,-156.00000,3.00000,-153.00000,81.00000,81.00000,-93.00000,9.00000,-156.00000,-259.00000,12.00000,-93.00000
2012-12-31,142,118,46,164,75,-20,15,-8,252,-66,44,0,0,111,89,0,0,0,39,39,-92,2,-51,290,9,-92
2012-09-30,117,112,66,178,-85,-22,-56,-165,122,-80,12,0,0,-98,-166,-181,-12,-193,66,66,-81,-1,-209,-253,10,-81
2012-06-30,84,113,1,114,-18,28,17,110,267,-81,24,0,0,-1,-58,-4,9,5,2,2,-80,-3,-76,133,8,-80
2012-03-31,41.00000,113.00000,-37.00000,76.00000,-5.00000,-40.00000,-63.00000,-166.00000,-60.00000,-58.00000,,,,1.00000,-57.00000,-2.00000,-29.00000,-31.00000,5.00000,5.00000,-81.00000,-1.00000,-108.00000,-225.00000,10.00000,-81.00000
2011-12-31,65,117,88,205,0,-6,59,-43,147,280,-353,0,0,7,-66,-33,28,-5,-12,-12,-81,-1,-99,-18,6,-81
2011-09-30,157,120,-87,33,16,-9,-20,-37,117,-66,157,0,0,-1,90,0,-8,-8,-24,-24,-81,-4,-117,90,2,-81
2011-06-30,10,120,9,129,-10,35,-40,-7,114,-239,196,0,0,-10,-53,-548,1,-547,3,3,-80,-19,-643,-582,3,-80
2011-03-31,99.00000,123.00000,-104.00000,19.00000,-59.00000,-66.00000,-12.00000,-195.00000,-87.00000,146.00000,,,,5.00000,151.00000,-2.00000,-19.00000,-21.00000,34.00000,34.00000,-81.00000,,-68.00000,-4.00000,14.00000,-81.00000
2010-12-31,171,127,-20,107,36,2,65,184,225,124,-160,2,2,-17,-51,-65,16,-49,0,0,-27,1,-75,99,8,-27
2010-09-30,1116,124,-1082,-958,12,-7,-17,-61,97,-43,30,0,0,14,1,-2,-15,-17,0,0,-560,1,-576,-478,4,-560
2010-06-30,14,126,-11,115,-596,40,-1,-12,189,-154,130,0,0,88,64,-548,-8,-556,0,0,-10,-1,-567,-314,6,-10
2010-03-31,-18.00000,126.00000,-181.00000,-55.00000,481.00000,-65.00000,-46.00000,323.00000,178.00000,56.00000,,47.00000,47.00000,47.00000,150.00000,-17.00000,-7.00000,-24.00000,,,-11.00000,-2.00000,-37.00000,291.00000,6.00000,-11.00000
2009-12-31,-181,134,238,372,28,4,133,-87,73,319,-350,0,2,105,76,87,16,103,0,0,-11,0,92,241,8,-11
2009-09-30,-5,149,-202,-53,283,36,14,14,34,-69,313,14,12,18,274,-403,-12,-415,0,0,-10,-1,-426,-118,7,-10
2009-06-30,-116,129,57,186,-272,174,16,119,126,-40,29,32,32,7,28,-18,8,-10,0,0,-53,-1,-64,90,5,-53
2009-03-31,-266.00000,126.00000,85.00000,211.00000,54.00000,37.00000,-2.00000,-366.00000,-436.00000,-78.00000,8.00000,46.00000,46.00000,-78.00000,-102.00000,-1.00000,-42.00000,-43.00000,-2.00000,-2.00000,-53.00000,-2.00000,-100.00000,-638.00000,6.00000,-53.00000
