,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-49,171,47,218,192,121,151,320,-86,0,0,-1,-1,1,-86,-201,0,-201,0,0,-63,0,-264,-12,49,-63
2022-09-30,292,0,0,0,89,-5,54,346,-67,0,0,0,0,-3,-70,-102,0,-102,0,0,-132,0,-234,24,0,-132
2022-06-30,328,0,0,0,53,-32,73,401,-43,-2,0,1,1,-4,-48,233,0,233,-550,-550,-64,0,-381,-39,0,-64
2022-03-31,334.00000,,,,-349.00000,-127.00000,-561.00000,-227.00000,-27.00000,2.00000,,,,-1.00000,-26.00000,260.00000,,260.00000,-363.00000,-363.00000,-67.00000,-17.00000,-187.00000,-447.00000,,-67.00000
2021-12-31,-426,196,480,676,155,-113,85,335,-46,0,0,-170,-170,161,-55,-1,0,-1,-144,-144,-57,-1,-203,72,61,-57
2021-09-30,294,0,0,0,19,-90,62,356,-29,-56,0,2,2,4,-79,0,0,0,-128,-128,-58,0,-186,85,0,-58
2021-06-30,287,0,0,0,-43,-69,41,328,-23,4,0,168,168,-2,147,-1,0,-1,-446,-446,-103,0,-550,-71,0,-103
2021-03-31,323.00000,,,,-195.00000,-78.00000,-412.00000,-89.00000,-30.00000,,,,,5.00000,-25.00000,-1.00000,155.00000,154.00000,-303.00000,-303.00000,-36.00000,-174.00000,-359.00000,-486.00000,,-36.00000
2020-12-31,686,135,-560,-425,153,-23,119,380,-41,-201,0,-2,-2,5,-239,-3,0,-3,-125,-125,-37,0,-165,0,45,-37
2020-09-30,307,0,0,0,48,-54,-24,283,-27,3,0,1,1,-6,-29,-4,15,11,5,5,-35,-8,-27,237,0,-35
2020-06-30,276,0,0,0,-159,9,106,382,-21,12,0,0,0,1,-8,3,0,3,1,1,-59,0,-55,322,0,-59
2020-03-31,7.00000,,,,-183.00000,-21.00000,-99.00000,-92.00000,-24.00000,829.00000,,1.00000,1.00000,1.00000,807.00000,2.00000,,2.00000,-582.00000,-582.00000,-37.00000,-22.00000,-639.00000,70.00000,,-37.00000
2019-12-31,226,171,-312,-141,99,85,143,228,-32,720,0,-1,-1,-1,686,-5,-201,-206,-429,-429,-39,-27,-701,217,35,-39
2019-09-30,244,0,0,0,149,1,148,392,-40,2,0,1,1,-4,-41,-23,0,-23,-164,-164,-35,18,-204,155,0,-35
2019-06-30,327,0,0,0,-104,37,17,344,-23,0,0,0,0,-2,-25,-67,1,-66,-160,-160,-77,-11,-314,9,0,-77
2019-03-31,183.00000,,,,-181.00000,-65.00000,-314.00000,-131.00000,-33.00000,,,,,-5.00000,-38.00000,87.00000,-1.00000,86.00000,-116.00000,-116.00000,-35.00000,-7.00000,-72.00000,-243.00000,,-35.00000
