,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2017-09-30,223.3,280.8,59,339.8,-57.4,-24.5,-60.2,502.9,-270.4,-51,-2.9,9.2,6.3,-6,-321.1,74.0002,74.0002,-115.7,-115.7,-107.8,-1.4,-150.9,30.9,9.6,-107.8
2017-06-30,203.4,278.2,46.9,325.1,-65.5,-55,-93.7,434.8,-271.8,-26.8,-3.8,0,-3.8,3.2,-299.2,106.0999,106.0999,-125.5,-125.5,-108.4,-2.7,-130.5,5.1,8.1,-108.4
2017-03-31,187.80000,269.90000,35.30000,305.20000,-26.10000,-4.30000,-48.60000,444.40000,-222.60000,-69.20000,-2.90000,,-2.90000,3.40000,-291.30000,9.10010,9.10010,-85.40000,-85.40000,-108.60000,-2.10000,-187.00000,-33.90000,9.60000,-108.60000
2016-12-31,189.6,265.2,19.5,284.7,18.5,-14.3,13.9,488.2,-186.7,-16.7,-29.9,32.1,2.2,-10.9,-212.1,-85.4004,-85.4004,-82.9,-82.9,-109,5.1,-272.2,3.9,5.5,-109
2016-09-30,85.7,272.1,272.3,544.4,-31.6,-91.1,-114.8,515.3,-224.8,-16.8,0,0,0,6.4,-235.2,119.3002,119.3002,-101.8,-101.8,-102.8,-181.8,-267.1,13,5.6,-102.8
2016-06-30,181,269.9,45.9,315.8,-61.8,-34.5,-84,412.8,-237.9,-7.9,0,0,0,-1.2,-247,46.3999,46.3999,-96.4,-96.4,-103.4,-3.8,-157.2,8.6,5.6,-103.4
2016-03-31,156.90000,263.00000,31.90000,294.90000,22.60000,-3.20000,-20.30000,431.50000,-268.60000,-6.00000,,,,4.40000,-270.20000,13.40000,13.40000,-73.00000,-73.00000,-103.70000,3.00000,-160.30000,1.00000,6.50000,-103.70000
2015-12-31,172.4,264.5,150.6,415.1,24.1,-280.3,-232.3,355.2,-209.5,-36.8,0,0,0,6.7,-239.6,16.2,16.2,-97.8,-97.8,-104.3,0.2,-185.7,-70.1,3.8,-104.3
2015-09-30,215.1,266.8,21.7,288.5,-25.4,-62.3,-80.3,423.3,-223.8,-23.3,0,0,0,2.1,-245,-3.2,-3.2,-74.5,-74.5,-97.8,-0.2,-175.7,2.6,3.5,-97.8
2015-06-30,190.4,265.6,18.8,284.4,-45.7,-62.3,-69.7,405.1,-224.7,-3.2,-2.9,0,-2.9,6,-224.8,-7.5,-7.5,-106.6,-106.6,-98.5,-2.1,-214.7,-34.4,4.4,-98.5
2015-03-31,172.50000,253.10000,4.90000,258.00000,31.30000,68.30000,65.60000,496.10000,-266.40000,-509.40000,2.90000,,2.90000,-0.50000,-773.40000,495.10000,495.10000,-59.90000,-59.90000,-98.70000,-0.10000,336.40000,59.10000,7.20000,-98.70000
2014-12-31,50.5,247.5,201.8,449.3,23.5,-100.7,-71.6,428.2,-157.6,-122.2,0,0,0,31,-248.8,-3.9,-3.9,-114,-114,-99.5,0.2,-217.2,-37.8,3.2,-99.5
2014-09-30,185.8,255.1,40.2,295.3,-29,-74.6,-101.8,379.3,-203,-27.2,0,0,0,41.8,-188.4,-28.8,-28.8,-7.3,-7.3,-92.5,1.2,-127.4,63.5,3.6,-92.5
2014-06-30,179,249.7,13.5,263.2,-62.8,-71.5,-116.3,325.9,-255,-40.1,0,0,0,-17.4,-312.5,31.4,31.4,-74.4,-74.4,-92.9,-3.8,-139.7,-126.3,3.9,-92.9
2014-03-31,132.60000,232.60000,37.10000,269.70000,14.00000,2.20000,-5.90000,396.40000,-211.20000,-6.20000,,,,7.30000,-210.10000,-13.80000,-13.80000,-116.30000,-116.30000,-93.70000,0.00000,-223.80000,-37.50000,6.70000,-93.70000
2013-12-31,236.7,245.4,156.7,402.1001,9.2,-256.5,-227.8,411,-180.2,-19.7,0,0,0,2.6,-197.3,-16.5,-16.5,12,12,-93.6,0.4,-97.7,116,3.4,-93.6
2013-09-30,171.1,243.6,20.2,263.7999,-30.7,-6.8,-59.2,375.7,-222.3,-20.5,0,0,0,8.1,-234.7,6.4,6.4,-62.6,-62.6,-85.1,0.9,-140.4,0.6,3.7,-85.1
2013-06-30,56.4,236.2,70.7,306.9,-58.9,-14.7,-21.6,341.7,-242.8,-16.6,0,0,0,-20.8,-280.2,-6.2,-6.2,-5.4,-5.4,-84.9,1.6,-94.9,-33.4,4.4,-84.9
2013-03-31,124.90000,228.80000,14.10000,242.90000,18.80000,45.10000,52.00000,419.80000,-211.60000,-9.20000,,,,-0.90000,-221.70000,-42.60000,-42.60000,-7.30000,-7.30000,-84.90000,-0.80000,-135.60000,62.50000,7.70000,-84.90000
2012-12-31,127,235.7,189.2,424.9,10.1,-92.5,-94.8,457.1,-191.9,-22.2,0,0,0,-31.2,-245.3,-35.6999,-35.6999,-96.4,-96.4,-85.7,-0.4,-218.2,-6.4,4,-85.7
2012-09-30,152.8,223.2,52.1,275.3,-16.8,-40.7,-66.4,361.7,-241.8,-1.3,0,0,0,3.8,-239.3,-12.8999,-12.8999,-23.9,-23.9,-80.4,-0.5,-117.7,4.7,4.5,-80.4
2012-06-30,149.5,234.6,101.1,335.7,-41,-99.2,-124.4,360.8,-171.7,-52,0,0,0,13.1,-210.6,121.7999,121.7999,-152.9,-152.9,-81.6,-41.7,-154.4,-4.2,4.7,-81.6
2012-03-31,142.80000,233.40000,18.70000,252.10000,10.50000,-27.10000,-60.70000,334.20000,-269.40000,-10.20000,,,,37.30000,-242.30000,-22.40000,-22.40000,18.00000,18.00000,-81.40000,1.10000,-84.70000,7.20000,8.00000,-81.40000
2011-12-31,191,233.6,387.3,620.9,64.7,-402.3,-332,479.9,-229.2,-1.8,-12.3,0,-12.3,-17.7,-261,-117.9997,-117.9997,-25.7,-25.7,-81.6,0.1,-225.2,-6.3,4.2,-81.6
2011-09-30,193.6,234.4,71.6,306,-33.1,-14.7,-8.4,491.2,-207.3,-9,12.3,0,12.3,-13,-217,-281.3001,-281.3001,-162.8,-162.8,-75.3,-2.7,-522.1,-247.9,4.3,-75.3
2011-06-30,46.2,228.1,166.7,394.8,-36.2,-55.7,-79.1,361.9,-175.1,-6,0,0,0,3.2,-177.9,380.6999,380.6999,-93.9,-93.9,-75.8,-142.4,68.6,252.6,4.5,-75.8
2011-03-31,158.10000,225.50000,37.50000,263.00000,-11.40000,69.90000,12.60000,433.70000,-290.30000,-11.60000,,,,7.60000,-294.30000,55.40000,55.40000,-137.60000,-137.60000,-76.70000,-0.90000,-159.80000,-20.40000,7.60000,-76.70000
2010-12-31,147.9,225.3,115.7,341,57.4,-122.5,-18.9,470,-203.3,-28.1,0,0,0,33.3,-198.1,-203,-203,-22.3,-22.3,-76.9,-1.9,-304.1,-32.2,6.2,-76.9
2010-09-30,134.5,231.7,146,377.7,-4.7,-120.3,-143.3,368.9,-181.2,30,0,0,0,108.3,-42.9,-219.2002,-219.2002,32.8,32.8,-72.8,-2.3,-261.5,64.5,6.3,-72.8
2010-06-30,159.9,234,14.2,248.2,-55.8,-93,-112.4,295.7,-170.3,0,0,0,0,-95.1,-265.4,-7.6999,-7.6999,23.5,23.5,-72.5,1,-55.7,-25.4,5.8,-72.5
2010-03-31,65.20000,223.20000,114.90000,338.10000,11.90000,-16.90000,-104.20000,299.10000,-202.50000,-0.80000,,,,19.20000,-184.10000,32.50000,32.50000,9.40000,9.40000,-72.40000,-51.10000,-81.60000,33.40000,6.20000,-72.40000
2009-12-31,35.9,232.4,132.4,364.8,52.1,-125.8,-16.6,384.1,-274.8,37.8,0,0,0,13.9,-223.1,-135.7999,-135.7999,21.2,21.2,-72.2,-33.5,-220.3,-59.3,3.4,-72.2
2009-09-30,121.1,240.4,82.9,323.3,-23.6,-99.5,-119.6,324.8,-181.3,55,0,0,0,4.4,-121.9,-76.1,-76.1,11.1,11.1,-72.1,-26.1,-163.2,39.7,3.6,-72.1
2009-06-30,226.1,240.6,-123.3,117.3,-38,-28.9,-168.2,175.2,-149.9,418,-19.2,0,-19.2,22.7,271.6,-503.8,-503.8,2.9,2.9,-72,0.2,-572.7,-125.9,3.3,-72
2009-03-31,113.40000,245.10000,101.40000,346.50000,62.60000,-43.90000,52.50000,512.40000,-188.50000,0.20000,19.20000,,19.20000,,-169.10000,-150.20000,-150.20000,3.40000,3.40000,-72.00000,0.30000,-218.50000,124.80000,4.70000,-72.00000
