,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,347,372.5,204.2,576.7,7.3,-133.1,-117.1,806.6,-520.4,-190.4,-3.9,4.3,0.4,-11.7,-722.1,143.601,143.601,-0.7,-0.7,-156.4,-5.1,-18.6,66.5,8,-156.4
2022-09-30,416.9,376.7,138.2,514.9,-55.7,13.2,-111.9,819.9,-273.5,-142.5,-6.6,6.9,0.3,-1.3,-417,-290.8,-290.8,2.6,2.6,-145.3,-2.4,-435.9,-36,9.6,-145.3
2022-06-30,371.8,359.9,81.6,441.5,-112,62.5,44.6,857.9,-310,-2573.4,-6.6,6.4,-0.2,-0.9,-2884.5,2263.8,2263.8,-4,-4,-145.3,-1.1,2113.4,86.7,8.8,-145.3
2022-03-31,351.90000,332.10000,68.20000,400.30000,-38.40000,-81.20000,-46.60000,705.60000,-317.30000,-81.60000,-2.50000,2.10000,-0.40000,-0.10000,-399.40000,48.00000,48.00000,-215.00000,-215.00000,-145.90000,-1.80000,-314.70000,-8.50000,12.40000,-145.90000
2021-12-31,313.1,319.8,191.6,511.4,2.3,-192.3,-175.6,648.9,-403.4,-285.4,-7,16,9,-0.7,-680.5,277.3994,277.3994,-78.1,-78.1,-146.1,-38.9,14.3,-17.3,7.9,-146.1
2021-09-30,350.8,322.1,-30.3,291.8,-69.6,37,12.4,655,-293,-359.3,-7.2,7,-0.2,0,-652.5,282.9004,282.9004,-136.5,-136.5,-135.4,-2.6,8.4,10.9,10.5,-135.4
2021-06-30,332,323.7,96.8,420.5,-59.2,101.7,69.3,821.8,-271.5,-513.5,-9.2,6,-3.2,-0.3,-788.5,161.8998,161.8998,-24.6,-24.6,-135.6,-11.3,-9.6,23.7,26,-135.6
2021-03-31,296.40000,302.60000,62.10000,364.70000,-8.90000,-18.80000,-0.10000,661.00000,-328.90000,-17.20000,-7.40000,8.90000,1.50000,,-344.60000,-180.10000,-180.10000,-25.00000,-25.00000,-135.50000,-1.70000,-342.30000,-25.90000,12.60000,-135.50000
2020-12-31,236.3,288,243.9,531.9,10.4,-229.7,-205.6,562.6,-300.3,-579.2,-16,5.6,-10.4,0,-889.9,156,156,2.6,2.6,-135.4,-70.9,-47.7,-375,8.3,-135.4
2020-09-30,260.2,291.4,108.5,399.8999,-42.1,-42.9,-84.6,575.5,-221.8,-89.1,-0.7,0,-0.7,0.5,-311.1,31.6001,31.6001,8,8,-129.2,-36.3,-125.9,138.5,9.6,-129.2
2020-06-30,226.3,289.9,71.3,361.2001,17.5,156.3,150.2,737.7,-275.3,-7.1,-2.2,0,-2.2,24.5,-260.1,-339.1999,-339.1999,2.8,2.8,-128.7,-5.2,-470.3,7.3,9.5,-128.7
2020-03-31,246.80000,289.50000,60.80000,350.30000,28.00000,7.90000,-1.30000,595.80000,-367.10000,-61.20000,-14.00000,5.60000,-8.40000,-25.00000,-461.70000,271.80000,271.80000,-108.30000,-108.30000,-129.20000,-2.40000,31.90000,166.00000,9.90000,-129.20000
2019-12-31,290,277.9,214.6,492.5,27,-260,-217.3,565.2,-288.8,-118,-5.6,13.5,7.9,-3.5,-402.4,58.8999,58.8999,-41.6,-41.6,-129.3,-2,-114,48.8,10.3,-129.3
2019-09-30,298,287.8,43.3,331.1001,-12.3,56.6,22.2,651.3,-315.8,-235.2,-0.9,-7.8,-8.7,5.7,-554,160.8003,160.8003,-142.9,-142.9,-120.2,-10.1,-112.4,-15.1,9.1,-120.2
2019-06-30,250.9,284.7,51.5,336.1999,-76.2,12.6,-5.2,581.9,-285.6,-116.4,-3.2,7.8,4.6,-6.1,-403.5,37.6999,37.6999,-85,-85,-120.7,-3.2,-171.2,7.2,9,-120.7
2019-03-31,234.90000,272.00000,59.90000,331.90000,23.20000,9.30000,-13.10000,553.70000,-295.20000,-62.70000,-5.00000,,-5.00000,3.80000,-359.10000,52.30010,52.30010,-120.60000,-120.60000,-121.00000,-2.10000,-191.40000,3.20000,11.10000,-121.00000
2018-12-31,301.1,272.4,20.3,292.7,42.5,-167.7,-97.9,495.9,-227.6,-68.2,-2.8,37.7,34.9,-36.5,-297.4,82.5998,82.5998,-158.7,-158.7,-121.8,-4.2,-202.1,-3.6,9.6,-121.8
2018-09-30,262.9,282.5,105,387.5,-54.4,-68,-94.5,555.9,-274.8,-51.7,-3.3,0,-3.3,4.1,-325.7,-20.6999,-20.6999,-89.2,-89.2,-112.3,-3.8,-226,4.2,9.5,-112.3
2018-06-30,235.7,275.7,59.9,335.6,-65.2,69.6,38.3,609.6,-278.1,-50.2,-1.9,0,-1.9,0.9,-329.3,46.2998,46.2998,-212.6,-212.6,-113.3,-2.2,-281.8,-1.5,8.8,-113.3
2018-03-31,237.90000,283.50000,64.70000,348.20000,47.50000,-49.00000,-4.70000,581.40000,-259.70000,-18.00000,-30.20000,,-30.20000,31.20000,-276.70000,20.50000,20.50000,-253.20000,-253.20000,-114.40000,-2.50000,-349.60000,-44.90000,11.10000,-114.40000
2017-12-31,664.5,287.2,-394.7,-107.5,30.1,-49.9,-28.4,528.6,-218.9,-200.1,-8.9,8.9,0,0.4,-418.6,320.6001,320.6001,-247.2,-247.2,-115.7,-3.7,-46,64,7.3,-115.7
