,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,159.7,45.4,-2,43.4,17.1,-380.4,-346.7,-143.6,-27.4,-0.9,-62.2,-62.2,0,-90.5,-118.5,-118.5,-15.4,-15.4,-53.4,-5.7,-193,-406.6,7.6,-53.4
2022-09-30,150.2,42.4,-8.9,33.5,3.1,-44.7,-14.4,169.3,-10.2,-0.9,39.4,39.4,0,28.3,-100,-100,0,0,-53.4,-7.7,-161.1,21.8,7,-53.4
2022-06-30,-184.5,500.9,-113.7,387.2,-13.8,-772.2,-837.1,-634.4,-11.4,-706.5,-30.1,-30.1,0,-748,365,365,-15.9,-15.9,-51.2,-8.6,289.3,-1109.6,7,-51.2
2022-03-31,109.60000,41.40000,-5.30000,36.10000,-56.20000,1044.30000,1114.10000,1259.80000,-10.80000,,-14.10000,-14.10000,,-24.90000,298.60000,298.60000,-78.50000,-78.50000,-51.40000,-22.20000,146.50000,1382.10000,9.10000,-51.40000
2021-12-31,165.9,42.4,-35.2,7.2,-2.5,-904.3,-861.7,-688.6,-13.7,15.9,-218.4,-218.4,0,-216.2,0,0,-0.2,-0.2,-51.5,-2.1,-53.8,-970.2,3.9,-51.5
2021-09-30,120.4,43.2,22.4,65.6,10.3,366.3,377.6,563.6,-16,-167.3,92.6,92.6,0,-90.7,0,0,0,0,-51.5,-0.9,-52.4,423.3,5.5,-51.5
2021-06-30,105.5,41.3,17.5,58.8,41.8,-66.5,-41.6,122.7,-11.4,0.5,-21.6,-21.6,0,-32.5,110,110,-33.9,-33.9,-45,-5.7,25.4,115.8,5.5,-45
2021-03-31,137.20000,42.70000,7.10000,49.80000,-37.60000,386.50000,412.10000,599.10000,-9.90000,,-3.40000,-3.40000,,-13.30000,-20.00000,-20.00000,-53.40000,-53.40000,-45.30000,-0.80000,-119.50000,465.80000,11.70000,-45.30000
2020-12-31,87.3,41,-6.9,34.1,-46.7,143.7,148,269.4,-10.2,-248.2,-67.5,-67.5,0,-325.9,268.7,268.7,-88,-88,-45.3,-4.5,130.9,72.9,4.4,-45.3
2020-09-30,109.9,40,-15.7,24.3,100.9,550.6,566.9,701.1,-20,-36.7,148.2,148.2,-4.5,87,70,70,-56,-56,-45.8,14.1,-17.7,774.5,4.4,-45.8
2020-06-30,113.6,38.5,5,43.5,19.9,110,167.9,325,-6.6,-5,-133.5,-133.5,4.5,-140.6,0,0,-85.7,-85.7,-39.5,-14,-139.2,44.9,4.6,-39.5
2020-03-31,157.40000,41.00000,4.30000,45.30000,-164.10000,36.60000,-39.40000,163.30000,-10.60000,-61.60000,21.20000,21.20000,,-51.00000,,,-133.40000,-133.40000,-40.00000,-2.30000,-175.70000,-64.10000,8.30000,-40.00000
2019-12-31,86.3,43.3,13.6,56.9,0.5,68,94.5,237.7,-8.2,0,-47,-47,8,-47.2,0,0,-69.6,-69.6,-40,-4.3,-113.9,79.3,4.8,-40
2019-09-30,105.9,43.4,3.2,46.6,8.3,-108.1,-75,77.5,-7.8,0,62.5,62.5,0,54.7,-50,-50,-62.5,-62.5,-40.4,10.4,-142.5,-11.3,5.3,-40.4
2019-06-30,83.4,54.8,3,57.8,4,64.1,58.4,199.6,-13.3,0,-32.1,-32.1,0,-45.4,-300,-300,10.4,10.4,-34.8,-10.4,-334.8,-184.9,6.3,-34.8
2019-03-31,95.20000,47.80000,0.80000,48.60000,37.50000,-31.10000,-25.80000,118.00000,-5.80000,,5.80000,5.80000,22.00000,22.00000,,,-36.90000,-36.90000,-34.80000,,-71.70000,71.10000,5.40000,-34.80000
2018-12-31,138.4,49.8,-30.9,18.9,-66.5,58.5,69.3,226.6,-8.5,0,-35,-35,0,-43.5,0,0,-4.6,-4.6,-34.7,0,-39.3,138.3,5.7,-34.7
2018-09-30,85.7,50.8,12.2,63,31.2,-186.1,-189.9,-41.2,-15.2,0,130.5,130.5,0,115.3,0,0,-48,-48,-34.6,0.1,-82.5,-3.2,8.4,-34.6
2018-06-30,83,51.1,26.1,77.2,15.3,79.2,25.6,185.8,-5.3,-0.2,-66.7,-66.7,0,-72.2,0,0,-48.6,-48.6,-30.4,-56.6,-135.6,-26.3,10,-30.4
