,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-1458,571,1926,2497,-29,-29,1010,-646,0,245,-151,94,-174,-726,-66,-66,0,0,-436,23,-479,-196,16,-436
2022-09-30,220,508,55,563,-310,-310,473,-529,0,-61,-628,-689,-5,-1223,34,34,0,0,-437,-57,-460,-1230,17,-437
2022-06-30,400,559,121,680,-37,-37,1043,-519,-15,-39,63,24,-5,-515,-34,-34,0,0,-437,-51,-522,-6,22,-437
2022-03-31,469.00000,547.00000,143.00000,690.00000,-465.00000,-465.00000,694.00000,-437.00000,,-52.00000,9.00000,-43.00000,-39.00000,-519.00000,-89.00000,-89.00000,,,-436.00000,-370.00000,-895.00000,-717.00000,18.00000,-436.00000
2021-12-31,-764,639,1387,2026,37,37,1299,-441,0,-36,42,6,84,-351,87,87,-277,-277,-436,31,-595,348,17,-436
2021-09-30,-243,570,804,1374,13,13,1144,-398,0,-42,24,-18,26,-390,36,36,-114,-114,-440,-179,-697,54,17,-440
2021-06-30,661,561,39,600,-266,-266,995,-415,-328,-45,73,28,-62,-777,-586,-586,-134,-134,-440,5,-1155,-935,21,-440
2021-03-31,579.00000,553.00000,34.00000,587.00000,-325.00000,-325.00000,841.00000,-399.00000,,-27.00000,14.00000,-13.00000,62.00000,-350.00000,,,,,-441.00000,-70.00000,-511.00000,-22.00000,17.00000,-441.00000
2020-12-31,764,615,62,677,245,245,1686,-398,0,-44,13,-31,18,-411,-66,-66,-200,-200,-320,25,-561,716,17,-320
2020-09-30,856,592,-20,572,168,168,1596,-296,0,-2,35,33,-74,-337,33,33,0,0,-201,-74,-242,1021,17,-201
2020-06-30,347,528,-66,462,-145,-145,664,-280,0,-14,-15,-29,25,-284,-123,-123,0,0,-201,33,-291,93,17,-201
2020-03-31,824.00000,565.00000,-480.00000,85.00000,27.00000,27.00000,936.00000,-328.00000,,,295.00000,295.00000,1156.00000,1123.00000,-85.00000,-85.00000,-321.00000,-321.00000,-112.00000,-68.00000,-586.00000,1469.00000,21.00000,-112.00000
2019-12-31,561,613,-69,544,100,100,1205,-430,0,-28,39,11,10,-409,-644,-644,-479,-479,-114,-34,-1271,-474,21,-114
2019-09-30,2204,548,-1811,-1263,-150,-150,791,-428,6,0,-2,-2,-14,-438,653,653,0,0,-109,-14,530,881,22,-109
2019-06-30,0,487,81,568,-269,-269,299,-380,121,0,100,100,55,-104,-1250,-1250,0,0,-546,-97,-1893,-1697,35,-546
2019-03-31,119.00000,312.00000,130.00000,442.00000,10.00000,10.00000,571.00000,-225.00000,,,-50.00000,-50.00000,,-275.00000,,,,,-120.00000,-23.00000,-143.00000,150.00000,19.00000,-120.00000
2018-12-31,15,336,465,801,-76,-76,740,-269,-2,0,-20,-20,-2,-293,3,3,-2,-2,-75,-35,-109,338,19,-75
2018-09-30,-124,299,407,706,-157,-157,425,-274,-99,0,-7,-7,13,-367,0,0,-26,-26,-76,-13,-115,-59,19,-76
2018-06-30,298,279,-19,260,-159,-159,399,-258,-39,0,12,12,4,-281,-3,-3,-6,-6,-74,31,-52,64,19,-74
2018-03-31,191.00000,301.00000,122.00000,423.00000,-351.00000,-351.00000,263.00000,-231.00000,,,-6.00000,-6.00000,1.00000,-236.00000,,,-64.00000,-64.00000,-76.00000,-39.00000,-179.00000,-152.00000,19.00000,-76.00000
2017-12-31,-517,323,878,1201,61,61,745,-309,0,0,-16,-16,-3,-328,-1,-1,0,0,-40,-85,-126,294,17,-40
2017-09-30,199,328,144,472,-185,-185,486,-194,0,0,15,15,1,-178,-383,-383,0,0,-40,-12,-435,-126,18,-40
2017-06-30,151,282,173,455,-84,-84,522,-183,0,0,-113,-113,14,-282,0,0,0,0,-27,-28,-55,186,19,-27
2017-03-31,58.00000,328.00000,169.00000,497.00000,-184.00000,-184.00000,371.00000,-180.00000,,,19.00000,19.00000,3.00000,-158.00000,,,,,-27.00000,-25.00000,-52.00000,162.00000,16.00000,-27.00000
2016-12-31,-827,321,1200,1521,-67,-67,627,-301,0,0,-4,-4,933,628,-530,-530,0,0,-26,-10,-566,658,16,-26
2016-09-30,-313,335,1029,1364,-195,-195,856,-269,0,0,2,2,-30,-297,-276,-276,0,0,-14,-179,-469,-82,17,-14
2016-06-30,62,281,408,689,-132,26,777,-283,0,0,-2,-2,-9,-294,-2,-2,0,0,-14,-24,-40,400,21,-14
2016-03-31,135.00000,276.00000,372.00000,648.00000,-99.00000,-257.00000,526.00000,-280.00000,,,184.00000,184.00000,-15.00000,-111.00000,-499.00000,-499.00000,,,-159.00000,-84.00000,-742.00000,-582.00000,16.00000,-159.00000
2015-12-31,-358,323,331,654,-24,-24,272,-422,48,-29,12,-17,2,-389,-2,-2,-37,-37,-14,-6,-59,-71,19,-14
2015-09-30,285,256,183,439,86,86,810,-283,-871,29,-29,0,41,-1113,54,54,37,37,-15,-115,-39,-706,18,-15
2015-06-30,148,292,193,485,-195,-195,438,-322,0,0,0,0,-3,-325,-76,-76,675,675,-11,8,596,710,20,-11
2015-03-31,229.00000,346.00000,123.00000,469.00000,-73.00000,-73.00000,625.00000,-284.00000,,,29.00000,29.00000,41.00000,-214.00000,-205.00000,-205.00000,,,-15.00000,24.00000,-196.00000,195.00000,20.00000,-15.00000
2014-12-31,61,187,327,514,-16,-16,559,-274,0,-25,-1,-26,385,85,-102,-102,0,0,-12,102,-12,696,9,-12
2014-09-30,75,277,193,470,-221,-221,324,-277,0,25,-24,1,112,-164,2,2,0,0,-13,-15,-26,125,15,-13
2014-06-30,145,347,-14,333,-103,-103,375,-254,0,-25,25,0,4,-250,10,10,0,0,-16,59,53,178,14,-16
2014-03-31,48.00000,298.00000,184.00000,482.00000,-350.00000,-350.00000,180.00000,-235.00000,-28.00000,25.00000,-1.00000,24.00000,61.00000,-178.00000,3.00000,3.00000,,,-77.00000,-6.00000,-80.00000,-80.00000,13.00000,-77.00000
2013-12-31,-1272,381,1809,2190,-536,-536,382,-372,0,-588,589,1,-5,-376,186,186,0,0,-101,-5,80,80,9,-101
2013-09-30,394,-1963,2102,139,-93,-93,440,-408,0,587,0,587,-11,168,-251,-251,0,0,-124,-4,-379,227,17,-124
2013-06-30,-2273,2677,54,2731,-170,-170,288,-610,-5,0,0,0,17,-598,373,373,1,1,-176,-6,192,-130,19,-176
2013-03-31,356.00000,267.00000,97.00000,364.00000,-287.00000,-287.00000,433.00000,-510.00000,-8.00000,0.00000,,,11.00000,-507.00000,80.00000,80.00000,1.00000,1.00000,-211.00000,25.00000,-105.00000,-183.00000,19.00000,-211.00000
2012-12-31,690,281,-95,186,-34,-34,842,-816,-3,-220,210,-10,16,-813,161,161,4,4,-174,-11,-20,12,17,-174
2012-09-30,447,272,126,398,-271,-271,574,-816,0,90,0,90,-11,-737,-15,-15,5,5,-174,-1,-185,-348,19,-174
2012-06-30,371,248,140,388,-412,-412,347,-882,-11,53,0,53,-19,-859,-37,-37,13,13,-177,1,-200,-715,19,-177
2012-03-31,603.00000,231.00000,131.00000,362.00000,-356.00000,-356.00000,609.00000,-696.00000,-11.00000,-143.00000,,-143.00000,-5.00000,-855.00000,1439.00000,1439.00000,2.00000,2.00000,-173.00000,-174.00000,1094.00000,852.00000,17.00000,-173.00000
2011-12-31,-897,260,1527,1787,32,32,922,-1006,-8,3,0,3,-28,-1039,26,26,5,5,-273,-24,-266,-375,17,-273
2011-09-30,675,270,119,389,197,197,1261,-761,-10,17,0,17,6,-748,-90,-90,27,27,-148,3,-208,280,18,-148
2011-06-30,524,250,199,449,-561,-561,412,-618,-2284,52,0,52,-12,-2862,-167,-167,5,5,-101,0,-263,-2678,25,-101
2011-03-31,670.00000,256.00000,42.00000,298.00000,21.00000,21.00000,989.00000,-402.00000,-7.00000,-12.00000,,-12.00000,3.00000,-418.00000,-31.00000,-31.00000,3.00000,3.00000,-89.00000,,-117.00000,477.00000,19.00000,-89.00000
2010-12-31,1022,248,-257,-9,-168,-168,845,-430,-2,-17,0,-17,32,-417,-156,-156,4,4,-176,-3,-331,105,16,-176
2010-09-30,814,242,133,375,-335,-335,854,-344,-2,-2,0,-2,-49,-397,-11,-11,26,26,-127,-2,-114,349,15,-127
2010-06-30,537,231,63,294,-78,-78,753,-319,0,-3,0,-3,2,-320,-13,-13,27,27,-136,-68,-190,238,21,-136
2010-03-31,743.00000,224.00000,-79.00000,145.00000,-173.00000,-173.00000,715.00000,-309.00000,,-3.00000,,-3.00000,27.00000,-285.00000,-250.00000,-250.00000,3.00000,3.00000,-269.00000,236.00000,-280.00000,149.00000,18.00000,-269.00000
2009-12-31,865,206,127,333,-200,-200,998,-455,-241,12,0,12,-9,-693,-130,-130,30,30,-328,311,-117,193,13,-328
2009-09-30,645,209,50,259,-10,151,1055,-404,-6,0,0,0,-6,-416,1872,1872,1,1,-52,0,1821,2478,14,-52
2009-06-30,306,200,51,251,-9,-48,509,-580,-749,0,0,0,11,-1318,46,46,8,8,-161,-9,-116,-905,16,-161
2009-03-31,277.00000,191.00000,47.00000,238.00000,-8.00000,-130.00000,385.00000,-330.00000,-11.00000,,,,-13.00000,-354.00000,-220.00000,-220.00000,1239.00000,1239.00000,-49.00000,12.00000,982.00000,1014.00000,14.00000,-49.00000
