,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-33,148,-155,-7,258,412,-619,15,291,251,-77,0,0,0,0,0,-77,0,0,0,0,-145,-20,-165,9,33,-145
2022-09-30,29.00000,135.00000,37.00000,172.00000,434.00000,-41.00000,-300.00000,93.00000,44.00000,245.00000,-132.00000,,-1.00000,,-1.00000,,-133.00000,600.00000,600.00000,-379.00000,-379.00000,-147.00000,-40.00000,34.00000,146.00000,29.00000,-147.00000
2022-06-30,276,127,46,173,-188,-86,19,-27,-269,180,-72,0,47,-34,13,0,-59,0,0,-486,-486,-152,-6,-644,-523,39,-152
2022-03-31,346,112,62,174,55,-192,146,-14,-60,460,-97,0,-34,34,0,0,-97,-220,-220,-386,-386,-154,0,-760,-397,36,-154
2021-12-31,501,108,60,168,-98,-99,35,-53,-148,521,-95,0,19,0,19,0,-76,725,725,-467,-467,-151,-8,99,544,36,-151
2021-09-30,526.00000,104.00000,32.00000,136.00000,-143.00000,16.00000,28.00000,14.00000,-166.00000,496.00000,-117.00000,,-3.00000,,-3.00000,,-120.00000,-6.00000,-6.00000,-392.00000,-392.00000,-153.00000,-43.00000,-594.00000,-218.00000,34.00000,-153.00000
2021-06-30,482,103,-13,90,-180,77,-74,17,-94,478,-124,0,29,-11,18,0,-106,-6,-6,-215,-215,-154,0,-375,-3,25,-154
2021-03-31,329,99,23,122,-177,35,135,-74,-73,378,-100,0,-8,11,3,0,-97,-6,-6,-696,-696,-161,-5,-868,-587,29,-161
2020-12-31,280,96,47,143,66,5,-51,-4,50,473,-159,0,0,0,0,0,-159,992,992,-989,-989,-167,-15,-179,135,30,-167
2020-09-30,223.00000,99.00000,2.00000,101.00000,249.00000,-181.00000,-24.00000,17.00000,-27.00000,297.00000,-111.00000,,7.00000,,7.00000,,-104.00000,-13.00000,-13.00000,-39.00000,-39.00000,-167.00000,-32.00000,-251.00000,-58.00000,28.00000,-167.00000
2020-06-30,166,100,75,175,45,-40,-30,24,47,388,-114,0,6,0,6,0,-108,44,44,-52,-52,-168,-1,-177,110,29,-168
2020-03-31,320,94,42,136,-48,46,-34,-14,-66,390,-130,0,-12,0,-12,0,-142,-40,-40,-164,-164,-170,0,-374,-132,27,-170
2019-12-31,318,93,38,131,-47,-107,177,-3,31,480,-193,0,-41,0,-41,0,-234,0,0,-120,-120,-165,-4,-289,-40,27,-165
2019-09-30,200.00000,92.00000,58.00000,150.00000,-77.00000,-65.00000,281.00000,-6.00000,106.00000,456.00000,-147.00000,,-4.00000,,-4.00000,,-151.00000,-147.00000,-147.00000,-411.00000,-411.00000,-170.00000,-37.00000,-765.00000,-465.00000,26.00000,-170.00000
2019-06-30,983,134,-707,-573,-92,31,98,26,38,448,-37,0,14,1265,1279,-37,1205,-271,-271,-349,-349,-174,-1,-795,860,26,-174
2019-03-31,195,135,17,152,161,96,-126,-5,91,438,-123,0,-6,0,-6,0,-129,196,196,-294,-294,-178,0,-276,31,28,-178
2018-12-31,384,138,0,138,144,19,-359,33,-234,288,-127,0,2,5,7,66,-54,-499,-499,-133,-133,-180,-3,-815,-585,27,-180
2018-09-30,450.00000,134.00000,2.00000,136.00000,-9.00000,-66.00000,119.00000,-9.00000,1.00000,587.00000,-171.00000,,,-5.00000,-5.00000,,-176.00000,,,-118.00000,-118.00000,-181.00000,-27.00000,-326.00000,88.00000,18.00000,-181.00000
2018-06-30,461,137,-9,128,-108,-51,-9,4,-121,468,-70,0,0,-1277,-1277,-2,-1349,-5,-5,3,3,-181,-1,-184,-1073,27,-181
2018-03-31,381,143,37,180,-21,12,15,13,-3,558,-26,0,0,-8,-8,5,-29,-57,-57,75,75,-179,-1,-162,370,26,-179
2017-12-31,159,157,236,393,155,0,89,34,298,850,-75,0,0,0,0,-3,-78,-130,-130,-189,-189,-182,-1,-502,271,27,-182
2017-09-30,181.00000,161.00000,30.00000,191.00000,-10.00000,-32.00000,-30.00000,8.00000,-135.00000,237.00000,-124.00000,,,,,-8.00000,-132.00000,-22.00000,-22.00000,-137.00000,-137.00000,-184.00000,-20.00000,-363.00000,-254.00000,32.00000,-184.00000
2017-06-30,114,176,35,211,-43,56,-3,-62,-82,243,-104,0,0,-37,-37,19,-122,-219,-219,-209,-209,-187,-2,-617,-488,27,-187
